rank	username	minecraft:crafted/minecraft:spruce_slab
288	Smiguli_	174
291	tramizu	156
291	ImDisconnected_	156
291	Renchi19	156
291	kyouma777	156
291	trexgb	156
296	SaltineDream	150
296	Base_Tempest	150
296	Nostrom	150
296	sammidk	150
296	The_Quack_Dealer	150
