rank	username	minecraft:crafted/minecraft:orange_dye
181	Kamflame10	4
181	Kubelz	4
181	whoaluv	4
181	regulator75	4
181	epiksk8erduck	4
181	Skomo	4
181	RodSerlingCringe	4
181	ogoa	4
181	NameGenerat0r	4
181	SingedBread	4
181	Razzgriz	4
181	Kyrum2169	4
181	SSytex_X	4
181	SammiWolfGirl	4
181	Dogcorn69420	4
181	alderban107	4
181	Nicserso	4
205	strongman951753	3
205	ImpavidArcher	3
205	SaucyDark	3
205	Hpdinosaur	3
205	Bolete	3
205	Zaridey	3
205	Ecplosive	3
205	Donutt	3
205	Kouridragon	3
205	Meatlaugh	3
205	gabbyeden	3
205	HesDemonPants	3
217	SugarMyNuggets	2
217	PhantomsGhost_	2
217	chimpmunker	2
217	xXTheWolfmanXx	2
217	Iagoku	2
217	Ryker	2
217	ewsophie	2
217	Jahara	2
217	TAKrules	2
217	TheMaster972	2
217	oreee	2
217	TheFlfthHorseman	2
217	Euclidoris	2
217	Stynxy	2
217	Prodiginus	2
217	jushykins	2
217	shyshyannne	2
217	SteveCraftBlocks	2
217	SellyZ	2
217	M_Patata	2
217	prizm_	2
217	moist_jellyfish	2
217	fallingemma	2
217	Rebytre	2
217	ItsAki_	2
217	BRRRN179	2
217	MousePlays	2
217	ToastedGamingYT	2
217	YahooScreen9000	2
217	NormanFetus	2
217	AuroraSkies	2
217	binman420	2
217	Deodorante	2
217	MinuteMira	2
217	_Karmaa	2
217	MangoSalad316	2
217	lolpoottoot	2
217	Hisiste	2
217	TheTommyGun63	2
217	MasterNueve	2
217	iSammael	2
217	Cocoamallows	2
217	Nagasaki_Riku	2
217	sadvavilloso	2
217	BlankityMcBlank	2
217	Segotep999	2
217	stahouo	2
217	SpacesickPrism	2
217	obzii	2
217	mawileite	2
217	mobunni	2
217	Miko_Fullbuster	2
217	RadarHz	2
217	FelixPSY375	2
217	Kiki_Majiki	2
217	Powowowow	2
217	2blox	2
217	Sral7	2
275	Houstonion	1
275	DinoDoctor_	1
275	Prismyst	1
275	Historical_Sand	1
275	nocturne78	1
275	SoftSix	1
275	intropass	1
275	SHAOBADMAN	1
275	Avermu	1
275	KillerNekoRain	1
275	ApophisNova	1
275	Ender_Souls	1
275	Toowny	1
275	Nycteus_	1
275	censorsheep	1
275	Barlycorn	1
275	ProfessorDiaper	1
275	MovingFish7	1
275	Eraxa	1
275	K_a__a_n	1
275	MyNamaSheff	1
275	Kateesaur	1
275	diggydog67	1
