rank	username	minecraft:crafted/minecraft:dark_oak_sign
111	ROY4LE	27
111	benediktine1	27
111	SuperPooch06	27
111	Rumpletaezer	27
111	groofles	27
111	AlphaWolfPlaysMC	27
111	NomadicRobin_	27
111	Karbl	27
122	SaucyDark	24
122	emrekn	24
122	LeauVox4921	24
122	audiocracked	24
122	brofrickcheaters	24
127	joethahobo	21
127	PegLegPete93	21
127	Touched_Bread	21
127	Blu3beast	21
127	Dusk_95	21
127	PortlyPete69	21
127	Hermanni__	21
127	PlasticOtari	21
127	Zoeyfortnite	21
136	dudcreeper	18
136	Frozil20	18
136	T045RTY	18
136	Huwulling	18
136	heckface	18
136	Ardennes	18
136	PigDab	18
143	Jakobo1337	15
143	SPUDonSTEROIDS	15
143	Kakolbus	15
143	gabriels543	15
143	Chromary	15
143	BronkerBrum	15
143	wezzzi	15
143	Tyrannosplart	15
143	Hisiste	15
143	Sheldor097	15
143	The_SlideV5	15
154	Bandito_Roamer	12
154	Jalvajar	12
154	bigstankyy	12
154	ergoalias	12
154	SyntheticSurgeon	12
154	BobDeBouwer1337	12
154	olliebollie48	12
154	XboxPanda	12
154	Avrelion	12
154	MyNameIsJobo	12
154	AnnieBathory	12
154	Nyxiom_	12
154	selectrix	12
154	RobotMinion101	12
154	Moofyman	12
154	KeruNatsema	12
154	Jimi7hits	12
154	Deathkob	12
154	censorsheep	12
154	tsitrawhy	12
154	Dreamdbr14	12
154	KingMatthew506	12
154	TrollerYT	12
154	Legendosh	12
154	2bolx_	12
154	TechnoNinja64	12
154	CrazyPotater	12
181	LittleBug562	9
181	Zlatovlas	9
181	peach0s	9
181	Cryptacity	9
181	paranoid_plant	9
181	Scathra	9
181	Mariopreeet	9
181	orxngejuice	9
181	Stiar	9
181	Purplehere	9
181	CranialBlowout	9
181	Bumpy419	9
181	Kynigito	9
181	_Cloverbelle_	9
181	SaintJosie	9
181	Akoot_	9
181	NoChumpChange	9
181	claivin	9
181	SkateboardR6	9
181	lcvezra	9
181	ThisUserIsStump	9
181	smogfrog	9
181	Nicserso	9
181	Powowowow	9
181	Sral7	9
181	WYFYoyo	9
181	h2p_emrld	9
208	RosaDoesMC	6
208	Sleek_Storm_721	6
208	I_Am_Mushkin	6
208	Killercatty78	6
208	_Razaria	6
208	Ryker	6
208	Natty	6
208	TAKrules	6
208	Swexti	6
208	Khelvoryk	6
208	Comma__	6
208	jushykins	6
208	AngalexikCZ	6
208	SellyZ	6
208	Covalents	6
208	Jeteight	6
208	seramalen	6
208	Smussa	6
208	parodypatient	6
208	binman420	6
208	Lutres_Torane	6
208	1442	6
208	MustaLoordi	6
208	carpet4_69	6
208	Groundler	6
208	Matorz	6
208	Lord_Doob	6
208	Optiprimus	6
208	Zetsey	6
208	SammiWolfGirl	6
208	Nekomin0	6
208	fffMike	6
208	Vellu21	6
208	WinterYoke	6
242	MunkaKris	3
242	Tobinator_007	3
242	Mr_Byzantine	3
242	PhantomsGhost_	3
242	Cowison	3
242	Paint	3
242	_stets	3
242	dabloons	3
242	SmashingPump	3
242	Healthing	3
242	KarlKaek	3
242	La_Conne	3
242	Hpdinosaur	3
242	Incinere	3
242	livingdaydreams	3
242	CoffeeNoir	3
242	elleparo	3
242	buss081	3
242	Myszoaz	3
242	H72l9w	3
242	Da_Boss_Rani	3
242	Atroxes	3
242	Vizzoid	3
242	carloselpapii	3
242	Ozixar	3
242	John_Acacia	3
242	ATrojansLegend	3
242	Crowman1	3
242	Auseawesome	3
242	jacxhadow	3
242	bloodbiter	3
242	Rich_Kat	3
242	MinttyFressh	3
242	zorin123	3
242	_HoneySlime_	3
242	TheDiamondCG	3
242	G1ldor	3
242	Ronce_Mormel	3
242	mwrty	3
242	lorpus	3
242	Motsaro	3
242	Inchef	3
242	n2ckn2ck	3
242	2Stout	3
242	mimbo1211	3
242	M_Patata	3
242	Ecplosive	3
242	PuustaKauasPdnt	3
242	AJplaysMC_	3
242	Hoid_the_Roamer	3
242	The_Fulgurator	3
242	tobinwilliams	3
242	ApophisNova	3
242	A_Potatoe	3
242	thgrocks	3
242	Joestra	3
242	yulgur1	3
242	Inbefour	3
242	Lord_Zacler	3
