rank	username	minecraft:crafted/minecraft:wooden_sword
86	chank_	1
86	FlashingDemon	1
86	Chromary	1
86	Arceus1975	1
86	happy_mileo	1
86	PumpkinPie1600	1
86	kevinpamberg	1
86	Nabih	1
86	NarwhalTaco	1
86	BusinesManFrecks	1
86	Parcc	1
86	XNL	1
86	kars0n	1
86	FlameFame	1
86	SokaOtaku	1
86	Smuggly_McWeed	1
86	regulator75	1
86	Termi_Qc	1
86	Arrowborne	1
86	TheShawnZen	1
86	Judah_Ra	1
86	WhosJPG	1
86	Nickitoe	1
86	Bak3dPotater	1
86	JustAWill_	1
86	Chuvacevedo	1
86	N7November	1
86	Fatimus_	1
86	FastLane1	1
86	RohnJosin	1
86	Kouridragon	1
86	DeeDeeThonk	1
86	Onennon	1
86	fred870d	1
86	Kynigito	1
86	A_Potatoe	1
86	epiksk8erduck	1
86	ptweezy	1
86	LucasP2k	1
86	Skomo	1
86	Jonte0599	1
86	LuceImaginary	1
86	MikeTheMan4423	1
86	jewbacaman	1
86	Big_Nate_36	1
86	TheShyPig	1
86	_naturell	1
86	sammidk	1
86	bale1sme	1
86	LilLizardWizard	1
86	Ajax6	1
86	TragicHero27	1
86	aa2x_	1
86	PhoenixAlpha	1
86	Fstivus	1
86	deavol	1
86	HoldThatPee	1
86	RodSerlingCringe	1
86	St4nLe7	1
86	Austinizzle	1
86	eSpawNa	1
86	Bl1tzFX	1
86	MrButterscotch	1
86	XMiner22	1
86	MilkFootball	1
86	420BreadLizard	1
86	ElderRifken	1
86	yulgur1	1
86	NoobSlayerPro	1
86	JakobDylanC	1
86	SpouHn	1
86	Shintiki	1
86	DTwenty	1
86	kiluaemc	1
86	Emphius1	1
86	ese_wn_po	1
