rank	username	minecraft:crafted/minecraft:spruce_planks
128	F_Uhre	7720
129	Spenduh	7719
130	Comma__	7678
131	TheWildMateo	7674
132	oscminus	7533
133	AlexxO_o	7248
134	gcaisawesome	7236
135	SlayerCrypto	7176
136	Tyrannosplart	7127
137	Meatlaugh	6956
138	selectrix	6908
139	Blu3beast	6737
140	XxCookiequeenxX	6656
141	jacxhadow	6495
142	TheKingK_	6342
143	fkGrim	6316
144	Natty	6228
145	Cowison	6220
146	Druid95	6160
147	6king6colt6	6116
148	Winklepicker279	6056
149	Dakar_	5986
150	RebelAndroid	5966
151	EfficientC52	5938
152	livingdaydreams	5908
153	Malorn_Aetherius	5876
154	Sleepy_Evelyn	5792
155	r123moore	5687
156	U_Mos_	5672
157	AuroraSkies	5640
158	Archsam	5626
159	Rebytre	5592
160	BlankityMcBlank	5588
161	ECstardust	5560
162	jcool7	5534
163	MattieHD	5532
164	Mr_Sun15	5504
165	Tommhh	5459
166	teslawolf38	5448
167	RobotMinion101	5408
168	ProfessorDiaper	5388
169	Smashic	5270
170	Bumpy419	5244
171	robertsnose	5200
172	MakeHistory157	5160
173	_stets	4924
174	Deodorante	4912
175	OneLessChromosom	4880
176	EdGalbraith	4872
177	Swexti	4736
178	Ryker	4712
178	Gus2005	4712
180	claivin	4701
181	T045RTY	4680
181	prizm_	4680
183	Avocadogerms	4660
184	ogoa	4648
185	Literally_Rat	4644
186	Xclax101	4528
187	taengoos	4524
188	Samificator	4488
189	Hoid_the_Roamer	4472
190	soundad	4374
191	BlueZabu	4352
192	StinkyDiplomat	4340
193	MC_Skribble	4336
194	pappaberg	4332
195	thescout7	4300
196	lordpipe	4297
197	corvidpartyfor6	4236
198	BlancoFlaco	4206
199	skroobiez	4176
200	DairyNickel756	4100
201	LordSpeed37	4088
202	Pumpkin_P_Patch	4028
203	IamCL4SSY	3964
204	AspenLightVT	3956
205	diggydog67	3940
206	ProbablyNick	3928
207	Boipl	3926
208	Tiberonus	3912
209	Fuad_R	3872
210	BartekB19	3793
211	VentiHilton	3790
212	groofles	3748
213	IWorkAtIkea	3720
214	Cortexia	3700
215	Lord_Jord	3684
216	NameGenerat0r	3668
217	JayToe	3636
218	RatatJuice	3608
219	SammiWolfGirl	3604
220	Rani_R	3536
220	SuperPooch06	3536
222	Deerfoot	3524
223	XboxPanda	3520
224	CoffeeNoir	3516
225	yheece	3480
226	StarCookiees_	3456
227	2blox_	3452
228	seramalen	3416
229	07shiny	3392
230	_witch_craft_	3378
231	zToasty69z	3370
232	bl1ss0	3366
233	ZoomieZoomie	3360
234	CattSoup	3336
235	Hahaa_0	3333
236	SnowyAvi	3324
237	Eczbek	3312
237	00000000-0000-0000-0009-01ff0c3e5e4f	3312
239	SDMNAEK	3288
240	CrateOfBoxes	3272
240	drumine	3272
242	FishyBoy3811	3268
243	Covalents	3264
243	__Fanda__	3264
245	SteveCraftBlocks	3236
246	cuddlyMonster	3184
247	hm947	3168
248	thebaddruid	3152
249	AltnumberF4	3140
250	YairZaki	3134
251	Studio4x32	3120
252	ibarker21	3076
253	wezzzi	3044
254	krutas2000	3031
255	Buuck_	3016
256	BPTY4618	2980
257	M_Patata	2932
258	yatsuta	2912
259	CalebDHawk	2896
260	Secret_Canary	2885
261	Froste131	2884
261	olliebollie48	2884
263	Cache3	2874
264	The_slideV3	2864
264	MasterNueve	2864
266	dopplexd	2856
266	ewpunk	2856
268	rotten_mango	2834
269	LordZacler	2824
269	Lord_Zacler	2824
271	j5ylim	2816
272	FreakGenius	2800
273	MustaLoordi	2780
274	Syropatathe	2772
275	TheRealAndrin	2764
276	Quincannon	2744
277	Soap_Bender	2722
278	Auseawesome	2716
279	Biites	2714
280	Tolhart	2712
281	PortlyPete69	2708
282	TheBiggestFeller	2684
282	DC_XII	2684
282	Bloo2406	2684
285	lorywithay	2627
286	Cryptacity	2620
287	JETrotter	2603
288	BreadBacon	2596
289	the_russell1611	2588
289	Dreamdbr14	2588
291	Sleek_Storm_721	2572
292	HUNTERmaun	2540
293	nattybears	2524
293	FirsTimeGamingTV	2524
295	HesDemonPants	2520
296	Louiis123	2514
297	CLG_Kata	2508
298	icim	2504
299	excelsionprime	2463
300	Septemb3r	2432
