rank	username	minecraft:crafted/minecraft:diamond_block
114	jcool7	133
116	lillips	132
116	Legendosh	132
118	bigstankyy	131
118	Cocoamallows	131
118	_TCARREIRA_	131
121	Rebytre	130
122	MinttyFressh	126
122	Bumpy419	126
124	__tomato	125
125	obzii	124
126	CoffeeNoir	123
127	Quaintster	120
128	Myszoaz	115
129	gcaisawesome	114
130	Iagoku	112
131	WyngGoy	110
132	SSytex_X	109
133	Mewar	107
134	_Virify_	106
135	Zaridey	105
135	HolyVenom	105
137	mariominejedi	104
138	ImpavidArcher	102
138	fred870d	102
140	I_Am_Mushkin	100
140	BlancoFlaco	100
140	SpaceGrenadier	100
143	Shogunite	99
144	Zoeyfortnite	98
145	lcvezra	96
146	MyNameIsJobo	95
147	Leithz6	94
148	ProfessorBee	91
148	Winston_Ingram	91
150	Onennon	90
151	HyperCave	89
152	MangoTheFish	88
152	Rocco_Lane	88
154	PlzNoBM	78
155	Karbl	77
156	Zythose	75
156	DolphinLaugh	75
158	diamondgolem35	74
158	boog4loo	74
160	censorsheep	73
160	Hermanni__	73
162	H72l9w	72
163	gabriels543	71
164	fanofbands101	70
164	eviltunix	70
166	Groovy_MoonBird	67
166	Soplight	67
168	xxPipperDipperxx	66
169	Wooptey	65
169	FirsTimeGamingTV	65
169	surfinggiraffejp	65
169	EcksDofficial	65
173	Kkanot	64
173	Paintz	64
175	Winklepicker279	62
175	Nycteus_	62
177	egglapras	60
177	TheOuterCore	60
179	cedric72	59
180	anbbang	58
181	SaucyDark	57
181	titanlax	57
181	Chromary	57
181	Corbsman	57
185	TooManyDuck	56
185	_Nuf	56
187	wezzzi	54
188	Cowison	53
188	audiocracked	53
188	Steven1282598	53
188	RadarHz	53
192	geekbird	52
192	Miko_Fullbuster	52
194	JEWISHBadenBeele	51
194	RedcatVII	51
194	SkateboardR6	51
197	ClemenPine	49
198	xPixelRainx	48
199	MSK__	45
199	Dreamdbr14	45
201	T045RTY	44
201	bloodbiter	44
201	loveseeker	44
204	Incinere	43
204	CliffEmAll	43
206	tobinwilliams	42
206	lizardfightclub	42
206	_Yonk_	42
206	MissCeleste7	42
210	ShedJr_	41
210	the__Reaper4999	41
210	Powowowow	41
210	diggydog67	41
214	abramgray	40
214	Jiminie	40
214	chipklip	40
217	Arceus1975	39
218	Hpdinosaur	38
218	Luigipunch989	38
218	FelixPSY375	38
221	emrekn	37
221	Deathkob	37
223	Scathra	36
223	Marbz_	36
225	Deodorante	35
225	HesDemonPants	35
225	Northernrabbit	35
228	Valoth	32
228	The11thDoctor	32
230	RobotMinion101	31
230	Soap_Bender	31
230	BlankityMcBlank	31
230	MeetTheWollo	31
230	2blox	31
235	SellyZ	29
235	Wowful	29
237	Lepthymo	28
237	501g	28
239	Jackster03	27
239	Vetral1	27
239	monky_irl	27
242	himak1	26
242	Dan_Scha	26
242	Jiminbub	26
242	_Bguette_	26
246	_NieToksikpl_	25
246	hcb238	25
246	LilyNova	25
246	_Karmaa	25
246	_czarny	25
251	Noah_Bez	24
252	CaptainDeadBread	23
252	Segotep999	23
254	TheSeismicDuck	22
254	mawileite	22
256	lewieinnit	21
256	lotarp	21
256	Euclidoris	21
256	SeverianTheLame	21
256	DarlaMeow	21
256	kinas45y5	21
262	RoskobiOne	20
262	error10101	20
262	SlayerCrypto	20
262	fw3xywashere	20
262	LexMakesHistory	20
267	awesomeoneme	19
267	Russiancat1	19
267	stavgod	19
267	KingMatthew506	19
271	Ailmast	18
271	Flapjacker687	18
271	Nach0Bear	18
271	RefluxRatio	18
271	valkam13	18
271	MAns_44	18
271	07shiny	18
271	SvenskaHugo	18
279	Batman922	17
279	fkGrim	17
279	Jamstroxian	17
282	MixerDixer	16
282	Whiterooster001	16
282	Vizzoid	16
282	ayqq	16
282	epiksk8erduck	16
282	layabout100	16
282	JayToe	16
289	Froste131	15
289	Houstonion	15
289	Auseawesome	15
289	Kakolbus	15
289	Hoid_the_Roamer	15
289	Hiryu27	15
289	victorLIE	15
289	CSG_Haru	15
297	hm947	14
297	cytotoxaint	14
297	Ze_BaronKrigler	14
297	remmisrat	14
