rank	username	minecraft:crafted/minecraft:lapis_lazuli
246	Eraxa	144
246	Soplight	144
246	Eczbek	144
246	anbbang	144
254	lcvezra	137
255	BobDeBouwer1337	135
255	00000000-0000-0000-0009-01ff0c3e5e4f	135
257	CLG_Kata	129
257	Legendosh	129
259	q_wq	126
259	Giannism	126
261	eitanzaki	117
261	mimbo1211	117
261	Sagaram	117
261	NoChumpChange	117
261	godipose	117
261	OverallConcept	117
261	Kijiki	117
261	TheOuterCore	117
269	SkateboardR6	114
270	gcaisawesome	111
271	youhjjhhhjj	108
271	r123moore	108
271	Hoid_the_Roamer	108
271	epiksk8erduck	108
271	YourPersonalChef	108
271	striker90333	108
277	Historical_Sand	100
277	ReflexCode	100
279	JohnnyFyes	99
279	fanofbands101	99
279	bbrothers_5	99
279	NieToksikpl	99
279	Shiirazu	99
279	TheSeismicDuck	99
279	jake314810	99
279	HesDemonPants	99
287	Jovaphobic	90
287	hm947	90
287	MOSS000	90
287	ratglock	90
287	firesgal3116	90
287	Xalithia	90
287	wobn	90
287	Vorlice	90
287	Factoroni	90
287	Decaying_Lotus	90
287	MilleGrug	90
298	I_Am_Mushkin	81
298	Nyxiom_	81
298	Katthaj	81
