rank	username	minecraft:crafted/minecraft:iron_shovel
192	Sniper008	8
217	Paint	7
217	FroggoTheDoggo	7
217	shineh10	7
217	bigstankyy	7
217	ChampPog_	7
217	chlorinex	7
217	heckface	7
217	ZigzagLily43042	7
217	Guillemet	7
217	ConcretePirate	7
217	Laykon	7
217	thescout7	7
217	Motsaro	7
217	eiC_	7
217	AlexStrange	7
217	MustardDrinker	7
217	ItsAki_	7
217	ApophisNova	7
217	The11thDoctor	7
217	spellmre	7
217	natajimi	7
217	Russiancat1	7
217	Deathkob	7
217	Jaka_Saurus_715	7
217	ReflexCode	7
217	Jamstroxian	7
217	560cool	7
217	Blaiku	7
217	BumbleBeever	7
217	LordAurum	7
217	Matorz	7
217	mihimihimihi	7
217	Factoroni	7
217	UCP_TheKingK	7
217	Kubeusz2010	7
217	HuangMeiHua	7
217	CattSoup	7
217	smogfrog	7
217	MyNamaSheff	7
256	Thaumatarge	6
256	_Virify_	6
256	Jalvajar	6
256	hollowww	6
256	livingdaydreams	6
256	Jackster03	6
256	Swalt	6
256	TinMaster	6
256	aikabot	6
256	Koffeeinz	6
256	ATrojansLegend	6
256	Cortexia	6
256	Jokerman369	6
256	500am	6
256	G1ldor	6
256	redikul	6
256	Covalents	6
256	ItzYaBoiPicard	6
256	TableTim	6
256	BlueZabu	6
256	xFaiithyX	6
256	dedgt	6
256	WET_WET_WET	6
256	ibarker21	6
256	NarwhalTaco	6
256	selectrix	6
256	ooga47	6
256	Mr_Sun15	6
256	parodypatient	6
256	Inbefour	6
256	avalan64	6
256	Renchi19	6
256	JESS_THE_RERE	6
256	DarlaMeow	6
256	1442	6
256	FlashMigma	6
256	Nycteus_	6
256	Bloo2406	6
256	fluddd	6
256	monky_irl	6
256	bruh072	6
256	sp00ky_ghost977	6
256	YungMaki	6
256	CACTUSLAD	6
256	NeoJordache	6
