rank	username	minecraft:crafted/minecraft:book
223	_naturell	62
223	PuFY	62
225	ratglock	61
225	Nyxiom_	61
225	NotMeowMix	61
225	OfficerAnvil	61
229	DepressedCubic	60
229	Natty	60
229	Bumpy419	60
229	PortlyPete69	60
233	GLLogan2	59
234	Froste131	58
234	SoftSix	58
234	platinumzero	58
234	misomon	58
238	_Virify_	57
238	stahouo	57
238	anbbang	57
241	r123moore	56
241	trexgb	56
241	remmisrat	56
244	RosaDoesMC	55
244	Stiar	55
244	M_Patata	55
244	hagridfedpik	55
244	xo_Marren_xo	55
244	SingedBread	55
244	MasterNueve	55
251	Paint	54
251	Dan_Scha	54
251	zmpeg	54
254	leaf26	53
254	Nagasaki_Riku	53
256	RatatJuice	52
256	Onennon	52
258	Rumpletaezer	51
259	Jackster03	50
259	Stynxy	50
259	o0z	50
259	Steelynan	50
259	Yahrto	50
264	underscore_2	49
264	krutas2000	49
266	shdesolt	48
266	BilboBaggins23	48
266	DemTechAlpha	48
266	Darkgon	48
266	jaimshae	48
271	IWorkAtIkea	47
271	Ardennes	47
271	CollinMH06	47
271	SuperStreetCat	47
271	The11thDoctor	47
271	MyNameIsDakar	47
271	LordSpeed37	47
271	coobert42	47
271	Tristankill	47
280	Gary_	46
280	SyK7	46
280	Kegradigm	46
280	Frxnkz	46
280	ProfessorBee	46
280	toj__	46
280	Kouridragon	46
280	wfk7	46
280	Vetral1	46
280	420BreadLizard	46
280	silverpopcorn	46
280	CoryJJ	46
292	Cocoamallows	45
293	Bolete	44
294	Xalithia	43
294	SpouHn	43
294	sufjanlover	43
294	Oxygen16	43
298	TheBiggestFeller	42
298	BigBootyHudge	42
298	jewbacaman	42
