rank	username	minecraft:crafted/minecraft:minecart
218	Covalents	3
218	eiC_	3
218	XboxPanda	3
218	CharlieButt	3
218	ApophisNova	3
218	RobotMinion101	3
218	KartivGal	3
218	Drewen24	3
218	HolyVenom	3
218	ElderRifken	3
218	valkam13	3
218	Deerfoot	3
218	Cyntrical	3
218	Smiguli_	3
218	MakeHistory157	3
218	yatsuta	3
218	BlankityMcBlank	3
218	starbits140	3
218	ediballbearings	3
218	Winston_Ingram	3
218	TheOuterCore	3
218	SpaceTurtleOX	3
218	MyNamaSheff	3
218	AltnumberF4	3
218	The_SlideV5	3
261	Lepthymo	2
261	Mr_Byzantine	2
261	Mowelan	2
261	CueMix	2
261	DiscardedCE	2
261	AshleeCW	2
261	ColeSnyder	2
261	ssleepless	2
261	youhjjhhhjj	2
261	Swexti	2
261	heckface	2
261	Euclidoris	2
261	featherflyy	2
261	Prodiginus	2
261	xPixelRainx	2
261	CliffEmAll	2
261	gilesmcriles	2
261	Cryptacity	2
261	jushykins	2
261	jacxhadow	2
261	Nicky_H225	2
261	Ardennes	2
261	AdvertisingMerc	2
261	set67	2
261	Hanselhoof	2
261	PegLegPete93	2
261	RustyKedel	2
261	Winklepicker279	2
261	SlayerCrypto	2
261	AJplaysMC_	2
261	ThePurpleFire	2
261	CrateOfBoxes	2
261	domagawha	2
261	The11thDoctor	2
261	ClemenPine	2
261	sxc_	2
261	RodSerlingCringe	2
261	wezzzi	2
261	masskedman	2
261	NoChumpChange	2
