rank	username	minecraft:crafted/minecraft:diamond
133	WyngGoy	567
135	Covalents	558
136	_Nuf	550
137	TheOuterCore	549
138	RebelAndroid	540
139	jcool7	522
140	Rasmanden	495
141	_Virify_	486
141	Iagoku	486
141	audiocracked	486
144	Njensen7	477
145	Karbl	468
146	SkateboardR6	459
147	Xalithia	450
147	MyNameIsJobo	450
147	Soplight	450
150	T045RTY	441
150	H72l9w	441
152	ImpavidArcher	432
152	MSK__	432
154	CliffEmAll	423
155	Incinere	414
155	eviltunix	414
155	Corbsman	414
155	Truckoss	414
159	RobotMinion101	405
160	PlzNoBM	396
161	alderban107	378
162	Jamstroxian	370
163	Froste131	369
163	I_Am_Mushkin	369
163	Dreamdbr14	369
163	TechnoNinja64	369
167	TooManyDuck	360
167	tobinwilliams	360
167	The_slideV3	360
170	_Karmaa	353
171	Bigmac7151998	352
172	diamondgolem35	351
172	FirsTimeGamingTV	351
172	surfinggiraffejp	351
172	Miko_Fullbuster	351
176	SpaceGrenadier	342
176	MangoTheFish	342
176	HolyVenom	342
179	_Bguette_	337
180	Hpdinosaur	333
181	ClemenPine	324
181	FelixPSY375	324
183	abramgray	315
183	Merv__	315
183	egglapras	315
183	censorsheep	315
187	ShedJr_	306
187	MovingFish7	306
189	monky_irl	298
190	Nach0Bear	297
190	Nycteus_	297
192	FishyBoy3811	288
192	Powowowow	288
192	kinas45y5	288
195	Marbz_	279
196	Hermanni__	270
197	JEWISHBadenBeele	261
197	Toriankel	261
199	Cowison	252
199	501g	252
199	geekbird	252
199	Eczbek	252
199	diggydog67	252
204	Bumpy419	243
205	himak1	234
206	hcb238	225
206	Xclax101	225
206	_TCARREIRA_	225
209	error10101	216
209	CoffeeNoir	216
209	emrekn	216
209	Optiprimus	216
213	SDMNAEK	207
213	Rocco_Lane	207
213	Hiryu27	207
213	Quotary	207
217	awesomeoneme	198
217	SellyZ	198
217	xxPipperDipperxx	198
217	Wowful	198
217	layabout100	198
222	Euclidoris	189
222	Scathra	189
222	WET_WET_WET	189
222	fkGrim	189
222	Legendosh	189
227	lotarp	181
228	NotMeanttoChange	180
228	pappaberg	180
228	wezzzi	180
231	Sleek_Storm_721	171
231	fr0stss	171
231	ese_wn_po	171
231	LexMakesHistory	171
231	Northernrabbit	171
236	titanlax	162
236	SammiWolfGirl	162
236	HesDemonPants	162
239	Whiterooster001	153
239	Sparky_KT	153
239	bloodbiter	153
239	ToastedGamingYT	153
239	Nagasaki_Riku	153
239	Luigipunch989	153
239	mawileite	153
239	The_SlideV5	153
247	SaucyDark	144
247	Arceus1975	144
247	epiksk8erduck	144
247	KliBeast21	144
247	BlankityMcBlank	144
252	Windo_licker	141
253	Wooptey	135
253	Ssor69	135
253	Winklepicker279	135
253	LilyNova	135
257	livingdaydreams	126
257	SeverianTheLame	126
257	juuustpeachy	126
257	NoChumpChange	126
257	SvenskaHugo	126
257	ItsJunoIGuess	126
257	ZeroKraken	126
257	Kubeusz2010	126
265	youhjjhhhjj	117
265	Kakolbus	117
265	_Boipl_	117
265	Afinnity	117
265	Deathkob	117
265	DarlaMeow	117
271	Vizzoid	108
271	Cryptacity	108
271	loveseeker	108
271	Nyxiom_	108
271	Soap_Bender	108
276	33sudo	103
277	hm947	102
278	AnnieBathory	99
278	Hoid_the_Roamer	99
278	lizardfightclub	99
278	FreddyFart	99
278	DemTechAlpha	99
278	_3Stump_	99
284	RoskobiOne	90
284	TAKrules	90
284	YungJakobo	90
284	Z3braYTIL	90
284	Flapjacker687	90
284	Mobstr	90
284	08061945	90
284	burbankbuilder28	90
284	ibarker21	90
284	KnightmareD	90
284	gustarbite	90
284	IAmTheWalrus910	90
284	anbbang	90
297	q_wq	81
297	LoboTheLobster	81
297	jushykins	81
297	Candad_	81
