rank	username	minecraft:crafted/minecraft:stone_bricks
175	Tobinator_007	2336
176	Snowflowe	2332
177	BronkerBrum	2328
178	layabout100	2308
179	Skomo	2304
180	Nach0Bear	2292
181	PeteO1995	2268
182	Quincannon	2264
183	benediktine1	2240
184	ProfessorDiaper	2216
184	Kyrum2169	2216
186	pintsizedrogue	2164
187	Arteriana	2152
188	sxc_	2112
189	BumbleBeever	2080
190	m_be9	2068
191	PegLegPete93	2056
192	gilesmcriles	1992
192	eviltunix	1992
194	cedric72	1984
195	Mewar	1976
195	Soap_Bender	1976
197	CaptainDeadBread	1972
197	Darkgon	1972
199	theonlymagikarp	1936
200	NameGenerat0r	1932
201	audiocracked	1868
202	Lord_Zacler	1860
203	slkiey	1812
204	fr0stss	1792
205	SexcMf	1748
206	JESS_THE_RERE	1740
207	Tommhh	1736
208	DermeinUser	1692
208	LilyNova	1692
208	ElKaySVK	1692
211	Matorz	1668
212	King_Pancake1	1664
213	Mobstr	1660
214	mariominejedi	1652
215	Bandito_Roamer	1632
216	sebastiensaborio	1616
217	drumine	1608
218	Natofthese	1564
219	BodaciousCake	1560
220	Vellu21	1548
220	h2p_emrld	1548
222	Ardennes	1540
223	AssFullaCum	1524
224	fkGrim	1520
225	toj__	1516
226	Soffbord	1508
227	JEWISHBadenBeele	1504
228	NormanFetus	1496
229	ciemacigans	1476
230	Notta	1468
231	Bazongoman	1432
232	Louiis123	1408
233	WET_WET_WET	1404
234	Jackster03	1372
235	Ecplosive	1368
236	ogoa	1360
237	KingMatthew506	1348
238	CollinMH06	1340
239	T045RTY	1336
240	q_wq	1316
241	ImpavidArcher	1312
242	sp00ky_ghost977	1304
243	Dusk_95	1300
244	ewsophie	1296
244	avalan64	1296
246	Deathkob	1288
246	Optiprimus	1288
248	chimpmunker	1280
248	gabriels543	1280
248	claivin	1280
248	FlashMigma	1280
252	The_SlideV5	1260
253	SpaggeDR	1244
254	OfficerAnvil	1236
255	CookTheChef3	1228
256	Crowvens	1204
257	Zedducius	1196
258	paranoid_plant	1192
259	bloodbiter	1176
260	cog	1172
261	SSytex_X	1168
262	jjettii	1160
263	Dreamdbr14	1152
264	_naturell	1120
264	lizardfightclub	1120
264	radioactv_jelly	1120
267	oxfordschool	1108
268	kinas45y5	1098
269	THExMuffinx	1088
270	CrookedKaptain	1084
271	livingdaydreams	1080
272	_8man	1072
273	Enderslayerxz3	1069
274	Vizzoid	1036
274	thgrocks	1036
276	The_Dark_One_00	1028
277	PlzNoBM	1024
278	Kijiki	1021
279	Myszoaz	1008
279	wobn	1008
281	AnnieBathory	1004
282	anbbang	996
283	Jorrdi	992
284	Ir0npack	972
285	Kubeusz2010	963
286	Russiancat1	952
287	fallingemma	944
288	TechnoNinja64	936
289	Motsaro	920
290	Hpdinosaur	912
291	FishisTTV	908
292	1442	896
293	ori0le	888
294	GLLogan2	880
294	Hisiste	880
296	Jiminbub	876
297	Ender_Souls	872
298	OtariCharlie	867
299	mawileite	860
300	Ssor69	852
