rank	username	minecraft:crafted/minecraft:stone_shovel
109	RyuNeko932000	9
109	ItsAki_	9
109	_Cloverbelle_	9
109	Skyle169	9
109	avalan64	9
109	mountaingirl311	9
109	momis24	9
109	DkansK	9
121	tortillatitan	8
121	ehunt54	8
121	__Fanda__	8
121	Di_infiri	8
121	Malware_Mara	8
121	Studyhallsaver	8
121	Shavrin	8
121	Leyna3	8
121	Hahaa_0	8
121	Ossem	8
121	Powowowow	8
132	beeperbeeper5	7
132	TastyPorkchop	7
132	QuiCreans	7
132	Stynxy	7
132	Ozixar	7
132	cheerytomato	7
132	StanceTB	7
132	Pineapplesugr	7
132	CharlieButt	7
132	M_Patata	7
132	Fast_Turtle	7
132	SvenskaSara	7
132	Felenov	7
132	Kynigito	7
132	ElderRifken	7
132	SpouHn	7
132	_Karmaa	7
132	Suraidu	7
132	OkamiITA	7
132	SvenskaHugo	7
132	calamariclam_I	7
153	dudcreeper	6
153	not_a_duck_23	6
153	6king6colt6	6
153	CoffeeNoir	6
153	Cortexia	6
153	BreadFruggis	6
153	Nab3rius	6
153	Cambo5000	6
153	xFaiithyX	6
153	Windo_licker	6
153	DeeDeeThonk	6
153	Lord_Jord	6
153	privatemeekly	6
153	MinuteMira	6
153	RedcatVII	6
153	Toriankel	6
153	MasterNueve	6
153	Juh1s	6
153	Luigipunch989	6
153	PlzNoBM	6
153	mawileite	6
153	athereall	6
153	OfficerAnvil	6
153	RadarHz	6
153	Legendosh	6
153	coobert42	6
153	Schlitzman	6
180	SKYPEX_	5
180	Myrosia	5
180	Lukeee33	5
180	RatatJuice	5
180	Reamdin	5
180	Scags	5
180	IWorkAtIkea	5
180	Tiberonus	5
180	lordofthelight95	5
180	thescout7	5
180	ZeroAbyssTTV	5
180	fr_ser	5
180	Reneedium	5
180	N7November	5
180	brickman241	5
180	SkyHighSkier	5
180	Akoot_	5
180	Pootis11	5
180	Avocadogerms	5
180	_k2x	5
180	DamagedSin	5
180	legoclone09	5
180	miramyu	5
180	c0la_c0ca	5
180	CalebDHawk	5
180	ConnorDanky_	5
180	tompup	5
180	FGamerJ	5
180	Oxygen16	5
180	diggydog67	5
210	Batoser	4
210	Ninzyyy	4
210	ImNotYuqii	4
210	KarlKaek	4
210	livzzzy	4
210	Killercatty78	4
210	SyntheticSurgeon	4
210	Jellybean1312	4
210	ryan521	4
210	Base_Tempest	4
210	heckface	4
210	Comma__	4
210	Chickenchaser2	4
210	Jakobo1337	4
210	Lumien_	4
210	crying_wolf_13	4
210	fallingemma	4
210	NotSoJamie	4
210	faulder	4
210	BigMoneyH	4
210	obzkon	4
210	SirPiccardo	4
210	HFSC	4
210	Btabtab	4
210	ScootOfBoot	4
210	Cruncy_	4
210	BRRRN179	4
210	PaperCanvas	4
210	Choco_Spy	4
210	MrButterscotch	4
210	bpmm	4
210	ori0le	4
210	SolicitedPuma101	4
210	madderfall	4
210	The_Skramz	4
210	Methalox1	4
210	sq0id	4
210	GeromeMerris	4
210	iGotUrHost	4
210	Factoroni	4
210	__hinterland__	4
210	Mistruth	4
210	bruh072	4
210	babyjimmyneutron	4
210	Pumpkin_P_Patch	4
210	starbits140	4
210	BioKing99	4
210	SammiWolfGirl	4
210	ssniffles	4
210	Skippeh	4
210	BreadBacon	4
210	blackmage426	4
210	LiquidFenrir	4
210	mediumBev	4
264	j4ck811	3
264	Louiis123	3
264	Im_SMX	3
264	jjettii	3
264	HazyDrummer	3
264	awesomeweasel	3
264	_stets	3
264	Sleek_Storm_721	3
264	ssleepless	3
264	RebelAndroid	3
264	Morgf	3
264	Mahoose	3
264	_themselves	3
264	DrichAldrich	3
264	titanlax	3
264	Saucepeh	3
264	shdesolt	3
264	ashetrays	3
264	Ravenbie	3
264	MrExplorer	3
264	Guillemet	3
264	tortfeezy	3
264	500am	3
264	ConcretePirate	3
264	stopfive	3
264	Laykon	3
264	emrekn	3
264	ROY4LE	3
264	ciemacigans	3
264	VanJosh	3
264	eiC_	3
264	UncleDanDan	3
264	DermeinUser	3
264	Minc_	3
264	SeverianOfUrth	3
264	juuustpeachy	3
264	Peeing	3
