rank	username	minecraft:crafted/minecraft:birch_trapdoor
93	Tommhh	20
93	_Nuf	20
93	MyNameIsJobo	20
93	Hoid_the_Roamer	20
93	YoshikageBites	20
99	titanlax	18
99	dezxalo	18
99	__tomato	18
99	Hermanni__	18
103	CoffeeNoir	16
103	SoftSix	16
103	MustaLoordi	16
103	SvenskaHugo	16
103	little_dUki	16
108	EMC_	14
108	jimintyy	14
108	xxPipperDipperxx	14
108	KeruNatsema	14
108	IAmTheWalrus910	14
108	kinas45y5	14
114	_Virify_	12
114	T045RTY	12
114	Fullut	12
114	dendydoom	12
114	Sky_light_KING	12
114	Quincannon	12
114	Kyrum2169	12
114	ItsJunoIGuess	12
122	Cryptacity	10
122	DSYisDizzy	10
122	SingedBread	10
125	q_wq	8
125	6king6colt6	8
125	Iagoku	8
125	Dedalus36	8
125	dopplexd	8
125	jacxhadow	8
125	LotusProject	8
125	PegLegPete93	8
125	Snowflowe	8
125	MonitorLizards	8
125	Maenara	8
125	GravitySaint	8
125	ReyTheLegend	8
125	lcvezra	8
125	fffMike	8
140	SaucyDark	6
140	Myszoaz	6
140	Meme25327	6
140	Blackberry1310	6
140	12Magner05	6
140	eclipseboi	6
140	M_Patata	6
140	phomic	6
140	ChillenChiggen	6
140	Onennon	6
140	Drewen24	6
140	Akoot_	6
140	TheTrueClipse	6
140	_Bguette_	6
140	The_Quack_Dealer	6
140	_Karmaa	6
140	fluddd	6
140	MasterNueve	6
140	djancak	6
159	gaziter10	4
159	Digcove	4
159	Otto_chan	4
159	ThePoliteG	4
159	Kkanot	4
159	XboxPanda	4
159	mads388a	4
159	__Fanda__	4
159	AJplaysMC_	4
159	Hyp3rion_	4
159	SIRdrumroll	4
159	Myhym	4
159	Inbefour	4
159	AlexChristian	4
159	Deathkob	4
159	ChocolatePepsi	4
159	Nycteus_	4
159	Racengan	4
159	BumbleBeever	4
159	JosephCW	4
159	LetsDoItLive	4
159	bloomkieren	4
159	BlankityMcBlank	4
159	Kubeusz2010	4
159	mobunni	4
159	cichy096	4
159	BreadBacon	4
159	Nicserso	4
159	Jordan_R	4
188	Mr_Byzantine	2
188	The_Great_Jake	2
188	teslawolf38	2
188	chimpmunker	2
188	bigstankyy	2
188	Incinere	2
188	HollieDaNugget	2
188	IWorkAtIkea	2
188	Atroxes	2
188	OwenBrew	2
188	Malorn_Aetherius	2
188	cowgirlkasia	2
188	shdesolt	2
188	ProfessorBee	2
188	NotMeanttoChange	2
188	NotTrixi	2
188	Ithaca_GC	2
188	Poppycop	2
188	Zenlou	2
188	Covalents	2
188	ItzYaBoiPicard	2
188	Chazama	2
188	CharlieButt	2
188	Avrelion	2
188	RustyKedel	2
188	Ecplosive	2
188	CarltheCuck	2
188	Rumpletaezer	2
188	AlexStrange	2
188	Truckoss	2
188	HyperCave	2
188	epiksk8erduck	2
188	wrinkledpiglet	2
188	xKhoshekh	2
188	PuFY	2
188	YahooScreen9000	2
188	ADEXTV	2
188	Tergandius	2
188	natajimi	2
188	LexMakesHistory	2
188	proxivitoid	2
188	NameGenerat0r	2
188	censorsheep	2
188	Barlycorn	2
188	Shin69	2
188	yatsuta	2
188	Kowcio_	2
188	ediballbearings	2
188	Luigipunch989	2
188	y0shik	2
188	UltraZombie	2
188	Ir0npack	2
188	CalebDHawk	2
188	MilleGrug	2
188	KingMatthew506	2
188	_KuruKuru	2
188	EcksD	2
188	_AAZAR	2
188	FelixPSY375	2
188	Yahrto	2
188	MelodyGaysharks	2
