rank	username	minecraft:crafted/minecraft:blaze_powder
149	MyNamaSheff	32
149	YoshikageBites	32
149	h2p_emrld	32
158	SoftSix	30
158	jambvds	30
158	censorsheep	30
158	vandmanden	30
162	Groovy_MoonBird	28
162	I_Am_Mushkin	28
162	TooManyDuck	28
162	lizardfightclub	28
162	Lutres_Torane	28
162	ItzWqlfy	28
168	youhjjhhhjj	26
168	ThePoliteG	26
168	Snowflowe	26
168	AuroraSkies	26
168	TheSeismicDuck	26
173	monky_irl	25
174	Jovaphobic	24
174	Harotio	24
174	EllaBellaChu	24
174	Vizzoid	24
174	crying_wolf_13	24
174	walll	24
174	Gab4101	24
174	Gryglu583	24
174	GoofyBread	24
174	Blu3beast	24
174	kinas45y5	24
185	Xalithia	22
185	Kakolbus	22
185	pixelviolin	22
185	Steelynan	22
189	Froste131	20
189	SyK7	20
189	diamondgolem35	20
189	KomputerDude	20
189	Comma__	20
189	jushykins	20
189	MattieHD	20
189	__TheNorseMan__	20
189	xo_Marren_xo	20
189	AssFullaCum	20
199	FirsTimeGamingTV	18
199	NotMeanttoChange	18
199	XxCookiequeenxX	18
199	Luigipunch989	18
203	AgressiveEggdog	16
203	Guillemet	16
203	TableTim	16
203	_Boipl_	16
203	fw3xywashere	16
203	PortlyPete69	16
203	jcool7	16
203	anbbang	16
203	JayToe	16
212	Franco093	14
212	SpaceGrenadier	14
212	BilboBaggins23	14
212	_Magdo_	14
212	M_Patata	14
212	Marbz_	14
212	Leyna3	14
212	masskedman	14
212	SwooshBoi	14
212	Xclax101	14
212	MasterNueve	14
212	Njensen7	14
224	JohnnyFyes	12
224	Cowison	12
224	Flores991	12
224	ShedJr_	12
224	SharpDev	12
224	gcaisawesome	12
224	TheDankPlatypus	12
224	Winklepicker279	12
224	epiksk8erduck	12
224	FreddyFart	12
224	Jiminie	12
224	_TCARREIRA_	12
224	striker90333	12
237	Tolhart	10
237	H72l9w	10
237	fr0stss	10
237	Malorn_Aetherius	10
237	MinttyFressh	10
237	ROY4LE	10
237	Covalents	10
237	Paintz	10
237	CharlieButt	10
237	SuperPooch06	10
237	LAVA129	10
237	fkGrim	10
237	Deathkob	10
237	MakeHistory157	10
237	Juh1s	10
237	ProbsNotNova	10
237	HesDemonPants	10
237	Zoeyfortnite	10
237	trexgb	10
256	NinjaKnifeKill	8
256	Myszoaz	8
256	301851	8
256	ratglock	8
256	himak1	8
256	Mewar	8
256	eiC_	8
256	mariominejedi	8
256	whoaluv	8
256	WET_WET_WET	8
256	Donutt	8
256	RobotMinion101	8
256	Agent108	8
256	LexMakesHistory	8
256	_Karmaa	8
256	NameGenerat0r	8
256	DeGodz4life	8
256	Legendosh	8
274	SaltineDream	6
274	RoskobiOne	6
274	The_Dark_One_00	6
274	ssleepless	6
274	awesomeoneme	6
274	slkiey	6
274	PegLegPete93	6
274	Bazongoman	6
274	andy_rex	6
274	Solar_Power	6
274	Rebytre	6
274	bee_gorl	6
274	TTNG	6
274	FishyBoy3811	6
274	TheTrueClipse	6
274	SpookyDraggin	6
274	Quincannon	6
274	MAns_44	6
274	WhyTho_1	6
274	EfficientC52	6
274	FlashMigma	6
274	BumbleBeever	6
274	TheDumbHuman	6
274	Razzgriz	6
274	ediballbearings	6
274	lcvezra	6
274	PlzNoBM	6
