rank	username	minecraft:crafted/minecraft:stone_brick_wall
110	Elastiq	90
110	silverpopcorn	90
110	Biites	90
114	Matek_	84
114	Fuad_R	84
114	Jaka_Saurus_715	84
117	Quotary	79
118	Tommhh	78
118	SoftSix	78
118	Matorz	78
121	Reneedium	77
122	500am	75
123	Kowcio_	74
124	SaphLaseer	72
124	AlazelTheReal	72
124	MoistMicrowave	72
124	FlashMigma	72
124	Nicserso	72
129	PaperCanvas	67
130	UCP_TheKingK	64
131	Crowvens	60
131	T045RTY	60
131	rarrq	60
131	Inchef	60
131	olliebollie48	60
131	Hyp3rion_	60
131	Bumpy419	60
131	Hiryu27	60
131	IamCL4SSY	60
131	Akoot_	60
131	stavgod	60
131	VentiHilton	60
143	LAVA129	54
144	Steelynan	50
145	UncreativeArtist	49
146	Bandito_Roamer	48
146	Ssor69	48
146	MAns_44	48
146	Juh1s	48
146	Sheldor097	48
146	bitsplease	48
146	cichy096	48
146	xolstoi	48
154	Avocadogerms	47
155	squigglybones	42
155	MyNameIsJobo	42
155	Maenara	42
155	NoChumpChange	42
155	xyfrs	42
155	UrbanPlanningEx	42
161	SingedBread	38
162	mwrty	36
162	XboxPanda	36
162	GooseWithin	36
162	MakeHistory157	36
162	Kijiki	36
162	Legendosh	36
162	HesDemonPants	36
169	lordpipe	35
170	ZeroAbyssTTV	32
171	Kubeusz2010	31
172	Tobinator_007	30
172	Fullut	30
172	LeauVox4921	30
172	prizm_	30
172	fkGrim	30
172	LexMakesHistory	30
172	drumine	30
172	layabout100	30
172	mobunni	30
172	Skippeh	30
182	KeruNatsema	29
183	SaltineDream	24
183	bigstankyy	24
183	ImpavidArcher	24
183	Sebaschan__	24
183	ITDV	24
183	Mr_Sun15	24
183	Lutres_	24
183	Eraxa	24
191	Jimb0nat0r	21
192	ganyuganyu	20
193	H0UNDFRMH3LL	18
193	Ryan_GEMS	18
193	Reamdin	18
193	Da_Boss_Rani	18
193	titanlax	18
193	bloodbiter	18
193	kekhon	18
193	_Boipl_	18
193	Felenov	18
193	selectrix	18
193	djancak	18
193	Spenduh	18
193	SammiWolfGirl	18
193	athereall	18
193	Powowowow	18
208	Hahaa_0	15
209	KarlKaek	12
209	BoraMC	12
209	Myszoaz	12
209	Ozixar	12
209	Blackberry1310	12
209	TheSecondLord	12
209	Rich_Kat	12
209	Stiar	12
209	SeverianOfUrth	12
209	BlueZabu	12
209	JETrotter	12
209	Rebytre	12
209	ApophisNova	12
209	Xclax101	12
209	Chayula	12
209	MyNamaSheff	12
209	TheRealHi	12
226	j5ylim	11
227	groofles	9
228	AlexxO_o	7
229	RosaDoesMC	6
229	Houstonion	6
229	Saltymart	6
229	TooManyDuck	6
229	Tolhart	6
229	RatatJuice	6
229	RebelAndroid	6
229	Dblikstad	6
229	Crowman1	6
229	xPixelRainx	6
229	MattieHD	6
229	PegLegPete93	6
229	killerzant	6
229	r123moore	6
229	NoxxxxiS	6
229	0nly_sn1per	6
229	toj__	6
229	Bucscw24	6
229	SuperPooch06	6
229	Eczbox	6
229	TheWildMateo	6
229	Kouridragon	6
229	The_Cruncy	6
229	LeGold	6
229	HolyVenom	6
229	LeonelSalamanca	6
229	Tyrannosplart	6
229	censorsheep	6
229	RedcatVII	6
229	Druid95	6
229	Lord_Doob	6
229	yatsuta	6
229	Ir0npack	6
229	Eczbek	6
229	Sral7	6
264	Archsam	5
264	TheDankPlatypus	5
266	Alteriity	4
266	lunathelemon	4
266	Hisiste	4
269	Snowflowe	2
269	SvenskaSara	2
271	oscminus	1
271	IdeallyGrey	1
271	tsitrawhy	1
271	pk1297	1
