rank	username	minecraft:crafted/minecraft:cobblestone_slab
88	pintsizedrogue	572
89	CrateOfBoxes	558
90	r123moore	546
90	Donutt	546
90	Inbefour	546
93	gcaisawesome	530
94	wwwwinnebagoooo	522
95	CollinMH06	516
96	HellsSponge	474
97	Fullut	468
98	Adlair	462
98	Negriuke	462
100	Rebytre	456
101	_Dean_123	450
102	SaltineDream	444
103	picardred	438
103	Hermanni__	438
105	ewsophie	432
105	gabriels543	432
105	CACTUSLAD	432
108	TheMilkerOfCats	426
108	TheDankPlatypus	426
110	noam464	424
111	MightyWertu	417
112	Incinere	414
112	WET_WET_WET	414
114	yulgur1	402
115	XxCookiequeenxX	388
116	chlorinex	384
116	LilyNova	384
116	El_Jalapeno	384
116	Soul_Atreus	384
120	NotMeowMix	372
121	EcksD	366
122	JayToe	364
123	avalan64	360
124	Houstonion	354
124	loveseeker	354
126	Hisiste	348
127	__Fanda__	342
128	PlasticOtari	341
129	Malorn_Aetherius	336
130	FishyBoy3811	330
130	The_slideV3	330
132	Kubelz	324
133	Pickel_Lord	318
133	gaming4Naming	318
135	beeperbeeper5	306
135	gloryoftherain	306
135	Dogcorn69420	306
138	monky_irl	303
139	Toowny	300
140	Blu3beast	294
141	wezzzi	288
141	The_Quack_Dealer	288
141	diggydog67	288
144	heysushii	282
144	Purplehere	282
146	UrbanPlanner1978	281
147	Ev0luti0nz	276
147	intropass	276
147	Juh1s	276
150	CharlieButt	270
150	Sh4bby	270
152	Nyxiom_	264
152	PigDab	264
152	cytotoxaint	264
152	WyngGoy	264
156	AngalexikCZ	258
156	chipklip	258
158	thewindmillman	253
159	Kamflame10	252
159	SamZombie	252
159	KeruNatsema	252
162	slkiey	246
162	Motsaro	246
164	CruncyIsTaken	240
164	Groundler	240
166	Fast_Turtle	236
167	awesomeoneme	234
167	cichy096	234
169	Merv__	228
169	fr0stss	228
169	DkansK	228
172	dedgt	216
173	tortillatitan	204
173	sarahlynn00	204
173	rotten_mango	204
176	OfficerAnvil	198
177	underscore_2	195
178	ReyTheLegend	194
178	Soplight	194
178	Eczbek	194
181	Flopperdonkey	192
182	Kubeusz2010	188
183	yoyoYoloMonke	186
183	Kekoo	186
185	q_wq	180
185	KarlKaek	180
185	ImpavidArcher	180
185	Chromary	180
189	Jackster03	174
189	CheifJumbo	174
191	Zoeyfortnite	168
192	funnyblitz123	162
192	Shiirazuku	162
192	ewpunk	162
192	Chayula	162
192	SammiWolfGirl	162
197	set67	160
197	adiccting01	160
199	MangoTheFish	158
200	EcksDofficial	156
201	Tolhart	150
201	Sral7	150
203	censorsheep	144
204	hollowww	138
204	SaucyDark	138
204	_Razar	138
204	TheThomas69	138
204	Jimi7hits	138
204	OG_Songsee	138
204	BreadBacon	138
211	Lukeee33	132
211	NameGenerat0r	132
213	Jovaphobic	126
213	soundad	126
213	I_Am_Mushkin	126
213	oreee	126
213	urbeans	126
213	Notta	126
213	jacxhadow	126
213	ROY4LE	126
213	SLASHZEERA	126
213	BronkerBrum	126
213	Skylord_Luke	126
213	Wowful	126
213	Jiminie	126
213	StinkyDiplomat	126
213	Fildyr	126
213	lordpipe	126
213	lilguppy	126
213	07shiny	126
213	starbits140	126
213	fffMike	126
233	Seindi	124
234	benediktine1	120
234	brycepants	120
234	KevinLikesPie	120
234	Shogunite	120
234	bruh072	120
234	bitsplease	120
234	Lowjinx	120
241	Luuk2909	114
241	Dragonlfw	114
241	brickman241	114
241	MangoSalad316	114
241	Skippeh	114
246	RebelAndroid	108
246	MyNameIsJobo	108
246	SlayerCrypto	108
246	MustaLoordi	108
246	MakeHistory157	108
246	ElectricDragon81	108
246	YoshikageBites	108
253	kiluaemc	100
254	Mr_Byzantine	96
254	zylanzagreat	96
254	Smiguli_	96
254	ItsDeltaMC	96
254	561cool	96
259	SvenskaHugo	94
260	Mowelan	90
260	Historical_Sand	90
260	TinMaster	90
260	killmeiamtraitor	90
260	dendydoom	90
260	Meatlaugh	90
260	jnp_gaming	90
260	The_SlideV5	90
268	Spenduh	88
269	PegLegPete93	84
269	RobotMinion101	84
269	Fuhrer_Teemo	84
272	Gooberkid223	82
272	MineMaster0012	82
274	_stets	78
274	jspwn	78
274	Prodiginus	78
274	Inchef	78
274	Nicole_Plus	78
274	MyNameIsDakar	78
274	Ripzch	78
274	Powowowow	78
282	420BreadLizard	72
282	Deathkob	72
282	1442	72
282	NebulousBadger	72
282	Kijiki	72
282	Apicomplexa	72
288	Xclax101	70
288	Enderslayerxz3	70
290	Flores991	66
290	Frxnkz	66
290	MoistEggo	66
290	MattieHD	66
290	platinumzero	66
290	DizzleJay311	66
290	DrGrant	66
290	Matorz	66
290	CSG_Haru	66
290	_Tilariel_	66
290	MelodyGaysharks	66
