rank	username	minecraft:crafted/minecraft:white_carpet
107	NotMeanttoChange	192
107	emrekn	192
107	_8man	192
107	__tomato	192
111	NameGenerat0r	189
112	ImpavidArcher	180
112	mwrty	180
112	IamCL4SSY	180
115	AspenLightVT	165
116	titanlax	162
116	Kubelz	162
116	SingedBread	162
119	MilleGrug	159
120	Enderxz3	156
121	livingdaydreams	153
122	pixelviolin	152
123	Cocoamallows	150
124	Blackberry1310	147
124	selectrix	147
126	Smashic	141
126	whoaluv	141
128	420BreadLizard	135
129	Mewar	132
130	The11thDoctor	129
131	KingMatthew506	117
132	stavgod	114
133	MAns_44	111
134	Samificator	108
135	hm947	102
136	BlankityMcBlank	99
137	yheece	96
137	cedric72	96
137	AltnumberF4	96
140	_Dean_123	93
140	philandr	93
142	KlausVonStiglitz	90
143	Kyrum2169	87
144	301851	84
144	AJplaysMC_	84
144	MustardSquid	84
144	TechnoNinja64	84
148	peach0s	81
148	mihimihimihi	81
148	tsitrawhy	81
151	SaucyDark	78
152	royal_2	76
152	ROY4LE	76
154	legal_tax_evader	75
155	fffMike	72
155	Nicserso	72
157	Froste131	69
157	_Huge_Male_	69
157	Comma__	69
157	BRRRN179	69
157	Soap_Bender	69
157	Cache3	69
157	PlzNoBM	69
157	HuangMeiHua	69
165	Dali1465	66
165	Moofyman	66
165	The_slideV3	66
168	EfficientC52	64
169	Gus2005	63
170	DarkDescent2392	60
170	NomadicRobin_	60
172	RoskobiOne	57
172	slkiey	57
172	_Shadow66_	57
175	CLG_Kata	54
175	SmashingPump	54
175	EMC_	54
175	SpacesickPrism	54
179	Groovy_MoonBird	51
179	iSammael	51
179	Soplight	51
179	Sral7	51
183	TheDankPlatypus	48
183	SuperPooch06	48
183	Akoot_	48
183	Fildyr	48
183	wwwwinnebagoooo	48
188	Hpdinosaur	45
188	Inbefour	45
188	MS_Pryxx	45
188	MovingFish7	45
188	djancak	45
193	rarrq	42
193	himak1	42
193	SvenskaSara	42
193	Skylord_Luke	42
197	SlowMoNinja1994	39
197	ShedJr_	39
197	CACTUSLAD	39
197	robonya_	39
197	FormulaNewt3627	39
202	diamondgolem35	36
202	EveryonesUncle	36
202	Kijiki	36
202	ZoomieZoomie	36
206	PazinGaming	33
206	fade_emerge78823	33
206	BumbleBeever	33
206	Druid95	33
210	k_ce	30
210	MoistMicrowave	30
210	eiC_	30
210	The_Fulgurator	30
210	AstreaTSS	30
210	Warlord324	30
210	Deguns123	30
210	Powowowow	30
218	KermitTheKripple	29
219	Bruh77	27
219	TheFlfthHorseman	27
219	KeruNatsema	27
219	mawileite	27
219	00000000-0000-0000-0009-01ff0c3e5e4f	27
224	PhantomsGhost_	24
224	IgnoredBee	24
224	Da_Boss_Rani	24
224	Leyna3	24
224	_Crimson_Legate	24
224	jcool7	24
224	Biites	24
231	Blasterboy54	22
232	UltimuShadow	21
232	TooManyDuck	21
232	Natty	21
232	Prismyst	21
232	Crizma_	21
232	PlasmaElk	21
232	excelsionprime	21
232	RobotMinion101	21
232	Dakar_	21
232	miramyu	21
242	Myszoaz	18
242	fragrantmonke444	18
242	burbankbuilder28	18
242	Reneedium	18
242	wrinkledpiglet	18
242	zToasty69z	18
242	Hahaa_0	18
242	Fuhrer_Teemo	18
242	SkateboardR6	18
242	Eraxa	18
242	jaimshae	18
242	OfficerAnvil	18
242	UrbanPlanningEx	18
255	T045RTY	15
255	FirsTimeGamingTV	15
255	picardred	15
255	dopplexd	15
255	GLLogan2	15
255	Inchef	15
255	Bazongoman	15
255	nut_e	15
255	oscminus	15
255	LilLizardWizard	15
255	ewpunk	15
255	PixelatedBoss	15
255	StarCookiees_	15
255	non089	15
255	WYFYoyo	15
255	MelodyGaysharks	15
271	Cowison	12
271	6king6colt6	12
271	Sleek_Storm_721	12
271	jimintyy	12
271	Sleepy_Time_	12
271	MattieHD	12
271	LeauVox4921	12
271	andy_rex	12
271	Mr_Sun15	12
271	ougstur	12
271	FishyBoy3811	12
271	txxskx	12
271	JESS_THE_RERE	12
271	El_Jalapeno	12
271	LordSpeed37	12
271	Segotep999	12
271	Celeste_121	12
288	H0UNDFRMH3LL	9
288	j5ylim	9
288	Deu_Stew	9
288	shineh10	9
288	q_wq	9
288	myaccountwasgone	9
288	remgrandt	9
288	abdomera	9
288	Reamdin	9
288	NinjaKnifeKill	9
288	SpaceGrenadier	9
288	fr0stss	9
288	Fullbit_	9
