rank	username	minecraft:crafted/minecraft:polished_granite
154	TheThomas69	104
154	Lumien_	104
154	ItsAki_	104
157	Jovaphobic	100
158	Apollo_993	96
158	Inchef	96
158	brrh	96
161	MyNameIsJobo	92
161	Eczbek	92
163	CaptainDeadBread	88
163	h2p_emrld	88
165	skroobiez	84
165	crying_wolf_13	84
165	Gzrdy	84
165	Karbl	84
165	Manaateee	84
170	SlowMoNinja1994	80
171	ECstardust	72
171	andy_rex	72
173	pappaberg	68
173	Blaiku	68
173	Njensen7	68
176	CLG_Kata	64
176	SmashingPump	64
176	Jackster03	64
176	Malorn_Aetherius	64
176	_Nuf	64
176	Bazongoman	64
176	mariominejedi	64
176	Jackattack53	64
176	Skylord_Luke	64
176	Moofyman	64
176	audiocracked	64
176	The_slideV3	64
176	Quincannon	64
176	radioactv_jelly	64
176	sp00ky_ghost977	64
176	SexcMf	64
176	stavgod	64
176	AssFullaCum	64
176	BlankityMcBlank	64
176	xof_on_microwave	64
176	Sheldor097	64
176	EngagedGrub41	64
176	diggydog67	64
199	MOSS000	60
199	PigDab	60
201	Mocha_Mug	56
201	jpoxman	56
201	Ajax6	56
201	annebolyn	56
205	groofles	52
205	madderfall	52
205	Luigipunch989	52
208	_Virify_	48
208	Myszoaz	48
208	nocturne78	48
208	bbrothers_5	48
208	TheSecondLord	48
208	Cortexia	48
208	BilboBaggins23	48
208	grislgrobl	48
208	_Crimson_Legate	48
217	jacxhadow	44
217	Dakar_	44
217	ElKaySVK	44
217	CLUBN2	44
221	PegLegPete93	40
221	NNikitas	40
223	Snowflowe	36
224	_Huge_Male_	32
224	Comma__	32
224	TheWildMateo	32
224	Elastiq	32
224	Airem_Core	32
224	legoclone09	32
224	therobo300	32
224	mobunni	32
232	SteveCraftBlocks	28
232	minersam1	28
232	Rumpletaezer	28
232	NoxXIV	28
236	SyK7	24
236	soundad	24
236	fkGrim	24
236	Barlycorn	24
236	Druid95	24
236	Conrad139	24
236	obzii	24
236	mountaingirl311	24
244	pintsizedrogue	20
244	LoganDSA	20
244	Minimize501	20
244	Gregward_Smith	20
244	2Stout	20
244	SeverianOfUrth	20
244	RustyKedel	20
244	RyuNeko932000	20
252	Bandito_Roamer	16
252	Ryker	16
252	ashetrays	16
252	Fullut	16
252	salvinia	16
252	ConnorTG5	16
252	Kubeusz2010	16
252	PlasticOtari	16
260	eitanzaki	12
260	hayybails	12
260	91stCataclysm	12
260	mick407	12
260	thewindmillman	12
260	nut_e	12
260	PaperCanvas	12
260	Fuad_R	12
260	LordSpeed37	12
260	TheKingK_	12
270	DirtyDalle	8
270	Kubelz	8
270	Photosynthesis_s	8
270	al626win52	8
270	ssniffles	8
270	Skippeh	8
270	Yahrto	8
270	TheWickedBird	8
278	SingedBread	6
279	Mowelan	4
279	CueMix	4
279	Argraol	4
279	DinoDoctor_	4
279	Hpdinosaur	4
279	RebelAndroid	4
279	Franco093	4
279	lorywithay	4
279	Blackberry1310	4
279	tortfeezy	4
279	paranoid_plant	4
279	Scathra	4
279	fallingemma	4
279	Boipl	4
279	GamerDuck123	4
279	MousePlays	4
279	Drewen24	4
279	MAns_44	4
279	Blu3beast	4
298	Leyraxos	1
298	Jordan_R	1
