rank	username	minecraft:crafted/minecraft:dark_oak_fence
246	_Dean_123	18
246	Karetoko	18
246	thgrocks	18
246	Lutres_Torane	18
246	Kyrum2169	18
246	Enderslayerxz3	18
246	2blox	18
246	The_SlideV5	18
257	Drlzyy	15
257	dopplexd	15
257	G1ldor	15
257	minersam1	15
257	gabriels543	15
257	Chromary	15
257	RodSerlingCringe	15
257	Sky_light_KING	15
265	AshleeCW	12
265	actuallysadie	12
265	tramizu	12
265	cowgirlkasia	12
265	Comma__	12
265	set67	12
265	Felenov	12
265	claivin	12
265	the__Reaper4999	12
265	ElectricDragon81	12
265	Kijiki	12
265	TheOuterCore	12
277	rachcl	9
277	Hpdinosaur	9
277	TAKrules	9
277	nocturne78	9
277	featherflyy	9
277	SourPapaSmurf	9
277	CruncyIsTaken	9
277	PigDab	9
277	KliBeast21	9
277	chipklip	9
277	MangoSalad316	9
277	Kubeusz2010	9
277	JayToe	9
290	MunkaKris	6
290	Auseawesome	6
290	Hanselhoof	6
290	thewindmillman	6
290	ogoa	6
290	Nagasaki_Riku	6
290	SvenskaHugo	6
290	MineMaster0012	6
290	EtherealEspresso	6
290	Juh1s	6
290	alderban107	6
