rank	username	minecraft:crafted/minecraft:iron_leggings
137	IamCL4SSY	3
137	wezzzi	3
137	audiocracked	3
137	Veillax135	3
137	handsome_strong	3
137	DemTechAlpha	3
137	Jaka_Saurus_715	3
137	_Karmaa	3
137	QueenShuvi	3
137	RedcatVII	3
137	MS_Pryxx	3
137	silverpopcorn	3
137	Warlord324	3
137	WyngGoy	3
137	Razzgriz	3
137	Soul_Atreus	3
137	Jij0	3
137	NeoJordache	3
137	Nekomin0	3
137	_TCARREIRA_	3
137	Luigipunch989	3
137	Catharsist	3
137	Nargotah	3
137	Steelynan	3
137	Eczbek	3
137	TheOnlyRake	3
137	EcksD	3
137	2bolx_	3
137	WYFYoyo	3
137	JayToe	3
137	h2p_emrld	3
211	gary_	2
211	Alexanderjac	2
211	Mr_Worthless	2
211	H0UNDFRMH3LL	2
211	weezygator	2
211	Groovy_MoonBird	2
211	dudcreeper	2
211	abramgray	2
211	Mowelan	2
211	Cowison	2
211	squigglybones	2
211	dabloons	2
211	hollowww	2
211	BigBootyHudge	2
211	shineh10	2
211	Ilinca_Io	2
211	DepressedCubic	2
211	I_Am_Mushkin	2
211	jessemgaming	2
211	bigstankyy	2
211	Hyugo	2
211	gren_ben	2
211	Esme_1	2
211	TooManyDuck	2
211	Flores991	2
211	tuckerdoodle	2
211	Wooptey	2
211	HollieDaNugget	2
211	ewsophie	2
211	Seyaboy	2
211	lotarp	2
211	Huwulling	2
211	Reamdin	2
211	Jackster03	2
211	Prismyst	2
211	elleparo	2
211	sejekasper1	2
211	Lez_	2
211	w3nd3lbo3	2
211	Ssor69	2
211	FirsTimeGamingTV	2
211	Valoth	2
211	Auseawesome	2
211	DarkFisto	2
211	Cryptacity	2
211	mattybeewrapss	2
211	MinttyFressh	2
211	DarkDescent2392	2
211	Cortexia	2
211	zorin123	2
211	eclipseboi	2
211	Jokerman369	2
211	Fullut	2
211	boog4loo	2
211	AngalexikCZ	2
211	crying_wolf_13	2
211	Kamflame10	2
211	MindyDooWho	2
211	Mookle96	2
211	orxngejuice	2
211	intropass	2
211	Xalithia	2
211	hcb238	2
211	r123moore	2
211	NoxxxxiS	2
211	ItzYaBoiPicard	2
211	DermeinUser	2
211	drunkeeez	2
211	M_Patata	2
211	ZeroAbyssTTV	2
211	RustyKedel	2
211	juuustpeachy	2
211	Ecplosive	2
211	trixterrx	2
211	xFaiithyX	2
211	Orcus113	2
211	Windo_licker	2
211	TastefulBas	2
211	nitram49b	2
211	gabriels543	2
211	DukeBoy1646	2
211	Jackattack53	2
211	SuperPooch06	2
211	WET_WET_WET	2
211	yaboo88	2
211	RefluxRatio	2
211	Nyxiom_	2
211	MangoTheFish	2
211	thebaddruid	2
211	Rocco_Lane	2
