rank	username	minecraft:crafted/minecraft:melon
184	Houstonion	326
185	Hoid_the_Roamer	320
186	TiborSterle	312
187	Blackberry1310	311
188	NomadicRobin_	298
189	ElectricDragon81	289
190	PhantomsGhost_	268
191	Hyugo	256
191	CowOfTheNile	256
191	MS_Pryxx	256
191	K_a__a_n	256
195	Winklepicker279	246
196	OreTheBear	234
197	El_Jalapeno	228
198	MSK__	222
199	KlausVonStiglitz	219
200	jcool7	213
201	JureJurko	209
202	Lez_	207
203	DaviusMaximoose	205
203	HellsSponge	205
205	ReflexCode	196
206	Wanjibon	193
207	Myszoaz	191
208	Shin69	189
209	Jiminbub	188
210	Chrisdeadeye	184
211	PortlyPete69	183
212	nattybears	181
213	Kura2218	180
214	Euclidoris	177
215	ShedJr_	175
216	epiksk8erduck	170
217	Schokoreo	163
218	NatalieTW	162
219	Crumbls	156
220	Matemkas	149
221	JayToe	148
222	yulgur1	135
223	walll	128
223	Soul_Atreus	128
223	Kowcio_	128
223	EtherealEspresso	128
227	Majonezzon	119
228	seramalen	107
229	blackeemperor	105
230	Cocoamallows	104
231	Dakar_	99
232	MrMeisterProper	95
233	DemTechAlpha	92
234	Ximid	91
235	lorywithay	88
236	Bandito_Roamer	87
237	Hormones	85
238	corvidpartyfor6	67
239	Nicserso	66
240	MattieHD	64
240	andy_rex	64
240	Vegvisir	64
240	ItsJWolff	64
240	Hisiste	64
240	WyngGoy	64
240	Luigipunch989	64
247	tsitrawhy	63
248	jologsimp	61
249	surfinggiraffejp	57
250	jspwn	56
250	Waffleman258	56
250	the_russell1611	56
250	smogfrog	56
254	Skippeh	53
255	RasseThePanda	52
256	Cats_Fly	49
256	MonitorLizards	49
256	pretty_pink_reno	49
259	FGamerJ	47
260	LeeMcGee30	44
261	platinumzero	43
261	2r_	43
263	the_fireminer	42
263	nut_e	42
263	rylikesrawtoast	42
266	LordAurum	37
267	Cellcorgi649	35
267	SvenskaSara	35
267	xofe	35
270	videogames_	28
270	THEKINGLyric10	28
270	skitzxo	28
270	diggydog67	28
274	xxPipperDipperxx	27
275	TAKrules	23
276	livingdaydreams	22
276	AlphaWolfPlaysMC	22
276	WYFYoyo	22
279	TUNDR0	21
279	stellarjay	21
281	djancak	17
282	Fast_Turtle	15
283	MeowMeowMcmuffin	14
283	duqboy	14
283	Lekol	14
283	mihimihimihi	14
287	brofrickcheaters	13
288	T045RTY	12
288	taengoos	12
290	Joestra	11
291	Crizma_	10
291	ItsAki_	10
293	annebolyn	8
294	ganyuganyu	7
294	UncreativeArtist	7
294	Arceus1975	7
294	cog	7
294	LeEricc	7
294	Kubeusz2010	7
300	SlayerCrypto	5
