rank	username	minecraft:crafted/minecraft:red_shulker_box
91	soundad	2
91	ssleepless	2
91	Myszoaz	2
91	MSK__	2
91	joethahobo	2
91	xPixelRainx	2
91	Rich_Kat	2
91	fade_emerge78823	2
91	xxPipperDipperxx	2
91	Ecplosive	2
91	Marbz_	2
91	Snowflowe	2
91	Hoid_the_Roamer	2
91	Jimi7hits	2
91	Sky_light_KING	2
91	Lord_Jord	2
91	wezzzi	2
91	1442	2
91	Jamstroxian	2
91	censorsheep	2
91	Steven1282598	2
91	IAmTheWalrus910	2
91	WyngGoy	2
91	pixelviolin	2
91	tsitrawhy	2
91	lcvezra	2
91	SammiWolfGirl	2
91	_TCARREIRA_	2
91	obzii	2
91	Dogcorn69420	2
91	KingMatthew506	2
91	alderban107	2
91	EcksD	2
91	AltnumberF4	2
91	Sral7	2
129	Jovaphobic	1
129	Groovy_MoonBird	1
129	ProbablyNick	1
129	PhantomsGhost_	1
129	JEWISHBadenBeele	1
129	AuroraValkyrie	1
129	teslawolf38	1
129	EMC_	1
129	diamondgolem35	1
129	Iagoku	1
129	Dedalus36	1
129	ExtraDumb	1
129	Hpdinosaur	1
129	BoraMC	1
129	Alteriity	1
129	TAKrules	1
129	CoffeeNoir	1
129	NinjaKnifeKill	1
129	MOSS000	1
129	SpaceGrenadier	1
129	fr0stss	1
129	Historical_Sand	1
129	Da_Boss_Rani	1
129	FirsTimeGamingTV	1
129	Euclidoris	1
129	Sparky_KT	1
129	Shadoko_	1
129	titanlax	1
129	Auseawesome	1
129	jushykins	1
129	jiggywraps	1
129	bloodbiter	1
129	12Magner05	1
129	MinttyFressh	1
129	MattieHD	1
129	Nostrom	1
129	shyshyannne	1
129	TheDiamondCG	1
129	CyrusIsTired	1
129	Smashic	1
129	Scathra	1
129	Xalithia	1
129	SellyZ	1
129	Covalents	1
129	NotKaden_	1
129	XboxPanda	1
129	SeverianTheLame	1
129	prizm_	1
129	Kakolbus	1
129	mariominejedi	1
129	vampgey	1
129	whoaluv	1
129	burbankbuilder28	1
129	King_Pancake1	1
129	pappaberg	1
129	domagawha	1
129	Donutt	1
129	Werbe	1
129	CruncyIsTaken	1
129	KartivGal	1
129	AlexxO_o	1
129	Vetral1	1
129	cedric72	1
129	Ender_Souls	1
129	FishyBoy3811	1
129	groofles	1
129	sxc_	1
129	TheTrueClipse	1
129	fw3xywashere	1
129	ogoa	1
129	TheSeismicDuck	1
129	audiocracked	1
129	DTwenty	1
129	Jiminbub	1
129	Russiancat1	1
129	Syropatathe	1
129	Deodorante	1
129	Fuhrer_Teemo	1
129	Lutres_Torane	1
129	RoBe__	1
129	StinkyDiplomat	1
129	MAns_44	1
129	El_Jalapeno	1
129	Xclax101	1
129	Bloo2406	1
129	SingedBread	1
129	Th6masss	1
129	DeGodz4life	1
129	__Auspicious	1
129	Typadopoulos	1
129	Warlord324	1
129	MovingFish7	1
129	ElKaySVK	1
129	monky_irl	1
129	iSammael	1
129	ItsDeltaMC	1
129	OG_Songsee	1
129	Razzgriz	1
129	SexcMf	1
129	TheEnderman548	1
129	KG1999	1
129	07shiny	1
129	Jij0	1
129	SvenskaHugo	1
129	IdeallyGrey	1
129	yatsuta	1
129	__tomato	1
129	Soplight	1
129	brofrickcheaters	1
129	Fizznut909	1
129	PortlyPete69	1
129	PlzNoBM	1
129	Dreamdbr14	1
129	Winston_Ingram	1
129	Njensen7	1
129	_3Stump_	1
129	Steelynan	1
129	laron58	1
129	EngagedGrub41	1
129	Skippeh	1
129	anbbang	1
129	Miko_Fullbuster	1
129	Quotary	1
129	RadarHz	1
129	Nicserso	1
129	FelixPSY375	1
129	little_dUki	1
129	mountaingirl311	1
129	HesDemonPants	1
129	2blox	1
129	vandmanden	1
129	calamariclam_I	1
129	JayToe	1
129	h2p_emrld	1
