rank	username	minecraft:crafted/minecraft:wooden_shovel
101	Winklepicker279	1
101	fr_ser	1
101	CarltheCuck	1
101	Di_infiri	1
101	Useless_Relic	1
101	vampgey	1
101	Nope______	1
101	PumpkinPie1600	1
101	ibarker21	1
101	LAVA129	1
101	DeuceTempestus	1
101	BusinesManFrecks	1
101	KillerNekoRain	1
101	iTurbo	1
101	Termi_Qc	1
101	Bumpy419	1
101	Kaziglubey	1
101	msJabberwock	1
101	Skylord_Luke	1
101	DebbieBrunswick	1
101	ItsAki_	1
101	Werbe	1
101	RohnJosin	1
101	Onennon	1
101	floodjon	1
101	Kynigito	1
101	CraigslistCuoch	1
101	sitrollover	1
101	wrinkledpiglet	1
101	QuaggaJacks	1
101	SIRdrumroll	1
101	_bruhhhhh	1
101	DShrewzy	1
101	PigDab	1
101	wordboy107	1
101	jewbacaman	1
101	x3jK3mLuN34Mn	1
101	KeruNatsema	1
101	FishyBoy3811	1
101	Atahyang	1
101	Kryktal	1
101	NormanFetus	1
101	TragicHero27	1
101	Inkax	1
101	BapeGlowz	1
101	HoldThatPee	1
101	Leyna3	1
101	ExploreMyBow	1
101	eSpawNa	1
101	Akoot_	1
101	Lord_Jord	1
101	Bl1tzFX	1
101	Roikdean	1
101	420BreadLizard	1
101	olmul	1
101	SpouHn	1
101	Shintiki	1
101	spencersolberg	1
101	kiluaemc	1
101	twinkel_star24	1
101	Syropatathe	1
101	Fuhrer_Teemo	1
101	Deathkob	1
101	_Bguette_	1
101	Shoutur1	1
101	Ragnar2105	1
101	AvianGiraffe	1
101	chipklip	1
101	Darkgon	1
101	n0qtrnL	1
101	majlin16	1
101	DarlaMeow	1
101	HellsSponge	1
101	zijin154	1
101	DukBob	1
101	Blu3beast	1
101	carpet4_69	1
101	Xclax101	1
101	Promsiel	1
101	marumochis	1
101	ConJaBz	1
101	the__Reaper4999	1
101	Groundler	1
101	SataranGrimlore	1
101	lolpoottoot	1
101	HumanBeing112	1
101	D3m0nik	1
101	markaus77	1
101	critNoxx	1
101	Yahir091	1
101	Night_Call	1
101	_Ruzeeq_	1
101	Zicom	1
101	VintagePlays	1
101	IAmTheWalrus910	1
101	McZahrt	1
101	pipejob	1
101	sp00ky_ghost977	1
101	Chaotic1s	1
101	AlexBurnsRed	1
101	BlueWyvern5170	1
101	Pickel_Lord	1
101	ayamefag	1
101	sleepdrifter_	1
101	IdeallyGrey	1
101	pixelings_	1
101	Zetsey	1
101	bloomkieren	1
101	somegirl12_	1
101	alkrie	1
101	Bawbman	1
101	NeoJordache	1
101	__tomato	1
