rank	username	minecraft:crafted/minecraft:golden_apple
91	SammiWolfGirl	25
93	Apollo_993	24
93	Arceus1975	24
93	Solar_Power	24
96	500am	23
96	YungMaki	23
98	Snowflowe	22
98	Skylord_Luke	22
98	Kowcio_	22
98	TheBananaKat	22
102	gren_ben	21
102	m_be9	21
102	corvidpartyfor6	21
102	ApophisNova	21
102	MyNamaSheff	21
102	PlasticOtari	21
108	Saucepeh	20
108	NotMeanttoChange	20
108	The_slideV3	20
108	Kura2218	20
112	Mahoose	19
112	mariominejedi	19
112	TechnoNinja64	19
115	djancak	18
115	hermmm_	18
117	__tomato	17
117	Paguz01	17
119	Matemkas	16
119	CollinMH06	16
119	fffMike	16
122	I_Am_Mushkin	15
122	MoistMicrowave	15
122	Comma__	15
122	bloodbiter	15
122	cedric72	15
122	GoofyBread	15
128	Groovy_MoonBird	14
128	set67	14
128	CoryJJ	14
128	Sheldor097	14
128	taengoos	14
133	rarrq	13
133	Nach0Bear	13
133	platinumzero	13
133	SlayerCrypto	13
137	DinoDoctor_	12
138	Merv__	11
138	mwrty	11
138	Jimi7hits	11
138	AuroraSkies	11
138	EfficientC52	11
138	TheImperial	11
144	Houstonion	10
144	Malorn_Aetherius	10
144	theonlymagikarp	10
144	Rumpletaezer	10
144	Lutres_	10
144	Eraxa	10
144	Dogcorn69420	10
144	Kubeusz2010	10
152	Jackster03	9
152	4774	9
152	ARandomHedge	9
152	Inbefour	9
152	JESS_THE_RERE	9
152	MovingFish7	9
152	StarCookiees_	9
152	stellarjay	9
152	2blox_	9
152	Sral7	9
162	KomputerDude	8
162	M_Patata	8
162	zToasty69z	8
162	censorsheep	8
162	MightyWertu	8
162	SingedBread	8
162	MasterNueve	8
162	Heisenbberrg	8
162	annebolyn	8
171	MunkaKris	7
171	weezygator	7
171	lorywithay	7
171	Euclidoris	7
171	PegLegPete93	7
171	ImDisconnected_	7
171	sammidk	7
171	ReflexCode	7
171	HesDemonPants	7
171	FishisTTV	7
181	Sleek_Storm_721	6
181	Myszoaz	6
181	slkiey	6
181	TUNDR0	6
181	JitteryJared2	6
181	True_Clipse	6
181	Vol_Rod33	6
181	Quotary	6
189	Jovaphobic	5
189	Hiryu27	5
189	Werbe	5
189	Russiancat1	5
189	Quaintster	5
189	PabloGonza02	5
189	RadarHz	5
189	Jordan_R	5
197	k_ce	4
197	PhantomsGhost_	4
197	Jalvajar	4
197	Tolhart	4
197	tuckerdoodle	4
197	Akoot_	4
197	FreddyFart	4
197	masskedman	4
197	501g	4
197	Soplight	4
197	Spenduh	4
197	ZeroKraken	4
197	JayToe	4
210	seanitoo	3
210	SpartanNamor	3
210	Killercatty78	3
210	FirsTimeGamingTV	3
210	Tiberonus	3
210	John6970	3
210	Boipl	3
210	ogoa	3
210	gustarlep	3
210	AspenLightVT	3
210	Soap_Bender	3
210	StinkyDiplomat	3
210	brofrickcheaters	3
210	Fizznut909	3
210	HAruSAme14	3
210	CalebDHawk	3
210	_AAZAR	3
210	Zoeyfortnite	3
228	KingFaenor	2
228	SyntheticSurgeon	2
228	Alteriity	2
228	Natty	2
228	AlazelTheReal	2
228	ShedJr_	2
228	MOSS000	2
228	xPixelRainx	2
228	Raspberry_Sodas	2
228	Kamflame	2
228	Juansinmiedo18	2
228	whoaluv	2
228	Donutt	2
228	The11thDoctor	2
228	HeraclesOGU	2
228	Hahaa_0	2
228	TheSeismicDuck	2
228	AstreaTSS	2
228	Xclax101	2
228	fluddd	2
228	Luigipunch989	2
228	PortlyPete69	2
228	Invintic	2
228	TheALV	2
228	Njensen7	2
228	MissCeleste7	2
228	tartanboy	2
228	smogfrog	2
228	DairyNickel756	2
228	WYFYoyo	2
258	Bruh77	1
258	Froste131	1
258	PazinGaming	1
258	FujiBS	1
258	SlowMoNinja1994	1
258	BlancoFlaco	1
258	SaucyDark	1
258	TooManyDuck	1
258	livingdaydreams	1
258	nattybears	1
258	T045RTY	1
258	ZaneABrain	1
258	Gregward_Smith	1
258	teqilas	1
258	Stynxy	1
258	SnowyAvi	1
258	shdesolt	1
258	Nicky_H225	1
258	Motsaro	1
258	ItzYaBoiPicard	1
258	crashomon	1
258	shadowthemonkey	1
258	Reneedium	1
258	Silvo614	1
258	RobotMinion101	1
258	Cruncy_	1
258	spellmre	1
258	YahooScreen9000	1
258	groofles	1
258	Gryglu583	1
258	fkGrim	1
258	NameGenerat0r	1
258	Travka100	1
258	Blu3beast	1
258	yoyoYoloMonke	1
258	Airem_Core	1
258	lordpipe	1
258	xyfrs	1
258	Mistruth	1
258	33sudo	1
258	stavgod	1
258	Sank34	1
258	Shin69	1
