rank	username	minecraft:crafted/minecraft:iron_pickaxe
96	Spaghettatron	31
96	TheWickedBird	31
102	BigBootyHudge	30
102	Tolhart	30
102	crying_wolf_13	30
102	whoaluv	30
102	BlankityMcBlank	30
102	HelloIamSora	30
102	MelodyGaysharks	30
109	Lorcout	29
109	LilLizardWizard	29
109	ElderRifken	29
109	bruh072	29
109	bloomkieren	29
109	Logain42	29
109	Powowowow	29
116	Ze1ig	28
116	SpaceGrenadier	28
116	Ozixar	28
116	KeruNatsema	28
116	Deodorante	28
116	xzvu	28
122	IWorkAtIkea	27
122	Jackattack53	27
122	MustardDrinker	27
122	natajimi	27
122	sufjanlover	27
122	Methalox1	27
128	soundad	26
128	xXTheWolfmanXx	26
128	Travka100	26
128	robotemo	26
128	Western_1	26
133	q_wq	25
133	baxteerr	25
133	Jokerman369	25
133	lpinfinity	25
133	Paintz	25
133	JitteryJared2	25
133	SirPiccardo	25
133	BRRRN179	25
133	Choco_Spy	25
133	MinuteMira	25
133	Soul_Atreus	25
144	Cowison	24
144	Frozil20	24
144	Jackster03	24
144	FirsTimeGamingTV	24
144	Allanon1235	24
144	Nyxiom_	24
144	ItsAki_	24
144	cytotoxaint	24
144	Optiprimus	24
144	voiding_	24
144	Skippeh	24
155	SaltineDream	23
155	_Razaria	23
155	jacxhadow	23
155	Lumien_	23
155	DSYisDizzy	23
155	M_Patata	23
155	NomadicRobin_	23
155	1442	23
155	MasterNueve	23
155	_TCARREIRA_	23
155	Kubeusz2010	23
155	tartanboy	23
155	MusicMe1005	23
168	rarrq	22
168	cheerytomato	22
168	fallingemma	22
168	Ecplosive	22
168	nitram49b	22
168	Bumpy419	22
168	Fuhrer_Teemo	22
168	AstreaTSS	22
168	Warlord324	22
177	TooManyDuck	21
177	eitanzaki	21
177	abdomera	21
177	Hamsanders	21
177	Tiberonus	21
177	corvidpartyfor6	21
177	_8man	21
177	Parcc	21
177	balin55	21
177	DarlaMeow	21
177	Jij0	21
177	Vellu21	21
177	JasmineGK	21
190	Groovy_MoonBird	20
190	Harotio	20
190	dabloons	20
190	Base_Tempest	20
190	Dblikstad	20
190	royal_2	20
190	NieToksikpl	20
190	ConcretePirate	20
190	ROY4LE	20
190	xKhoshekh	20
190	DTwenty	20
190	Cocoamallows	20
190	layabout100	20
190	Drawgirl	20
190	hermmm_	20
205	DepressedCubic	19
205	Flex_Tape_Phil	19
205	Reamdin	19
205	Guillemet	19
205	500am	19
205	excelsionprime	19
205	Tmb1	19
205	GLLogan2	19
205	Covalents	19
205	eiC_	19
205	Freeman666	19
205	Rumpletaezer	19
205	Werbe	19
205	wezzzi	19
205	Racengan	19
205	Yahir091	19
205	AvaRosey	19
205	CornOnTheCobalt	19
205	TheOnlyRake	19
224	H0UNDFRMH3LL	18
224	RoskobiOne	18
224	Mowelan	18
224	Caribouse	18
224	BlancoFlaco	18
224	Gregward_Smith	18
224	firesgal3116	18
224	Awyrlas	18
224	eviltunix	18
224	CharlieButt	18
224	Winklepicker279	18
224	thebaddruid	18
224	oscminus	18
224	selectrix	18
224	_Cloverbelle_	18
224	Inbefour	18
224	DarkS0L	18
224	claivin	18
242	123louis456	17
242	ActualPatbaf	17
242	Seyaboy	17
242	Ssor69	17
242	MattieHD	17
242	Dynamic_wolf_1	17
242	AJplaysMC_	17
242	yaboo88	17
242	FreeMoCo2009	17
242	NoChumpChange	17
242	Manaateee	17
242	Quaintster	17
242	_flud	17
242	Typadopoulos	17
242	markaus77	17
242	ZeaBaron	17
242	Sank34	17
242	SSytex_X	17
242	Nekomin0	17
242	Erased_Identity	17
242	xorompole	17
242	ConnorDanky_	17
264	weezygator	16
264	Sleek_Storm_721	16
264	Flores991	16
264	Kronos42	16
264	Historical_Sand	16
264	Mimiir345	16
264	StanceTB	16
264	Zerosene	16
264	Xalithia	16
264	Matek_	16
264	Bolete	16
264	mimbo1211	16
264	Hyp3rion_	16
264	CaptainDeadBread	16
264	Onennon	16
264	XeroByMyth	16
264	Leyna3	16
264	Fakiuss	16
264	Soplight	16
264	Chuglyfe	16
284	Jovaphobic	15
284	awesomeweasel	15
284	NotMyLucKMC	15
284	openatheclose	15
284	Franco093	15
284	Humpcat	15
284	MC_Gamer_Geek	15
284	MOSS000	15
284	tsohomie	15
284	set67	15
284	Robby_Cream	15
284	Reneedium	15
284	Hoid_the_Roamer	15
284	Nadhorion	15
284	PigDab	15
284	aec9	15
284	FishyBoy3811	15
