rank	username	minecraft:crafted/minecraft:shield
169	SpaceTurtleOX	3
169	smogfrog	3
169	AltnumberF4	3
169	MelodyGaysharks	3
228	Bruh77	2
228	RosaDoesMC	2
228	Barry_All3n_	2
228	SDW_Insanity	2
228	seanitoo	2
228	Mr_Byzantine	2
228	JohnnyFyes	2
228	nataliecool	2
228	ProbablyNick	2
228	abramgray	2
228	xyct	2
228	AuroraValkyrie	2
228	I_Am_Mushkin	2
228	chimpmunker	2
228	UltimuShadow	2
228	CryoInferno_	2
228	BlancoFlaco	2
228	Wooptey	2
228	PhantomBionic	2
228	tsohomie	2
228	Myszoaz	2
228	SteveWithClout	2
228	MSK__	2
228	ccormacs	2
228	TheFlfthHorseman	2
228	chlorinex	2
228	Euclidoris	2
228	Ozixar	2
228	Shadoko_	2
228	Mercadies	2
228	cowgirlkasia	2
228	xPixelRainx	2
228	gilesmcriles	2
228	jiggywraps	2
228	YungJakobo	2
228	m_be9	2
228	Boboczus	2
228	MrExplorer	2
228	CyrusIsTired	2
228	wiqor	2
228	crying_wolf_13	2
228	Z3braYTIL	2
228	Awyrlas	2
228	_Magdo_	2
228	Motsaro	2
228	Mewar	2
228	ROY4LE	2
228	SellyZ	2
228	DSYisDizzy	2
228	r123moore	2
228	LittleIan365	2
228	Noah_Bez	2
228	mimbo1211	2
228	Mobstr	2
228	RustyKedel	2
228	ImDisconnected_	2
228	loveseeker	2
228	GOOBERGABE04	2
228	nitram49b	2
228	MyNameIsJobo	2
228	Jackattack53	2
228	Armattillo	2
228	stickwhiskers	2
228	_8man	2
228	AlexStrange	2
228	GoigeFZ	2
228	_Boipl_	2
228	Rocco_Lane	2
228	Hoid_the_Roamer	2
228	tobinwilliams	2
228	Hiryu27	2
228	BlossomOwO	2
228	RobotMinion101	2
