rank	username	minecraft:crafted/minecraft:oak_fence
199	Soap_Bender	99
199	stellarjay	99
205	Guno327	96
205	MousePlays	96
205	Rasmanden	96
205	ItsJWolff	96
205	BuildTheGondola	96
205	stahouo	96
211	ImpavidArcher	93
211	Wooptey	93
211	Mariopreeet	93
211	Bazongoman	93
211	Warlord324	93
211	Spacewardharpy7	93
211	blimpeey	93
218	Ardennes	90
218	mrnosetackle	90
218	Deadlyy	90
218	Dusk_95	90
222	Nach0Bear	87
222	wrinkledpiglet	87
222	Racengan	87
225	ToastedGamingYT	84
225	DarkS0L	84
227	NoxxxxiS	81
227	wirelesstree	81
227	lordpipe	81
227	SvenskaHugo	81
227	yatsuta	81
232	cowgirlkasia	78
232	kekhon	78
232	Shoutur1	78
232	PortlyPete69	78
232	mawileite	78
237	shineh10	75
237	ergoalias	75
237	KillerNekoRain	75
237	CSG_Haru	75
237	Strangemonkey71	75
237	Njensen7	75
237	mobunni	75
244	UncreativeArtist	73
245	Killswitch_RW	72
245	Historical_Sand	72
245	NotMeanttoChange	72
245	Winklepicker279	72
245	mariominejedi	72
245	burbankbuilder28	72
245	ibarker21	72
245	_Crimson_Legate	72
245	privatemeekly	72
245	WyngGoy	72
245	OnlyOfficial	72
256	TinMaster	69
256	BreadBacon	69
256	trexgb	69
259	Frxnkz	66
259	Ravenbie	66
259	Motsaro	66
259	AJplaysMC_	66
259	ClemenPine	66
259	bluefragmentt	66
259	VilsSwag	66
259	Fildyr	66
259	fffMike	66
268	sufjanlover	64
269	Frozt99	63
269	nocturne78	63
269	LilLizardWizard	63
269	Kukkelikuk	63
273	not_a_duck_23	60
273	Sebaschan__	60
273	fr0stss	60
273	zorin123	60
273	Z3braYTIL	60
273	Stiar	60
273	Zaridey	60
273	CarltheCuck	60
281	Healthing	57
281	TheMaster972	57
281	aikabot	57
281	StanceTB	57
281	Robby_Cream	57
281	andy_rex	57
281	epiksk8erduck	57
281	aldplaysmc	57
281	Groundler	57
281	halfbakedlasagna	57
281	Shadow4381	57
281	momis24	57
281	Deliriohm	57
294	DepressedCubic	54
294	livingdaydreams	54
294	Malorn_Aetherius	54
294	minersam1	54
294	Dali1465	54
294	SokaOtaku	54
294	ReyTheLegend	54
