rank	username	minecraft:crafted/minecraft:iron_nugget
221	Matek_	576
221	Syropatathe	576
221	Deerfoot	576
226	Y_A_N_N_I	558
227	DC_XII	550
228	ewpunk	546
229	Tobinator_007	540
229	DarkLawD	540
231	_TCARREIRA_	537
232	SnowyAvi	531
232	Solar_Power	531
232	Western_1	531
235	CornOnTheCobalt	525
236	CalebDHawk	522
237	thebaddruid	513
238	HolyVenom	511
239	hanaryheatwave	504
240	Njensen7	495
241	ActualPatbaf	470
242	H0UNDFRMH3LL	468
242	AuroraValkyrie	468
242	avalan64	468
242	the__Reaper4999	468
246	ZoomieZoomie	459
247	burbankbuilder28	453
248	_Boipl_	450
248	xzvu	450
250	_Karmaa	445
251	ExtraDumb	441
251	PortlyPete69	441
253	Typadopoulos	424
254	Sleek_Storm_721	423
254	Iagoku	423
254	IWorkAtIkea	423
254	Megarboh	423
254	Toriankel	423
254	MineMaster0012	423
260	SaltineDream	414
261	Jackster03	412
262	tuckerdoodle	406
263	rachcl	405
263	SlayerCrypto	405
263	groofles	405
266	KlausVonStiglitz	400
267	SDMNAEK	396
267	seramalen	396
267	FishyBoy3811	396
270	Optiprimus	387
270	Hermanni__	387
272	hm947	378
272	Luminad3	378
274	Bandito_Roamer	375
275	Arceus1975	369
276	Moofyman	366
277	TableTim	363
278	weezygator	361
278	godipose	361
280	Jonafrog99	360
281	lorywithay	351
281	Cortexia	351
281	oscminus	351
281	BlankityMcBlank	351
285	TheFlfthHorseman	342
285	Erased_Identity	342
287	Flores991	337
287	Vetral1	337
289	Foof13	333
289	iSammael	333
289	Razzgriz	333
292	NieToksikpl	324
292	Wowful	324
294	Tolhart	315
295	MoistMicrowave	307
296	purpolepickle	306
296	ehunt54	306
296	HeraclesOGU	306
296	JohnPrice	306
300	Matemax	297
