rank	username	minecraft:crafted/minecraft:diamond_leggings
111	Snowflowe	2
111	_8man	2
111	_Boipl_	2
111	SokaOtaku	2
111	Hiryu27	2
111	selectrix	2
111	epiksk8erduck	2
111	PigDab	2
111	jewbacaman	2
111	MonitorLizards	2
111	victorLIE	2
111	FishyBoy3811	2
111	yulgur1	2
111	NoChumpChange	2
111	fkGrim	2
111	DarkS0L	2
111	DemTechAlpha	2
111	claivin	2
111	Jamstroxian	2
111	Xclax101	2
111	Barlycorn	2
111	lordpipe	2
111	Bonzaidalek	2
111	IAmTheWalrus910	2
111	OG_Songsee	2
111	Cocoamallows	2
111	layabout100	2
111	Optiprimus	2
111	pixelviolin	2
111	Kyrum2169	2
111	stellarjay	2
111	GlitchyPlate810	2
111	CoryJJ	2
111	sebastiensaborio	2
111	fffMike	2
111	gaming4Naming	2
111	LeeMcGee30	2
111	MilleGrug	2
111	RadarHz	2
111	Smaldo	2
111	The_SlideV5	2
187	SaltineDream	1
187	Bruh77	1
187	Mr_Worthless	1
187	RosaDoesMC	1
187	Louiis123	1
187	Lepthymo	1
187	prodby_Lyka	1
187	Jovaphobic	1
187	SDW_Insanity	1
187	Matemaks2137	1
187	seanitoo	1
187	Bandito_Roamer	1
187	elicobnoah	1
187	Crowvens	1
187	SyK7	1
187	The_Thund	1
187	_NieToksikpl_	1
187	Harotio	1
187	Aspagisum	1
187	Jorrdi	1
187	Paint	1
187	_stets	1
187	soundad	1
187	hollowww	1
187	jspwn	1
187	Jackywho	1
187	Healthing	1
187	KingFaenor	1
187	Tommhh	1
187	erikthebeanman	1
187	Nekowu	1
187	FlirtingWithBoys	1
187	xXTheWolfmanXx	1
187	Houstonion	1
187	SteelCutOats	1
187	Kegradigm	1
187	Hyugo	1
187	freeandrew	1
187	ExtraDumb	1
187	ssleepless	1
187	hm947	1
187	Gundam_Steven	1
187	Tolhart	1
187	Isaac70096	1
187	_Razar	1
187	Horizons86	1
187	the_fireminer	1
187	livingdaydreams	1
187	Jahara	1
187	jimintyy	1
187	youhjjhhhjj	1
187	C0by3llis	1
187	Zlatovlas	1
187	Natty	1
187	ZaneABrain	1
187	Seyaboy	1
187	KomputerDude	1
187	AlazelTheReal	1
187	ivorico	1
187	Maltyy	1
187	peach0s	1
187	ShedJr_	1
187	tsohomie	1
187	SteveWithClout	1
187	5hit455	1
187	H72l9w	1
187	301851	1
187	fr0stss	1
187	Historical_Sand	1
187	gaziter10	1
187	IWorkAtIkea	1
187	oreee	1
187	nocturne78	1
187	Genuss	1
187	TheFlfthHorseman	1
187	FirsTimeGamingTV	1
187	LoboTheLobster	1
187	heckface	1
187	Stynxy	1
187	Ozixar	1
187	Sparky_KT	1
187	Prodiginus	1
187	Valoth	1
187	picardred	1
187	Shadoko_	1
187	Upstro10	1
187	Devintronix	1
187	xxXMrDragonXxx	1
187	roxycherry	1
187	Malorn_Aetherius	1
187	Blackberry1310	1
187	Frxnkz	1
187	Notta	1
187	boysnort	1
187	CliffEmAll	1
187	gilesmcriles	1
187	TheSecondLord	1
187	Zedducius	1
187	Comma__	1
187	Chickenchaser2	1
187	jiggywraps	1
187	Rich_Kat	1
187	m_be9	1
187	StanceTB	1
187	o0z	1
187	AdvertisingMerc	1
187	Nostrom	1
187	Cortexia	1
187	Megarboh	1
187	zorin123	1
187	Lumien_	1
187	eclipseboi	1
187	Enigma0251	1
187	lilsay	1
