rank	username	minecraft:crafted/minecraft:oak_pressure_plate
93	AlphaWolfPlaysMC	4
93	_Bguette_	4
93	Shoutur1	4
93	Tyrannosplart	4
93	Manaateee	4
93	legoclone09	4
93	Sank34	4
93	Western_1	4
93	00000000-0000-0000-0009-01f80c5e9346	4
119	EMC_	3
119	T045RTY	3
119	Hormones	3
119	GingerNeutron	3
119	DirtyBoar	3
119	TableTim	3
119	ZeroAbyssTTV	3
119	moist_jellyfish	3
119	ApophisNova	3
119	CarryLine	3
119	parodypatient	3
119	Gryglu583	3
119	BumbleBeever	3
119	MovingFish7	3
119	Burge_r	3
119	UCP_TheKingK	3
119	Luigipunch989	3
119	PortlyPete69	3
119	Skippeh	3
119	OfficerAnvil	3
119	xorompole	3
119	EcksD	3
119	MyNamaSheff	3
119	PlasticOtari	3
143	Mitchasnipe	2
143	Travasaur	2
143	PhantomsGhost_	2
143	Sero277	2
143	abramgray	2
143	shineh10	2
143	Ryan_GEMS	2
143	BlancoFlaco	2
143	wickedword	2
143	TheMaster972	2
143	Whiterooster001	2
143	Ssor69	2
143	rarrq	2
143	Cryptacity	2
143	tortillatitan	2
143	TheThomas69	2
143	zorin123	2
143	set67	2
143	Gingayy	2
143	mwrty	2
143	Dali1465	2
143	supernecessary	2
143	ROY4LE	2
143	olliebollie48	2
143	JMK208	2
143	Matek_	2
143	TheDankPlatypus	2
143	Theo34	2
143	nitram49b	2
143	AJplaysMC_	2
143	Rumpletaezer	2
143	Azmodan_246	2
143	Mpkkiller	2
143	epiksk8erduck	2
143	wordboy107	2
143	J4k__	2
143	CaptainAvenger7	2
143	Ender_Souls	2
143	wezzzi	2
143	Living_Storms	2
143	Deathkob	2
143	DarkS0L	2
143	Jaka_Saurus_715	2
143	MangoSalad316	2
143	fluddd	2
143	Barlycorn	2
143	DarkLawD	2
143	_Meow_Mix	2
143	lordpipe	2
143	plato2066	2
143	Kowcio_	2
143	Soplight	2
143	ItsJunoIGuess	2
143	MilleGrug	2
143	bitsplease	2
143	ConnorDanky_	2
143	jnp_gaming	2
200	MunkaKris	1
200	Astronicky	1
200	chipklip	1
200	Argraol	1
200	Frozil20	1
200	ssleepless	1
200	SaucyDark	1
200	dongli	1
200	Furiuosbeast0404	1
200	ShedJr_	1
200	heckface	1
200	Ozixar	1
200	aikabot	1
200	gilesmcriles	1
200	m_be9	1
200	kekhon	1
200	SoftSix	1
200	slkiey	1
200	Cidah	1
200	thescout7	1
200	Mariopreeet	1
200	gcaisawesome	1
200	purpolepickle	1
200	Kakolbus	1
200	Purplehere	1
200	NLKBuilder	1
200	CarltheCuck	1
200	Arceus1975	1
200	Nyxiom_	1
200	BasedEphex	1
200	selectrix	1
200	Shavrin	1
200	TheTrueClipse	1
200	ogoa	1
200	SpouHn	1
200	Meepcraft	1
200	privatemeekly	1
200	the_russell1611	1
200	LexMakesHistory	1
200	NameGenerat0r	1
200	Quaintster	1
200	FreakGenius	1
200	Steve897	1
200	MightyWertu	1
200	Fildyr	1
200	DamagedSin	1
200	Druid95	1
200	iSammael	1
200	Momomia1997	1
200	PabloGonza02	1
200	ayamefag	1
200	kyouma777	1
200	voiding_	1
200	SquidZooka2	1
200	AssFullaCum	1
200	c0la_c0ca	1
200	SpacesickPrism	1
200	UltraZombie	1
200	jcool7	1
200	_3Stump_	1
200	Ezekson	1
200	Nicserso	1
200	FelixPSY375	1
200	little_dUki	1
200	AltnumberF4	1
200	Enderxz3	1
200	calamariclam_I	1
200	Yahrto	1
200	zmpeg	1
200	JayToe	1
200	Kateesaur	1
