rank	username	minecraft:crafted/minecraft:birch_sign
117	PlzNoBM	18
117	PlasticOtari	18
117	Zoeyfortnite	18
130	jspwn	15
130	TheMaster972	15
130	MinttyFressh	15
130	ProfessorBee	15
130	Snowflowe	15
130	Hiryu27	15
130	Kouridragon	15
130	Kryktal	15
130	Akoot_	15
130	TheTrueClipse	15
130	Lord_Jord	15
130	NoChumpChange	15
130	kinas45y5	15
143	fanofbands101	12
143	q_wq	12
143	HollieDaNugget	12
143	oreee	12
143	TinMaster	12
143	Megarboh	12
143	Jokerman369	12
143	CyrusIsTired	12
143	Awyrlas	12
143	WET_WET_WET	12
143	ApophisNova	12
143	fred870d	12
143	PuFY	12
143	MJCABOOSE69	12
143	ori0le	12
143	LexMakesHistory	12
143	balin55	12
143	Matorz	12
143	MakeHistory157	12
143	SexcMf	12
143	Fizznut909	12
143	stellarjay	12
143	CalebDHawk	12
143	sebastiensaborio	12
143	MissCeleste7	12
143	MyNamaSheff	12
169	ImpavidArcher	9
169	RatatJuice	9
169	Wooptey	9
169	lotarp	9
169	Cryptacity	9
169	SirMinza	9
169	Stiar	9
169	loveseeker	9
169	burbankbuilder28	9
169	AlexStrange	9
169	dendydoom	9
169	xKhoshekh	9
169	JollyDroopy52	9
169	The_Quack_Dealer	9
169	Frozil12	9
169	monky_irl	9
169	Ripzch	9
169	__tomato	9
169	ediballbearings	9
169	Deguns123	9
169	Ir0npack	9
169	mawileite	9
169	Eczbek	9
169	Sral7	9
169	Deliriohm	9
194	SugarMyNuggets	6
194	Groovy_MoonBird	6
194	Paint	6
194	The_Great_Jake	6
194	Ze1ig	6
194	error10101	6
194	AES784	6
194	ryan521	6
194	tsohomie	6
194	gaziter10	6
194	Bowba123	6
194	Euclidoris	6
194	picardred	6
194	xPixelRainx	6
194	SoftSix	6
194	eclipseboi	6
194	intropass	6
194	SellyZ	6
194	eiC_	6
194	XboxPanda	6
194	M_Patata	6
194	Winklepicker279	6
194	mariominejedi	6
194	Rumpletaezer	6
194	killmeiamtraitor	6
194	Onennon	6
194	HyperCave	6
194	epiksk8erduck	6
194	Zielo2017PL	6
194	_naturell	6
194	Drewen24	6
194	KlausVonStiglitz	6
194	the_russell1611	6
194	Deerfoot	6
194	MAns_44	6
194	DukBob	6
194	Racengan	6
194	SingedBread	6
194	GhostRecon8014	6
194	TheTommyGun63	6
194	MasterNueve	6
194	MineMaster0012	6
194	jaimshae	6
194	Sheldor097	6
194	LeeMcGee30	6
194	Kubeusz2010	6
194	little_dUki	6
194	Lowjinx	6
194	HesDemonPants	6
194	h2p_emrld	6
244	SaltineDream	3
244	seanitoo	3
244	Mr_Byzantine	3
244	Jalvajar	3
244	MrBeesMan	3
244	dabloons	3
244	soundad	3
244	Ailmast	3
244	chimpmunker	3
244	hm947	3
244	TooManyDuck	3
244	Natofthese	3
244	jimintyy	3
244	KomputerDude	3
244	Reamdin	3
244	Simon_Lowell	3
244	Barjas	3
244	Digcove	3
244	TuesdayEpisode	3
244	Under1	3
244	CompoundMedic	3
244	Rich_Kat	3
244	m_be9	3
244	TheThomas69	3
244	shyshyannne	3
244	TheDiamondCG	3
244	Jobydobe	3
244	crying_wolf_13	3
244	UncreativeArtist	3
244	egglapras	3
244	Mariopreeet	3
244	Dali1465	3
244	IforgotCS_Source	3
244	emrekn	3
244	Inchef	3
244	ROY4LE	3
244	SLASHZEERA	3
244	2Stout	3
244	hcb238	3
244	Covalents	3
244	ItzYaBoiPicard	3
244	SHAOBADMAN	3
244	Avrelion	3
244	fallingemma	3
244	0nly_sn1per	3
244	Bazongoman	3
244	__Fanda__	3
244	CarltheCuck	3
244	gabriels543	3
244	SlayerCrypto	3
244	mick407	3
244	LunarRedPanda	3
244	Arceus1975	3
244	AnnieBathory	3
244	SokaOtaku	3
244	tobinwilliams	3
244	Bumpy419	3
