rank	username	minecraft:crafted/minecraft:cooked_beef
242	kars0n	52
244	awesomeoneme	51
244	Arceus1975	51
244	Goat_Man512	51
247	beeperbeeper5	50
247	Joestra	50
249	tobinwilliams	49
249	Lutres_Torane	49
249	RedcatVII	49
249	underscore_2	49
253	fade_emerge78823	47
254	Kynigito	46
254	tsitrawhy	46
256	SquadMonster	45
256	StanClubPenguin	45
258	EfficientC52	44
258	Typadopoulos	44
260	Tommhh	43
260	Megarboh	43
260	thescout7	43
260	Hermanni__	43
260	Erased_Identity	43
260	Enderslayerxz3	43
260	remmisrat	43
267	CaptainDeadBread	42
267	GoofyBread	42
267	DanTheBuilderino	42
267	Teebone15	42
271	ashetrays	41
271	Vetral1	41
271	Bloo2406	41
271	verynothing	41
271	LordSpeed37	41
271	Bawbman	41
271	Deguns123	41
278	Astronicky	40
278	Dipjol	40
278	NormanFetus	40
278	XxCookiequeenxX	40
278	censorsheep	40
278	ediballbearings	40
278	sideofbbq	40
285	DepressedCubic	39
285	ExtraDumb	39
285	Frozt99	39
288	dudcreeper	38
288	Chayula	38
290	freeandrew	37
290	Seyaboy	37
290	beeleg	37
290	__TheNorseMan__	37
290	ooga47	37
290	AltnumberF4	37
296	Mimiir345	36
296	bee_gorl	36
298	SugarMyNuggets	35
298	tsohomie	35
298	whoaluv	35
