rank	username	minecraft:crafted/minecraft:emerald_block
211	RodSerlingCringe	10
211	Jamstroxian	10
215	Jovaphobic	9
215	Jiminbub	9
215	the_russell1611	9
215	Quaintster	9
215	jcool7	9
215	Legendosh	9
221	Sparky_KT	8
221	DaviusMaximoose	8
221	Kim_Jong_eel	8
221	FreddyFart	8
221	Deodorante	8
221	_Karmaa	8
221	monky_irl	8
221	djancak	8
221	brofrickcheaters	8
230	SammiWolfGirl	7
231	Lepthymo	6
231	Kamflame10	6
231	Maenara	6
231	_Bguette_	6
231	Blu3beast	6
231	Dusk_95	6
231	ayamefag	6
231	Jij0	6
231	anbbang	6
240	LilLizardWizard	5
240	Lutres_Torane	5
242	soundad	4
242	teslawolf38	4
242	Sabby65	4
242	alkrie	4
246	Bandito_Roamer	3
246	roxycherry	3
246	fr_ser	3
246	Jackattack53	3
246	SuperPooch06	3
246	TheTrueClipse	3
246	sufjanlover	3
246	The_slideV3	3
246	Nagasaki_Riku	3
246	FishisTTV	3
256	Tobinator_007	2
256	Mr_Byzantine	2
256	abramgray	2
256	Jackster03	2
256	Scathra	2
256	hcb238	2
256	Donutt	2
256	RobotMinion101	2
256	TeenMomTom	2
256	TJawesome09	2
256	Wowful	2
256	SingedBread	2
256	Xovalt_	2
256	Kferno	2
256	Dreamdbr14	2
256	mawileite	2
272	Cowison	1
272	JEWISHBadenBeele	1
272	Nesquiczek	1
272	ssleepless	1
272	Base_Tempest	1
272	Reamdin	1
272	PhantomBionic	1
272	Myszoaz	1
272	rarrq	1
272	Stynxy	1
272	LotusProject	1
272	XboxPanda	1
272	BlueZabu	1
272	ImDisconnected_	1
272	Chromary	1
272	King_Pancake1	1
272	MangoTheFish	1
272	DeeDeeThonk	1
272	epiksk8erduck	1
272	Dowitos	1
272	aec9	1
272	proxivitoid	1
272	JESS_THE_RERE	1
272	MAns_44	1
272	cytotoxaint	1
272	Vorlice	1
272	Airem_Core	1
272	LordSpeed37	1
272	PabloGonza02	1
