rank	username	minecraft:crafted/minecraft:iron_helmet
129	Avocadogerms	4
129	claivin	4
129	Deerfoot	4
129	cutelilreno	4
129	LordSpeed37	4
129	brofrickcheaters	4
129	stellarjay	4
129	_TCARREIRA_	4
129	Luigipunch989	4
129	Dreamdbr14	4
129	Vellu21	4
129	Skippeh	4
129	cichy096	4
129	RadarHz	4
129	Powowowow	4
129	Jimb0nat0r	4
129	Sral7	4
129	JayToe	4
129	MelodyGaysharks	4
129	h2p_emrld	4
180	Groovy_MoonBird	3
180	lumiscosity	3
180	6king6colt6	3
180	xXTheWolfmanXx	3
180	Slinkyy7071	3
180	ImpavidArcher	3
180	BlancoFlaco	3
180	SaucyDark	3
180	Tolhart	3
180	Paleshield	3
180	Horizons86	3
180	openatheclose	3
180	Natty	3
180	MOSS000	3
180	tsohomie	3
180	Gregward_Smith	3
180	301851	3
180	IWorkAtIkea	3
180	nocturne78	3
180	Ozixar	3
180	CaracolCxnt	3
180	picardred	3
180	cheerytomato	3
180	Blackberry1310	3
180	Saucepeh	3
180	Tongon	3
180	jacxhadow	3
180	mattybeewrapss	3
180	Cortexia	3
180	corvidpartyfor6	3
180	AngalexikCZ	3
180	Kamflame	3
180	MindyDooWho	3
180	PegLegPete93	3
180	intropass	3
180	XboxPanda	3
180	drunkeeez	3
180	ZeroAbyssTTV	3
180	yheece	3
180	Chromary	3
180	DaviusMaximoose	3
180	LovableFemboy	3
180	Boipl	3
180	RyuNeko932000	3
180	pappaberg	3
180	tobinwilliams	3
180	Hiryu27	3
180	ItsAki_	3
180	Kouridragon	3
180	BRRRN179	3
180	Project_MKBRD	3
180	XeroByMyth	3
180	PaperCanvas	3
180	thgrocks	3
180	Luminad3	3
180	IamCL4SSY	3
180	hoaimi	3
180	audiocracked	3
180	handsome_strong	3
180	JESS_THE_RERE	3
180	Jaka_Saurus_715	3
180	FlashMigma	3
180	El_Jalapeno	3
180	RedcatVII	3
180	MS_Pryxx	3
180	ProfessorDiaper	3
180	ComplexSquirrel	3
180	silverpopcorn	3
180	Warlord324	3
180	WyngGoy	3
180	Kura2218	3
180	Optiprimus	3
180	Soul_Atreus	3
180	Eraxa	3
180	Decaying_Lotus	3
180	Jij0	3
180	NeoJordache	3
180	Chuglyfe	3
180	Nekomin0	3
180	PortlyPete69	3
180	_i_ERROR_i_	3
180	obzii	3
180	Moetis	3
180	DennyKai	3
180	Soffbord	3
180	Eczbek	3
180	TheBananaKat	3
180	mobunni	3
180	xorompole	3
180	EcksD	3
180	smogfrogg	3
180	zmpeg	3
180	00000000-0000-0000-0009-01fd83791eb5	3
273	Alexanderjac	2
273	j4ck811	2
273	Mr_Worthless	2
273	H0UNDFRMH3LL	2
273	weezygator	2
273	seanitoo	2
273	SyK7	2
273	Jalvajar	2
273	dudcreeper	2
273	Mowelan	2
273	xyct	2
273	fanofbands101	2
273	Cowison	2
273	Vlorox	2
273	dabloons	2
273	FroggoTheDoggo	2
273	hollowww	2
273	jspwn	2
273	BigBootyHudge	2
273	SlowMoNinja1994	2
273	q_wq	2
273	Ilinca_Io	2
273	DepressedCubic	2
273	I_Am_Mushkin	2
273	Flex_Tape_Phil	2
273	jessemgaming	2
273	bigstankyy	2
273	rachcl	2
