rank	username	minecraft:crafted/minecraft:dark_oak_slab
178	ZigzagLily43042	378
178	selectrix	378
180	Di_infiri	366
181	CheifJumbo	365
182	Typadopoulos	360
183	StarCookiees_	354
184	lordpipe	348
184	Pumpkin_P_Patch	348
186	Xclax101	342
186	Steelynan	342
188	12Magner05	336
189	Reneedium	330
190	Euclidoris	324
190	xzvu	324
192	__tomato	318
193	Ryan_GEMS	312
193	NoxxxxiS	312
193	RebytreGT	312
193	The_slideV3	312
197	KlausVonStiglitz	306
197	smogfrog	306
197	00000000-0000-0000-0009-01f80c5e9346	306
200	corvidpartyfor6	300
200	MonitorLizards	300
202	remgrandt	294
202	titanlax	294
202	groofles	294
205	BlancoFlaco	288
205	Marbz_	288
207	Sleek_Storm_721	282
207	RatatJuice	282
207	ZaneABrain	282
207	bl1ss0	282
207	Dakar_	282
212	SuperPooch06	276
212	Meatlaugh	276
212	QuesoCrusaderIII	276
215	EdGalbraith	270
216	WORLDENDVALHALLA	264
217	dopplexd	258
218	Megarboh	252
219	6king6colt6	246
220	bigstankyy	240
221	ROY4LE	234
221	Racengan	234
221	laron58	234
224	Sheellky	228
225	The_Fulgurator	216
225	Skylord_Luke	216
225	_Dri_	216
228	PegLegPete93	210
228	Purplehere	210
228	MAns_44	210
228	JasmineGK	210
232	RebelAndroid	204
232	Base_Tempest	204
232	set67	204
232	FishyBoy3811	204
232	audiocracked	204
232	fkGrim	204
232	Segotep999	204
239	LuisCarreroBla	198
239	Yahir091	198
241	dartwaffle	186
241	bpmm	186
241	Lutres_	186
241	Smiguli_	186
241	iSammael	186
241	CornOnTheCobalt	186
247	Historical_Sand	180
247	Blaiku	180
249	yulgur1	174
250	Elastiq	168
250	mediumBev	168
252	T045RTY	162
252	poopybh	162
252	Ecplosive	162
252	CollinMH06	162
252	emreknugrlu	162
257	_stets	156
257	Notta	156
257	MindyDooWho	156
257	thatbeanyboi	156
257	sp00ky_ghost977	156
257	JayToe	156
263	Kijiki	150
263	EcksD	150
265	CliffEmAll	144
265	SellyZ	144
265	goldyx	144
265	DarkS0L	144
265	07shiny	144
270	LeeMcGee30	142
271	Hahaa_0	138
271	MightyWertu	138
271	Deguns123	138
274	G1ldor	132
274	Stiar	132
274	0nly_sn1per	132
277	Secret_Canary	128
278	ColeSnyder	126
278	NatrixxddxYT	126
278	Myrlewen	126
278	SpaceGrenadier	126
278	heckface	126
278	Vizzoid	126
278	NieToksikpl	126
278	Hydro___________	126
278	mwrty	126
278	Hoid_the_Roamer	126
278	Skomo	126
278	CarryLine	126
278	GooseWithin	126
278	avalan64	126
292	SquadMonster	120
293	ratglock	118
294	moonman169	114
294	ApophisNova	114
294	Invisie	114
294	thgrocks	114
294	mihimihimihi	114
294	Optiprimus	114
294	Nekomin0	114
