rank	username	minecraft:crafted/minecraft:charcoal
162	alddd	13
162	Warlord324	13
162	VentiHilton	13
162	oxfordschool	13
171	moertymoertan	12
171	Rebytre	12
171	Deadlyy	12
171	masskedman	12
171	Toowny	12
171	Glumb0	12
171	FedirSpectator	12
171	Wolverine4302	12
179	LittleBug562	11
179	TerraVl	11
179	TheDefiantDragon	11
179	Tenns	11
179	Universz	11
179	stavgod	11
185	AustinAuranymph	10
185	Nab3rius	10
185	Kakolbus	10
185	Smaldo	10
189	homeofmew	9
189	EllaBellaChu	9
189	openatheclose	9
189	Swexti	9
189	ChampPog_	9
189	TheDiamondCG	9
189	gcaisawesome	9
189	RyuNeko932000	9
189	avalan64	9
189	Matorz	9
189	xyfrs	9
189	SpicyDuckMan	9
189	CalebDHawk	9
202	ImpavidArcher	8
202	AlazelTheReal	8
202	xPixelRainx	8
202	CrookedKaptain	8
202	beeleg	8
202	CharlieButt	8
202	ninjacat027	8
202	Parcc	8
202	drompje	8
202	Mpkkiller	8
202	WhackyTech	8
202	olmul	8
202	Steven1282598	8
202	lordpipe	8
202	Eon_57	8
202	Professor_x8	8
202	UrbanPlanner1978	8
202	IronicUwU1	8
202	Umbreon900	8
221	ThatStupidSheep	7
221	Cats_Fly	7
221	bloodbiter	7
221	FetteMutter	7
221	MyNameIsJobo	7
221	Judah_Ra	7
221	N7November	7
221	Cattoh	7
221	Skyle169	7
221	Gab4101	7
221	chipklip	7
221	markaus77	7
221	lcvezra	7
221	bitsplease	7
221	Kubeusz2010	7
221	diggydog67	7
237	123louis456	6
237	Andrew1139	6
237	capn__crunch	6
237	DangusCnt	6
237	Dakota100	6
237	heckface	6
237	Auseawesome	6
237	eclipseboi	6
237	set67	6
237	complex1tive	6
237	Bucscw24	6
237	SamZombie	6
237	rosswellcrash	6
237	Pootis11	6
237	Quincannon	6
237	censorsheep	6
237	LokisCharredFace	6
237	Xovalt_	6
237	LeadenKey	6
237	Chuglyfe	6
237	how_are_you	6
237	5712	6
259	Menthas	5
259	KingFaenor	5
259	Caystelly	5
259	dark279_	5
259	Cortexia	5
259	Clemscalibur	5
259	Peeing	5
259	Bazongoman	5
259	TahkoLive	5
259	Keith_Stark	5
259	privatemeekly	5
259	sheebeep	5
259	419mmurphy	5
259	bruh072	5
259	SexcMf	5
259	WytchKraft	5
259	NeoJordache	5
259	EcksD	5
259	mackintosh_x	5
259	jnp_gaming	5
259	Benrouge	5
259	CrazyPotater	5
281	Alexanderjac	4
281	Jalvajar	4
281	JustMaleen	4
281	Silenttieg	4
281	Rox_The_Box	4
281	bbrothers_5	4
281	Dnulgreb	4
281	MinttyFressh	4
281	Kamflame10	4
281	Nach0Bear	4
281	__TheNorseMan__	4
281	Trus7	4
281	maaacaroni	4
281	sucywaffle	4
281	Karetoko	4
281	TakeThis2UrGrave	4
281	dedgt	4
281	stickwhiskers	4
281	NedFlanders	4
281	Posseth	4
