rank	username	minecraft:crafted/minecraft:shulker_box
222	skrongus	19
227	dimondking777	18
227	Arceus1975	18
227	CalebDHawk	18
227	MirielThePastor	18
231	ImpavidArcher	17
231	2Stout	17
231	XboxPanda	17
231	mariominejedi	17
231	Soplight	17
236	NatalieTW	16
236	CLG_Kata	16
236	Merv__	16
236	CoffeeNoir	16
236	Euclidoris	16
236	Rumpletaezer	16
236	Rocco_Lane	16
236	Dan_Scha	16
236	AnArtisticDud	16
236	OG_Songsee	16
236	FadedSpade82	16
236	Njensen7	16
248	Ryker	15
248	SteveCraftBlocks	15
248	himak1	15
248	TheDankPlatypus	15
248	SuperPooch06	15
248	UrbanPlanningEx	15
254	ExtraDumb	14
255	Ryan_GEMS	13
255	m_be9	13
255	mrnosetackle	13
255	ARandomHedge	13
255	Fizznut909	13
255	calamariclam_I	13
261	IronArshXS	12
261	Swexti	12
261	pappaberg	12
261	Donutt	12
261	bearlystraight	12
261	Tyrannosplart	12
261	1442	12
261	The_slideV3	12
261	_Karmaa	12
261	Razzgriz	12
271	ItsHydroMC	11
271	cedric72	11
271	SkateboardR6	11
271	TheTommyGun63	11
275	Secret_Canary	10
275	imcombxt	10
275	Wowful	10
275	NomadicRobin_	10
275	MovingFish7	10
280	Scathra	9
280	ibarker21	9
280	AlexxO_o	9
280	stavgod	9
280	laron58	9
280	2blox_	9
286	TAKrules	8
286	Pofen	8
286	NLKBuilder	8
286	Skoll05	8
286	Hail_the_wombat	8
286	ConJaBz	8
286	Warlord324	8
286	AshleySpiritHawk	8
286	TheOuterCore	8
286	Skippeh	8
296	Houstonion	7
296	bigstankyy	7
296	tuckerdoodle	7
296	bloodbiter	7
296	Kkanot	7
