rank	username	minecraft:crafted/minecraft:stone_pressure_plate
170	slkiey	4
170	SLASHZEERA	4
170	benediktine1	4
170	WET_WET_WET	4
170	Rasmanden	4
170	Maenara	4
170	AuroraSkies	4
170	Jiminie	4
170	Jaka_Saurus_715	4
170	NameGenerat0r	4
170	Quaintster	4
170	El_Jalapeno	4
170	fluddd	4
170	BumbleBeever	4
170	wwwwinnebagoooo	4
170	lcvezra	4
170	obzii	4
170	jcool7	4
170	adiccting01	4
196	Sleek_Storm_721	3
196	Sparky_KT	3
196	Malorn_Aetherius	3
196	MattieHD	3
196	eiC_	3
196	DermeinUser	3
196	prizm_	3
196	Bazongoman	3
196	Jackattack53	3
196	RyuNeko932000	3
196	CruncyIsTaken	3
196	DizzleJay311	3
196	SkateboardR6	3
196	MovingFish7	3
196	PabloGonza02	3
196	Skippeh	3
196	smogfrog	3
196	TechnoNinja64	3
196	JayToe	3
215	Menthas	2
215	PhantomsGhost_	2
215	Jalvajar	2
215	abramgray	2
215	MOSS000	2
215	Myszoaz	2
215	Ao_Ken	2
215	nocturne78	2
215	FirsTimeGamingTV	2
215	rarrq	2
215	jacxhadow	2
215	Ardennes	2
215	Cortexia	2
215	redikul	2
215	crying_wolf_13	2
215	egglapras	2
215	Covalents	2
215	Chromary	2
215	yaboo88	2
215	burbankbuilder28	2
215	domagawha	2
215	Bumpy419	2
215	seramalen	2
215	Dragonlfw	2
215	TTNG	2
215	Jimi7hits	2
215	RodSerlingCringe	2
215	ILoveCarrot	2
215	TheTrueClipse	2
215	_Bguette_	2
215	Fuad_R	2
215	Soap_Bender	2
215	_Karmaa	2
215	claivin	2
215	radioactv_jelly	2
215	WyngGoy	2
215	Zetsey	2
215	starbits140	2
215	stahouo	2
215	Moetis	2
215	Sheldor097	2
215	Steelynan	2
215	Hermanni__	2
215	Legendosh	2
215	PlasticOtari	2
260	RosaDoesMC	1
260	Mowelan	1
260	dabloons	1
260	Drlzyy	1
260	KingFaenor	1
260	Tolhart	1
260	tuckerdoodle	1
260	_themselves	1
260	Da_Boss_Rani	1
260	__lobgn__	1
260	carloselpapii	1
260	dopplexd	1
260	xPixelRainx	1
260	shdesolt	1
260	StanceTB	1
260	_Dean_123	1
260	Enigma0251	1
260	Fullut	1
260	Scathra	1
260	mwrty	1
260	Motsaro	1
260	ayqq	1
260	Kubelz	1
260	moist_jellyfish	1
260	Karetoko	1
260	Winklepicker279	1
260	Giannism	1
260	Arceus1975	1
260	_8man	1
260	MangoTheFish	1
260	selectrix	1
260	The11thDoctor	1
260	Drewen24	1
260	groofles	1
260	Nicky19	1
260	stuy9	1
260	FreddyFart	1
260	masskedman	1
260	Lutres_Torane	1
260	JESS_THE_RERE	1
260	GoofyBread	1
