rank	username	minecraft:crafted/minecraft:diamond_sword
113	Isaac70096	4
113	Hpdinosaur	4
113	tuckerdoodle	4
113	lorywithay	4
113	ZaneABrain	4
113	MoistMicrowave	4
113	301851	4
113	Vizzoid	4
113	Blackberry1310	4
113	bloodbiter	4
113	m_be9	4
113	Tiberonus	4
113	MattieHD	4
113	Blazebit	4
113	SPUDonSTEROIDS	4
113	John6970	4
113	mimbo1211	4
113	Rumpletaezer	4
113	thewindmillman	4
113	Snowflowe	4
113	DaviusMaximoose	4
113	Jekyll	4
113	Skylord_Luke	4
113	selectrix	4
113	Afinnity	4
113	RobotMinion101	4
113	Shiirazu	4
113	cedric72	4
113	PaperCanvas	4
113	ougstur	4
113	Dan_Scha	4
113	True_Clipse	4
113	wezzzi	4
113	Inbefour	4
113	Deathkob	4
113	Meatlaugh	4
113	DarlaMeow	4
113	Barlycorn	4
113	MS_Pryxx	4
113	Typadopoulos	4
113	Hisiste	4
113	Airem_Core	4
113	Cocoamallows	4
113	layabout100	4
113	Chuglyfe	4
113	CoryJJ	4
113	MilleGrug	4
113	hermmm_	4
113	TheOnlyRake	4
113	Iamthejo	4
113	11Brewer	4
113	JayToe	4
167	MunkaKris	3
167	Lepthymo	3
167	Jovaphobic	3
167	Mr_Byzantine	3
167	Froste131	3
167	dudcreeper	3
167	SlowMoNinja1994	3
167	I_Am_Mushkin	3
167	xXTheWolfmanXx	3
167	_Razaria	3
167	Wooptey	3
167	Ryker	3
167	BoraMC	3
167	Batman922	3
167	Seyaboy	3
167	MOSS000	3
167	Gregward_Smith	3
167	FirsTimeGamingTV	3
167	Frxnkz	3
167	Saucepeh	3
167	Cryptacity	3
167	TheSecondLord	3
167	BobDeBouwer1337	3
167	12Magner05	3
167	zorin123	3
167	_Nuf	3
167	poopybh	3
167	500am	3
167	i2f8x4h8ro	3
167	Kkanot	3
167	MindyDooWho	3
167	groggregg42	3
167	thescout7	3
167	intropass	3
167	hcb238	3
167	Touched_Bread	3
167	Noah_Bez	3
167	UncleDanDan	3
167	Zaridey	3
167	Kakolbus	3
167	Karetoko	3
167	Chromary	3
167	Zythose	3
167	ibarker21	3
167	Nyxiom_	3
167	Hiryu27	3
167	DanielMmm	3
167	HolyVenom	3
167	lizardfightclub	3
167	txxskx	3
167	ogoa	3
167	yulgur1	3
167	Tiktola01	3
167	balin55	3
167	Tyrannosplart	3
167	DemTechAlpha	3
167	Darkgon	3
167	drumine	3
167	AstreaTSS	3
167	Deerfoot	3
167	SwooshBoi	3
167	Blu3beast	3
167	RedcatVII	3
167	Blaiku	3
167	technic_squirrel	3
167	monky_irl	3
167	Druid95	3
167	OG_Songsee	3
167	TheEnderMan548	3
167	07shiny	3
167	yatsuta	3
167	Kowcio_	3
167	Kyrum2169	3
167	SSytex_X	3
167	_TCARREIRA_	3
167	obzii	3
167	PlzNoBM	3
167	Steelynan	3
167	TheBananaKat	3
167	OfficerAnvil	3
167	taengoos	3
167	Haadrada	3
167	Ezekson	3
167	PlasticOtari	3
167	Zoeyfortnite	3
167	WYFYoyo	3
167	Kateesaur	3
254	H0UNDFRMH3LL	2
254	Bandito_Roamer	2
254	Tobinator_007	2
254	elicobnoah	2
254	Lotheburgh	2
254	q_wq	2
254	EMC_	2
254	myaccountwasgone	2
254	ssleepless	2
254	Killercatty78	2
254	RebelAndroid	2
254	livingdaydreams	2
254	TAKrules	2
254	AlazelTheReal	2
254	Prismyst	2
254	IWorkAtIkea	2
254	Sleepy_Time_	2
254	Ssor69	2
254	TheFlfthHorseman	2
254	gabukun_	2
254	Zxhir	2
254	Malorn_Aetherius	2
254	SnowyAvi	2
254	CliffEmAll	2
254	Zedducius	2
254	Crizma_	2
254	ThePoliteG	2
254	DarkDescent2392	2
254	Cortexia	2
254	nopekk	2
254	Guillemet	2
254	corvidpartyfor6	2
254	Lumien_	2
254	Fullut	2
254	BilboBaggins23	2
254	AngalexikCZ	2
254	Masssonnn	2
254	4774	2
254	Scathra	2
254	Nach0Bear	2
254	Awyrlas	2
254	Eraza	2
254	emrekn	2
254	surfinggiraffejp	2
254	Mewar	2
254	Tjhodskins19	2
254	Juansinmiedo18	2
