rank	username	minecraft:crafted/minecraft:birch_slab
132	Racengan	174
133	Optiprimus	168
134	MonitorLizards	162
135	Dblikstad	156
135	GravitySaint	156
135	ItsDeltaMC	156
135	Nicserso	156
139	Onennon	150
139	Deathkob	150
139	xzvu	150
142	fr0stss	144
142	jaimshae	144
144	jessewegottacook	138
144	InfernalMound	138
144	killerzant	138
147	HellsSponge	135
148	picardred	132
148	Marbz_	132
148	Akoot_	132
148	ItsJunoIGuess	132
152	_Virify_	126
152	Travasaur	126
152	Killercatty78	126
152	Ravenbie	126
152	SHAOBADMAN	126
152	0nly_sn1per	126
152	_Cloverbelle_	126
152	Y_A_N_N_I	126
152	Jimi7hits	126
152	luseis	126
152	DkansK	126
163	ccormacs	120
163	ChillenChiggen	120
163	Hiryu27	120
163	Sral7	120
167	Tommhh	114
167	DaviusMaximoose	114
167	killmeiamtraitor	114
167	spellmre	114
167	tompup	114
172	dendydoom	112
173	RebelAndroid	108
173	andy_rex	108
173	ADEXTV	108
173	Inbefour	108
177	HollieDaNugget	102
177	M_Patata	102
177	Zielo2017PL	102
177	valkam13	102
177	bluefragmentt	102
177	MasterNueve	102
183	ShedJr_	96
183	nocturne78	96
183	Megarboh	96
183	corvidpartyfor6	96
183	wwwwinnebagoooo	96
183	Logain42	96
189	xxPipperDipperxx	90
189	Kokeech	90
189	Dakar_	90
192	SvenskaSara	84
192	RobotMinion101	84
192	Blaiku	84
195	Sebaschan__	78
195	TinMaster	78
195	Diavri	78
195	ooga47	78
195	Blu3beast	78
200	BlancoFlaco	72
200	BilboBaggins23	72
200	crying_wolf_13	72
200	NameGenerat0r	72
204	BPTY4618	66
204	elleparo	66
204	lillips	66
204	SingedBread	66
208	Gundam_Steven	64
208	bitsplease	64
210	ECstardust	60
210	SaucyDark	60
210	Nostrom	60
210	SteveCraftBlocks	60
210	UncreativeArtist	60
210	hcb238	60
210	Giannism	60
210	WET_WET_WET	60
210	LunarRedPanda	60
210	MAns_44	60
210	the__Reaper4999	60
210	TechnoNinja64	60
222	Austinizzle	57
223	MintyTuna	54
223	TheDankPlatypus	54
223	N7November	54
223	NYJ	54
223	AvaRosey	54
223	UCP_TheKingK	54
223	jnp_gaming	54
230	elicobnoah	48
230	Skyler_Diablo	48
230	hm947	48
230	RatatJuice	48
230	Dogbound	48
230	pumpfonzo	48
230	ZeroAbyssTTV	48
230	zToasty69z	48
230	Drewen24	48
230	Kyrum2169	48
230	FormulaNewt3627	48
230	OfficerAnvil	48
230	anbbang	48
243	Sleek_Storm_721	42
243	Adlair	42
243	Awyrlas	42
243	r123moore	42
243	mimbo1211	42
243	Ecplosive	42
243	PigDab	42
243	GooseWithin	42
243	NomadicRobin_	42
243	IAmTheWalrus910	42
253	CLG_Kata	36
253	KingFaenor	36
253	Sleepy_Time_	36
253	Raspberry_Sodas	36
253	NotMeanttoChange	36
253	Zythose	36
253	Truckoss	36
253	Vetral1	36
253	Kryktal	36
253	IamCL4SSY	36
253	Pootis11	36
253	420BreadLizard	36
265	IWorkAtIkea	30
265	heckface	30
265	Smashic	30
265	surfinggiraffejp	30
265	ARandomHedge	30
265	Rebytre	30
265	The11thDoctor	30
265	LilLizardWizard	30
265	wobn	30
265	BumbleBeever	30
265	Spenduh	30
265	c0la_c0ca	30
265	mawileite	30
265	potatocan	30
265	Quotary	30
265	Zoeyfortnite	30
281	chipklip	24
281	livingdaydreams	24
281	Alteriity	24
281	SOA1RR	24
281	ivorico	24
281	OwenBrew	24
281	MattieHD	24
281	prizm_	24
281	RustyKedel	24
281	Kakolbus	24
281	Werbe	24
281	JoeSaysBingBong	24
281	Suraidu	24
281	Vorlice	24
281	Jimb0nat0r	24
281	calamariclam_I	24
297	funeralhome	18
297	Groovy_MoonBird	18
297	Apollo_993	18
297	ganyuganyu	18
