rank	username	minecraft:crafted/minecraft:gold_block
255	Tobinator_007	34
255	Valoth	34
255	Nycteus_	34
255	wwwwinnebagoooo	34
259	Tommhh	33
259	ExtraDumb	33
259	Huwulling	33
259	NieToksikpl	33
259	MyNameIsJobo	33
259	Voxin2K	33
259	Dakar_	33
259	Barlycorn	33
259	h2p_emrld	33
268	Jackster03	32
268	Comma__	32
268	zorin123	32
268	eviltunix	32
268	LAVA129	32
268	GravitySaint	32
268	SkateboardR6	32
268	Soplight	32
268	00000000-0000-0000-0009-01ff0c3e5e4f	32
277	NinjaKnifeKill	31
277	301851	31
277	TheThomas69	31
277	Mookle96	31
277	ImDisconnected_	31
277	CoryJJ	31
277	WYFYoyo	31
284	H0UNDFRMH3LL	30
284	NoChumpChange	30
284	layabout100	30
287	roxycherry	29
287	El_Jalapeno	29
287	ZoomieZoomie	29
290	MixerDixer	28
290	q_wq	28
290	Gundam_Steven	28
290	XboxPanda	28
290	Razzgriz	28
295	Whiterooster001	27
295	Soul_Atreus	27
297	Froste131	26
297	SpaceGrenadier	26
297	FirsTimeGamingTV	26
297	picardred	26
