rank	username	minecraft:crafted/minecraft:smithing_table
129	ARandomHedge	1
129	benediktine1	1
129	CharlieButt	1
129	mimbo1211	1
129	DermeinUser	1
129	SHAOBADMAN	1
129	Mobstr	1
129	FennYuzuna	1
129	ZeroAbyssTTV	1
129	Kakolbus	1
129	breadbowlgamer	1
129	CaptainSteve345	1
129	Winklepicker279	1
129	mariominejedi	1
129	CollinMH06	1
129	Windo_licker	1
129	SuperPooch06	1
129	mexicancharlie	1
129	King_Pancake1	1
129	LAVA129	1
129	JitteryJared2	1
129	MangoTheFish	1
129	pappaberg	1
129	Rocco_Lane	1
129	The_Fulgurator	1
129	BronkerBrum	1
129	Hiryu27	1
129	CowOfTheNile	1
129	The11thDoctor	1
129	RohnJosin	1
129	Afinnity	1
129	SpaggeDR	1
129	Truckoss	1
129	KartivGal	1
129	F_Uhre	1
129	MinerDec	1
129	Moofyman	1
129	skelctal	1
129	LeGold	1
129	Jonte0599	1
129	J4ko8_	1
129	Shavrin	1
129	jewbacaman	1
129	MonitorLizards	1
129	Gmoney390	1
129	KeruNatsema	1
129	ZA07	1
129	Hail_the_wombat	1
129	lizardfightclub	1
129	Luminad3	1
129	TheTrueClipse	1
129	MrQuanQuan	1
129	AuroraSkies	1
129	Wowful	1
129	ogoa	1
129	DizzleJay311	1
129	ElderRifken	1
129	ReSynced	1
129	Joestra	1
129	binman420	1
129	Gab4101	1
129	yulgur1	1
129	Agent108	1
129	Inbefour	1
129	NoChumpChange	1
129	Thomez_	1
129	fkGrim	1
129	Fuhrer_Teemo	1
129	Deathkob	1
129	Lutres_Torane	1
129	DarkS0L	1
129	ebanana	1
129	Fuad_R	1
129	The_slideV3	1
129	shrimp_flips	1
129	Lifedy	1
129	RoBe__	1
129	Shogunite	1
129	claivin	1
129	ewpunk	1
129	DanTheBuilderino	1
129	Quaintster	1
