rank	username	minecraft:crafted/minecraft:iron_sword
119	NotMeowMix	5
119	Panoe	5
119	sp00ky_ghost977	5
119	DennyKai	5
119	Soffbord	5
119	Ezekson	5
119	jnp_gaming	5
119	Powowowow	5
119	EcksDofficial	5
161	Barry_All3n_	4
161	Batoser	4
161	Jalvajar	4
161	RoskobiOne	4
161	dabloons	4
161	Jackywho	4
161	I_Am_Mushkin	4
161	baxteerr	4
161	youhjjhhhjj	4
161	H72l9w	4
161	chlorinex	4
161	Frxnkz	4
161	shdesolt	4
161	GiantPoop100	4
161	jushykins	4
161	firesgal3116	4
161	kekhon	4
161	corvidpartyfor6	4
161	Kamflame10	4
161	emrekn	4
161	Inchef	4
161	2Stout	4
161	r123moore	4
161	SpicyMeatballs	4
161	UncleDanDan	4
161	nitram49b	4
161	Jackattack53	4
161	Zythose	4
161	MustardDrinker	4
161	Hiryu27	4
161	Kouridragon	4
161	Dan_Scha	4
161	lizardfightclub	4
161	Leyna3	4
161	AlphaWolfPlaysMC	4
161	Inbefour	4
161	rotten_mango	4
161	balin55	4
161	Quaintster	4
161	C0oOK13M0N5T3R	4
161	Xclax101	4
161	marumochis	4
161	RedcatVII	4
161	Typadopoulos	4
161	Hisiste	4
161	LetsDoItLive	4
161	legoclone09	4
161	Shadow4381	4
161	PortlyPete69	4
161	Skippeh	4
161	anbbang	4
161	xorompole	4
161	Legendosh	4
161	Zoeyfortnite	4
215	rats_life	3
215	Lepthymo	3
215	maxdacatv2	3
215	Matemaks2137	3
215	seanitoo	3
215	Bandito_Roamer	3
215	Tobinator_007	3
215	Mr_Byzantine	3
215	fanofbands101	3
215	jspwn	3
215	Merv__	3
215	DepressedCubic	3
215	Sleek_Storm_721	3
215	xXTheWolfmanXx	3
215	Iagoku	3
215	Dedalus36	3
215	CryoInferno_	3
215	Wooptey	3
215	wickedword	3
215	ivorico	3
215	Sleepy_Time_	3
215	Stynxy	3
215	Ozixar	3
215	Valoth	3
215	dopplexd	3
215	CliffEmAll	3
215	ProfessorBee	3
215	Megarboh	3
215	GingerNeutron	3
215	Fullut	3
215	BilboBaggins23	3
215	CrookedKaptain	3
215	mwrty	3
215	fade_emerge78823	3
215	Mookle96	3
215	Septemb3r	3
215	Covalents	3
215	ItzYaBoiPicard	3
215	purpolepickle	3
215	CharlieButt	3
215	Zaridey	3
215	_Gabae	3
215	swag_bro2004	3
215	Ristebraaten	3
215	Chromary	3
215	WET_WET_WET	3
215	Nyxiom_	3
215	NarwhalTaco	3
215	pappaberg	3
215	CasperHxly	3
215	CaptainDeadBread	3
215	lOlmantschi	3
215	epiksk8erduck	3
215	_Cloverbelle_	3
215	CaptainAvenger7	3
215	aec9	3
215	XeroByMyth	3
215	ToastedGamingYT	3
215	Kim_Jong_eel	3
215	Ajax6	3
215	KliBeast21	3
215	AuroraSkies	3
215	natajimi	3
215	aldplaysmc	3
215	NoChumpChange	3
215	Syropatathe	3
215	master9067	3
215	Deodorante	3
215	Deathkob	3
215	Jaka_Saurus_715	3
215	MustaLoordi	3
215	Steven1282598	3
215	560cool	3
215	Barlycorn	3
215	ProfessorDiaper	3
215	SkateboardR6	3
215	Yahir091	3
215	Spacewardharpy7	3
215	Factoroni	3
215	Pickel_Lord	3
215	PabloGonza02	3
215	Soul_Atreus	3
215	Sank34	3
215	07shiny	3
215	MineMaster0012	3
215	BlankityMcBlank	3
