rank	username	minecraft:crafted/minecraft:dark_oak_trapdoor
213	NoxxxxiS	12
213	Ecplosive	12
213	AnnieBathory	12
213	theofiel	12
213	wirelesstree	12
213	El_Jalapeno	12
213	Pickel_Lord	12
213	SirBreadward	12
221	diamondgolem35	10
221	heckface	10
221	ThePoliteG	10
221	CharlieButt	10
221	Felenov	10
221	ayamefag	10
221	KingMatthew506	10
228	_Razar	8
228	Atroxes	8
228	Nicky_H225	8
228	ROY4LE	8
228	AJplaysMC_	8
228	The_Fulgurator	8
228	KartivGal	8
228	MinerDec	8
228	Drewen24	8
228	Jimi7hits	8
228	SingedBread	8
228	Deguns123	8
228	Dreamdbr14	8
228	diggydog67	8
242	LittleBug562	6
242	Sleek_Storm_721	6
242	BlancoFlaco	6
242	SpaceGrenadier	6
242	Awyrlas	6
242	Mookle96	6
242	Paintz	6
242	Avermu	6
242	LilLizardWizard	6
242	DemTechAlpha	6
242	censorsheep	6
242	MasterNueve	6
242	Ze_BaronKrigler	6
242	Kowcio_	6
242	BlankityMcBlank	6
242	SammiWolfGirl	6
242	NATE_the_HALO	6
242	mountaingirl311	6
260	Jalvajar	4
260	Myrlewen	4
260	dopplexd	4
260	Notta	4
260	12Magner05	4
260	Cortexia	4
260	_HoneySlime_	4
260	shyshyannne	4
260	Kkanot	4
260	Noah_Bez	4
260	purpolepickle	4
260	prizm_	4
260	mads388a	4
260	Ch4osDoom64	4
260	gabriels543	4
260	BlossomOwO	4
260	seramalen	4
260	Waffleman258	4
260	1442	4
260	Groundler	4
260	Xovalt_	4
260	bruh072	4
260	07shiny	4
260	MilleGrug	4
260	ZoomieZoomie	4
260	HesDemonPants	4
260	TechnoNinja64	4
260	FishisTTV	4
288	sp00ky_ghost977	3
289	RosaDoesMC	2
289	susbakaimpostor	2
289	Mr_Byzantine	2
289	_stets	2
289	AshleeCW	2
289	Nesquiczek	2
289	T045RTY	2
289	ZaneABrain	2
289	Huwulling	2
289	Khelvoryk	2
289	Auseawesome	2
289	Enigma0251	2
