rank	username	minecraft:crafted/minecraft:stone_slab
169	picardred	126
169	Cryptacity	126
169	beeleg	126
169	Zaridey	126
169	SokaOtaku	126
169	godipose	126
169	Barlycorn	126
169	ayamefag	126
169	Kekoo	126
169	trexgb	126
182	Alteriity	122
183	awesomeoneme	120
183	ElectricDragon81	120
183	TechnoNinja64	120
183	Sral7	120
187	AuroraSkies	114
188	fkGrim	108
188	LexMakesHistory	108
190	ItzYaBoiPicard	102
191	IWorkAtIkea	96
191	SLASHZEERA	96
191	pumpfonzo	96
191	Inbefour	96
191	Kowcio_	96
196	Ananas55	90
196	Kouridragon	90
196	Cyntrical	90
196	ProfessorDiaper	90
196	07shiny	90
196	BlankityMcBlank	90
202	tuckerdoodle	84
202	4774	84
202	mwrty	84
202	SlayerCrypto	84
202	Sky_light_KING	84
202	SvenskaHugo	84
202	Erased_Identity	84
209	eviltunix	78
209	yaboo88	78
209	MonitorLizards	78
209	stahouo	78
209	potatocan	78
214	Snowflowe	72
214	RobotMinion101	72
214	TheSeismicDuck	72
214	lillips	72
214	IdeallyGrey	72
214	obzii	72
214	mawileite	72
221	Smashic	68
222	RatatJuice	66
222	Huwulling	66
222	Blackberry1310	66
222	Scathra	66
222	KGTV	66
222	Giannism	66
222	Th6masss	66
222	Vorlice	66
230	Healthing	64
231	InfernalMound	60
231	_Nuf	60
231	Negriuke	60
231	BigCronkin	60
231	KingMatthew506	60
231	Legendosh	60
231	UrbanPlanner1978	60
238	ese_wn_po	57
238	HellsSponge	57
240	SpaceGrenadier	56
241	ProbablyNick	54
241	teslawolf38	54
241	Zedducius	54
241	PuFY	54
241	Kim_Jong_eel	54
241	Akoot_	54
241	LibertyMutual	54
241	Matorz	54
241	athereall	54
241	tartanboy	54
251	ZeroAbyssTTV	51
252	MrExplorer	48
252	RohnJosin	48
252	Yahir091	48
255	ThatMan_Dave	44
256	Lez_	42
256	BobDeBouwer1337	42
256	bloodbiter	42
256	Awyrlas	42
256	ogoa	42
256	SkateboardR6	42
256	MakeHistory157	42
256	YoshikageBites	42
264	soundad	38
265	6king6colt6	36
265	bigstankyy	36
265	slkiey	36
265	ehunt54	36
265	MyNameIsJobo	36
265	Onennon	36
265	non089	36
265	Moetis	36
273	Mr_Byzantine	30
273	_Dean_123	30
273	Zythose	30
273	Hoid_the_Roamer	30
273	Hiryu27	30
273	CruncyIsTaken	30
273	binman420	30
273	Meatlaugh	30
273	MightyWertu	30
273	Optiprimus	30
273	lcvezra	30
273	OfficerAnvil	30
273	anbbang	30
273	oxfordschool	30
273	smogfrog	30
273	Powowowow	30
289	SingedBread	28
290	Bandito_Roamer	24
290	Crowvens	24
290	BlancoFlaco	24
290	Ozixar	24
290	Malorn_Aetherius	24
290	Ardennes	24
290	SuperPooch06	24
290	Nyxiom_	24
290	BlossomOwO	24
290	The11thDoctor	24
290	aec9	24
