rank	username	minecraft:crafted/minecraft:glass_pane
108	MinttyFressh	544
108	CollinMH06	544
110	Jackster03	528
110	301851	528
110	Touched_Bread	528
110	eiC_	528
110	SuperPooch06	528
115	TheSeismicDuck	526
116	RobotMinion101	512
116	MightyWertu	512
118	Jimi7hits	504
119	seanitoo	496
119	MousePlays	496
119	Toriankel	496
122	Zythose	480
122	Mattesco	480
122	valkam13	480
122	GoofyBread	480
122	Barlycorn	480
122	xzvu	480
122	SpacesickPrism	480
129	Ssor69	473
130	non089	464
131	Ryan_GEMS	448
131	Krowuss	448
131	tompup	448
134	Franco093	432
134	Winklepicker279	432
134	madderfall	432
134	Xclax101	432
134	IAmTheWalrus910	432
139	Dogcorn69420	416
139	Dr0xzy	416
141	CharlieButt	400
141	TheTrueClipse	400
141	JayToe	400
144	_Huge_Male_	384
144	livingdaydreams	384
144	purpolepickle	384
144	yaboo88	384
144	Lord_Zacler	384
144	The_slideV3	384
150	_stets	368
150	Doom_melon	368
150	Cocoamallows	368
150	YungMaki	368
150	Kferno	368
155	ITDV	352
155	Bumpy419	352
155	Spacewardharpy7	352
155	sp00ky_ghost977	352
159	6king6colt6	336
159	redikul	336
159	Stiar	336
159	Mr_Sun15	336
159	TeenMomTom	336
159	masskedman	336
159	Meatlaugh	336
159	Hermanni__	336
159	diggydog67	336
168	noam464	320
168	Windo_licker	320
168	selectrix	320
168	Kryktal	320
168	censorsheep	320
168	_i_ERROR_i_	320
174	ZigzagLily43042	312
175	elicobnoah	304
175	ccwildfire1	304
175	Crowman1	304
175	himak1	304
175	mariominejedi	304
175	Akoot_	304
175	Manaateee	304
175	ReflexCode	304
175	ProfessorDiaper	304
175	trexgb	304
185	Blackberry1310	288
185	lunathelemon	288
185	slkiey	288
185	crying_wolf_13	288
185	2Stout	288
185	cedric72	288
185	SkyHighSkier	288
192	500am	283
193	k_ce	272
193	dudcreeper	272
193	DepressedCubic	272
193	Huwulling	272
193	Matek_	272
193	Luigipunch989	272
193	TechnoNinja64	272
193	MadmanRaven	272
201	PhantomsGhost_	256
201	TheSecondLord	256
201	potato292	256
201	excelsionprime	256
201	Inchef	256
201	Noah_Bez	256
201	Di_infiri	256
201	Inconvenionce	256
201	ougstur	256
201	Kim_Jong_eel	256
201	Blamphe	256
201	StinkyDiplomat	256
201	Deguns123	256
201	Quotary	256
215	soundad	240
215	morgangauk	240
215	Smashic	240
215	Marbz_	240
215	killmeiamtraitor	240
215	AnnieBathory	240
215	Hiryu27	240
215	the__Reaper4999	240
215	Kubeusz2010	240
215	smogfrog	240
215	Enderxz3	240
226	eitanzaki	224
226	Alteriity	224
226	kekhon	224
226	Arceus1975	224
226	dendydoom	224
226	oscminus	224
226	PigDab	224
226	Russiancat1	224
226	bruh072	224
226	Kateesaur	224
236	BPTY4618	208
236	TheWildMateo	208
236	radioactv_jelly	208
239	Travasaur	192
239	AgressiveEggdog	192
239	Saucepeh	192
239	benediktine1	192
239	Zaridey	192
239	OreTheBear	192
239	Inbefour	192
239	Deathkob	192
239	claivin	192
239	MAns_44	192
239	BlankityMcBlank	192
250	Bandito_Roamer	176
250	Prismyst	176
250	NieToksikpl	176
250	Nicky_H225	176
250	bbaobei	176
250	Kakolbus	176
250	__Fanda__	176
250	FishyBoy3811	176
250	UCP_TheKingK	176
250	BiggieDawg	176
250	Jimb0nat0r	176
261	bigstankyy	169
262	weezygator	160
262	Matemax	160
262	ganyuganyu	160
262	PazinGaming	160
262	Foof13	160
262	Hyugo	160
262	TheFlfthHorseman	160
262	Auseawesome	160
262	Otto_chan	160
262	MrExplorer	160
262	MattieHD	160
262	Karetoko	160
262	DaviusMaximoose	160
262	DebbieBrunswick	160
262	ApophisNova	160
262	_Cloverbelle_	160
262	Matyyy15	160
262	CarryLine	160
262	IamCL4SSY	160
262	DarkS0L	160
262	Jaka_Saurus_715	160
262	extralargenose	160
262	33sudo	160
262	PabloGonza02	160
262	RadarHz	160
262	MyNamaSheff	160
262	2blox_	160
289	MunkaKris	144
289	Louiis123	144
289	jessewegottacook	144
289	jushykins	144
289	bloodbiter	144
289	JMK208	144
289	SHAOBADMAN	144
289	UMosDiesIrae	144
289	AlexxO_o	144
289	KeruNatsema	144
289	Lord_Jord	144
289	Fakiuss	144
