rank	username	minecraft:crafted/minecraft:white_wool
165	Jackster03	4
165	301851	4
165	Allanon1235	4
165	ROY4LE	4
165	SlayerCrypto	4
165	Arceus1975	4
165	CSG_Haru	4
165	Drawgirll	4
165	JohnPrice	4
176	Thaumatarge	3
176	pZygh0st	3
176	Saltymart	3
176	RebelAndroid	3
176	eitanzaki	3
176	Myrlewen	3
176	PhantomBionic	3
176	Historical_Sand	3
176	beeperbeeper5	3
176	ratglock	3
176	CliffEmAll	3
176	firesgal3116	3
176	eclipseboi	3
176	wiqor	3
176	boog4loo	3
176	Bobby808	3
176	platinumzero	3
176	Rumpletaezer	3
176	King_Pancake1	3
176	grislgrobl	3
176	ooga47	3
176	Kouridragon	3
176	wfk7	3
176	DC_XII	3
176	sammidk	3
176	Jiminie	3
176	Deodorante	3
176	Charleszetoast	3
176	ThatMan_Dave	3
176	Human_Resource	3
176	radioactv_jelly	3
176	bothan13	3
176	Soul_Atreus	3
176	Corran_Dahgus	3
176	Steelynan	3
176	xorompole	3
176	Miko_Fullbuster	3
176	Lowjinx	3
176	MelodyGaysharks	3
176	00000000-0000-0000-0009-01f898304150	3
216	The_Thund	2
216	strongman951753	2
216	squigglybones	2
216	Healthing	2
216	ShedJr_	2
216	Whiterooster001	2
216	TheFlfthHorseman	2
216	Ardennes	2
216	leaf26	2
216	M_Patata	2
216	FennYuzuna	2
216	Orcus113	2
216	mvrty	2
216	LunarRedPanda	2
216	andy_rex	2
216	drompje	2
216	Xclax101	2
216	Hisiste	2
216	MasterNueve	2
216	Zetsey	2
216	Smaldo	2
237	SyK7	1
237	Paint	1
237	Azorathum	1
237	livingdaydreams	1
237	gaziter10	1
237	Stynxy	1
237	Upstro10	1
237	Fullut	1
237	crying_wolf_13	1
237	Scathra	1
237	wrinkledpiglet	1
237	Big_Nate_36	1
237	FishyBoy3811	1
237	HolyVenom	1
237	Nicky19	1
237	alddd	1
237	FlashMigma	1
237	Vegvisir	1
237	ItsJWolff	1
237	Vorlice	1
237	Lirael42	1
237	NeoJordache	1
237	stahouo	1
237	GlitchyPlate810	1
237	DennyKai	1
237	SlimeBOI03	1
237	Hermanni__	1
237	RadarHz	1
237	FelixPSY375	1
237	jnp_gaming	1
237	IronicUwU1	1
237	00000000-0000-0000-0009-01f16526f034	1
