rank	username	minecraft:crafted/minecraft:emerald
87	Da_Boss_Rani	6246
88	Ryan_GEMS	6231
89	Crowman1	5938
90	Steelynan	5845
91	ZeroKraken	5843
92	xxPipperDipperxx	5731
93	Elastiq	5399
94	Quotary	5305
95	MattieHD	5230
96	oscminus	5024
96	claivin	5024
98	bloodbiter	4953
99	xzvu	4639
100	BumbleBeever	4495
101	Segotep999	4484
102	mariominejedi	4315
103	H0UNDFRMH3LL	4244
104	ZaneABrain	4192
105	_3Stump_	4093
106	slkiey	4060
107	iSammael	4023
108	LeonelSalamanca	3995
109	Racengan	3972
110	jnp_gaming	3562
111	MakeHistory157	3483
112	MilleGrug	3454
113	SteveCraftBlocks	3168
114	F_Uhre	3100
115	Tyrannosplart	3058
116	GooseWithin	2959
117	Njensen7	2886
118	FadedSpade82	2834
119	SyntheticSurgeon	2745
120	HolyVenom	2718
121	AlexxO_o	2713
122	Hpdinosaur	2657
123	NotMeanttoChange	2642
124	FishisTTV	2601
125	NameGenerat0r	2594
126	vandmanden	2547
127	Karetoko	2542
128	fluddd	2526
129	Kyrum2169	2525
130	CoffeeNoir	2523
131	legal_tax_evader	2516
132	Cowison	2489
133	Ryker	2476
134	Fuad_R	2430
135	Bumpy419	2429
136	emrekn	2409
137	NoChumpChange	2397
138	Skippeh	2324
139	_stets	2283
140	SlayerCrypto	2255
141	NomadicRobin_	2149
142	THEKINGLyric10	2137
143	lillips	2116
144	Nicserso	2113
145	AmbroseForLife	2088
146	Akoot_	2071
147	Sheldor097	2004
148	The_slideV3	1946
149	Rich_Kat	1911
150	starbits140	1899
151	PhantomsGhost_	1884
151	Zoeyfortnite	1884
153	mwrty	1861
154	Luminad3	1834
155	Mr_Sun15	1818
156	AuroraValkyrie	1815
157	DanTheBuilderino	1809
158	PegLegPete93	1788
159	John6970	1781
160	BungalowBeet	1771
161	thgrocks	1739
162	little_dUki	1737
163	MineMaster0012	1731
164	Chickenchaser2	1730
165	Killercatty78	1680
166	Bonzaidalek	1623
167	ProfessorBee	1619
168	xolstoi	1570
169	ROY4LE	1542
170	Rasmanden	1533
171	CLG_Kata	1510
172	UCP_TheKingK	1473
173	wwwwinnebagoooo	1462
174	RadarHz	1437
175	Felenov	1403
176	PlzNoBM	1400
177	Arceus1975	1371
178	CharlieButt	1357
179	KomputerDude	1352
180	2Stout	1335
181	TheDumbHuman	1319
182	Rocco_Lane	1314
183	fkGrim	1263
184	I_Am_Mushkin	1246
185	masskedman	1214
186	lorpus	1213
187	T045RTY	1163
188	Hisiste	1162
189	Onennon	1159
190	Vizzoid	1157
191	Deathkob	1154
192	NoHaHeHa	1152
193	titanlax	1146
194	CliffEmAll	1143
194	Soap_Bender	1143
194	Powowowow	1143
197	BobDeBouwer1337	1116
198	Kamflame10	1105
198	Legendosh	1105
200	2blox_	1080
201	Dan_Scha	1047
202	Awyrlas	1039
203	BodaciousCake	1038
204	_i_ERROR_i_	1028
205	Sleepy_Time_	1015
206	ElectricDragon81	1014
207	nattybears	1000
208	Groovy_MoonBird	997
209	SkateboardR6	985
210	IAmTheWalrus910	983
211	UltraZombie	941
212	Krowuss	930
213	ClemenPine	919
214	MC_Gamer_Geek	909
214	TruestTurnip	909
216	censorsheep	907
217	MoistMicrowave	893
218	rarrq	890
219	ShedJr_	869
220	Dr0xzy	850
221	KarlKaek	846
221	4774	846
223	XxCookiequeenxX	840
224	I_Moose	837
225	diggydog67	836
226	SuperStreetCat	829
227	Valoth	827
228	teslawolf38	822
229	JESS_THE_RERE	818
230	calamariclam_I	808
231	MinttyFressh	807
232	Gundam_Steven	806
233	parodypatient	801
234	corpsecity	792
235	_Bguette_	785
236	Luigipunch989	784
237	Kubeusz2010	777
238	NATE_the_HALO	774
239	__tomato	754
240	q_wq	751
240	Inchef	751
242	EfficientC52	741
243	bearlystraight	739
244	SquadMonster	724
245	Blackberry1310	723
245	MNMann44	723
247	Healthing	720
247	DarlaMeow	720
249	stavgod	714
250	Bolete	707
251	r123moore	705
252	NNikitas	698
253	Mattesco	693
254	JayToe	674
255	tlustyCZARNY	670
256	MissCeleste7	666
257	Xalithia	660
258	burbankbuilder28	656
259	Voxin2K	654
260	dawerty	648
260	CuzIm2Kev	648
262	AstreaTSS	621
263	laron58	613
264	Tommhh	612
265	amkold	609
266	G1ldor	606
267	ougstur	605
268	Fast_Turtle	581
269	BronkerBrum	576
269	ReSynced	576
269	Gab4101	576
269	icim	576
273	Creativebuilder2	573
273	Kkanot	573
275	KlausVonStiglitz	572
276	ApophisNova	564
276	MyNamaSheff	564
278	El_Jalapeno	563
279	Gryglu583	561
280	12Magner05	552
281	MunkaKris	545
282	TheImperial	539
283	Hiryu27	537
284	yulgur1	535
285	LexMakesHistory	530
286	A1tao	513
287	Doom_melon	511
288	Auseawesome	508
289	WarHammer3	498
290	Flores991	486
291	H72l9w	477
292	_Nuf	471
293	WyngGoy	462
294	TheOuterCore	441
295	ItsMrRamen	440
296	Wooptey	437
297	geekbird	434
298	Heisenbberrg	432
299	Bandito_Roamer	431
300	Diavri	428
