rank	username	minecraft:crafted/minecraft:crossbow
144	Jokerman369	1
144	Kamflame	1
144	Awyrlas	1
144	2Stout	1
144	IceYoung	1
144	Kubelz	1
144	Bolete	1
144	CharlieButt	1
144	ehunt54	1
144	M_Patata	1
144	TableTim	1
144	Karetoko	1
144	CollinMH06	1
144	Windo_licker	1
144	legal_tax_evader	1
144	Malware_Mara	1
144	SuperPooch06	1
144	Chromary	1
144	WET_WET_WET	1
144	LAVA129	1
144	impossibleteapot	1
144	Rocco_Lane	1
144	Azmodan_246	1
144	OreTheBear	1
144	Bumpy419	1
144	MustardDrinker	1
144	RebytreGT	1
144	Hiryu27	1
144	DeeDeeThonk	1
144	seramalen	1
144	Cruncy_	1
144	Kynigito	1
144	wrinkledpiglet	1
144	jewbacaman	1
144	MonitorLizards	1
144	KeruNatsema	1
144	Kim_Jong_eel	1
144	Luminad3	1
144	Rasmanden	1
144	Tergandius	1
144	Pootis11	1
144	audiocracked	1
144	Mister3z	1
144	privatemeekly	1
144	KermitTheKripple	1
144	Quaintster	1
144	ReflexCode	1
144	501g	1
144	Travka100	1
144	OreoPenguin_	1
144	blackeemperor	1
144	censorsheep	1
144	Bloo2406	1
144	marumochis	1
144	SingedBread	1
144	ProfessorDiaper	1
144	SkateboardR6	1
144	AvaRosey	1
144	MasterNueve	1
144	ConnorTG5	1
144	TheDumbHuman	1
144	LetsDoItLive	1
144	Cocoamallows	1
144	33sudo	1
144	Optiprimus	1
144	Eraxa	1
144	_Tilariel_	1
144	IdeallyGrey	1
144	SSytex_X	1
144	stellarjay	1
144	CoryJJ	1
144	Deguns123	1
144	Dogcorn69420	1
144	jcool7	1
144	Dreamdbr14	1
144	erkada	1
144	MissCeleste7	1
144	tartanboy	1
144	HuangMeiHua	1
144	EcksD	1
144	momis24	1
144	2blox_	1
144	PlasticOtari	1
144	Jordan_R	1
