rank	username	minecraft:crafted/minecraft:dispenser
145	HolyVenom	6
145	wezzzi	6
145	audiocracked	6
145	DTwenty	6
145	Fildyr	6
145	Eraxa	6
145	SammiWolfGirl	6
145	Enderslayerxz3	6
160	AshleeCW	5
160	Kirrow	5
160	Paintz	5
160	ooga47	5
160	Rasmanden	5
160	TheSeismicDuck	5
166	teslawolf38	4
166	Dedalus36	4
166	ivorico	4
166	NotMeanttoChange	4
166	SlayerCrypto	4
166	yaboo88	4
166	pappaberg	4
166	tobinwilliams	4
166	Kouridragon	4
166	KliBeast21	4
166	MAns_44	4
166	Blu3beast	4
166	fluddd	4
166	Racengan	4
166	IAmTheWalrus910	4
166	Optiprimus	4
166	__tomato	4
166	Nicserso	4
184	bigstankyy	3
184	SoftSix	3
184	CyrusIsTired	3
184	boog4loo	3
184	emrekn	3
184	Mewar	3
184	Zaridey	3
184	Donutt	3
184	grislgrobl	3
184	Forcolp	3
184	Sky_light_KING	3
184	_Bguette_	3
184	balin55	3
184	Barlycorn	3
184	WyngGoy	3
184	Shin69	3
184	Kyrum2169	3
184	Sheldor097	3
184	fffMike	3
184	Miko_Fullbuster	3
184	HesDemonPants	3
184	UrbanPlanner1978	3
184	EcksDofficial	3
207	Drlzyy	2
207	Merv__	2
207	EMC_	2
207	diamondgolem35	2
207	SquadMonster	2
207	Ssor69	2
207	Vizzoid	2
207	bloodbiter	2
207	Nicky_H225	2
207	slkiey	2
207	Xalithia	2
207	eiC_	2
207	Purplehere	2
207	CaptainSteve345	2
207	CarltheCuck	2
207	ibarker21	2
207	Onennon	2
207	Skomo	2
207	csendeslol	2
207	bruh072	2
207	SvenskaHugo	2
207	Kijiki	2
207	starbits140	2
207	Spenduh	2
207	Kubeusz2010	2
207	OfficerAnvil	2
207	2blox	2
207	Jordan_R	2
235	Groovy_MoonBird	1
235	Mr_Byzantine	1
235	Cowison	1
235	Yatitay	1
235	Sleek_Storm_721	1
235	EkkoTraveler	1
235	Iagoku	1
235	dongli	1
235	Hpdinosaur	1
235	Incinere	1
235	HollieDaNugget	1
235	Franco093	1
235	Natofthese	1
235	Natty	1
235	KomputerDude	1
235	H72l9w	1
235	fr0stss	1
235	FirsTimeGamingTV	1
235	heckface	1
235	Euclidoris	1
235	jacxhadow	1
235	MattieHD	1
235	Aatronix1	1
235	Guillemet	1
235	LILI_G_F_2007	1
235	UnderKat	1
235	benediktine1	1
235	XboxPanda	1
235	John6970	1
235	Windo_licker	1
235	Giannism	1
235	_Boipl_	1
235	Voxin2K	1
235	TTNG	1
235	_naturell	1
235	ClemenPine	1
235	Drewen24	1
235	ADEXTV	1
235	ChrisKyleST3	1
235	Fuhrer_Teemo	1
235	KlausVonStiglitz	1
235	lillips	1
235	JESS_THE_RERE	1
235	Soap_Bender	1
235	_Karmaa	1
235	claivin	1
235	MustaLoordi	1
235	Xclax101	1
235	SingedBread	1
235	ProfessorDiaper	1
235	Vorlice	1
235	MakeHistory157	1
235	SexcMf	1
235	kyouma777	1
235	IdeallyGrey	1
235	LilcoinXX	1
235	BlankityMcBlank	1
235	ediballbearings	1
235	stahouo	1
235	Luigipunch989	1
235	Moetis	1
235	Logain42	1
235	Kferno	1
235	Dreamdbr14	1
235	Winston_Ingram	1
235	mawileite	1
