rank	username	minecraft:crafted/minecraft:spruce_stairs
185	drumine	188
185	WyngGoy	188
189	TheFlfthHorseman	184
190	Unitas_isa	180
190	rotten_mango	180
190	CSG_Haru	180
193	Drlzyy	176
193	thewindmillman	176
193	lordpipe	176
196	Healthing	172
196	shdesolt	172
196	ROY4LE	172
196	_Bguette_	172
196	majlin16	172
196	bitsplease	172
196	TheOuterCore	172
196	OfficerAnvil	172
204	Paint	168
204	DinoDoctor_	168
206	Louiis123	160
206	RatatJuice	160
206	Flores991	160
206	H72l9w	160
206	gabriels543	160
206	Slapface522	160
212	FroggoTheDoggo	156
212	ehunt54	156
212	Bazongoman	156
212	SuperPooch06	156
212	pappaberg	156
212	FlashMigma	156
218	Yellowpowr	152
218	NoxxxxiS	152
218	Matyyy15	152
218	Nicserso	152
222	Quincannon	150
223	squigglybones	148
223	Sleek_Storm_721	148
223	Whitecker	148
223	The_SlideV5	148
223	YoshikageBites	148
228	Dedalus36	144
228	whoaluv	144
228	_Cloverbelle_	144
228	_KuruKuru	144
232	CarbonatedCola	140
232	2Stout	140
232	M_Patata	140
232	andy_rex	140
232	Syropatathe	140
232	Snow_Blizzard	140
238	MasterNueve	136
239	tuckerdoodle	132
239	Jeteight	132
239	Shavrin	132
239	dezxalo	132
239	FGamerJ	132
244	Ailmast	128
244	Lez_	128
244	StanceTB	128
244	Pootis11	128
248	Froste131	124
248	SlinkyPinky	124
250	Ryker	120
250	Armattillo	120
250	Jonte0599	120
250	wwwwinnebagoooo	120
250	07shiny	120
250	tsitrawhy	120
250	alderban107	120
257	SaltineDream	116
257	NieToksikpl	116
257	Ravenbie	116
257	Nostrom	116
257	TableTim	116
257	silverpopcorn	116
257	monolu	116
264	RoskobiOne	112
264	Guillemet	112
264	Enigma0251	112
264	SpaggeDR	112
264	Leyna3	112
264	Lutres_Torane	112
264	ewpunk	112
264	Xclax101	112
272	Sleepy_Time_	108
272	PegLegPete93	108
272	SpicyMeatballs	108
272	FetteMutter	108
276	jspwn	104
276	thescout7	104
276	Segotep999	104
279	Cartoonmaniac	100
279	killmeiamtraitor	100
279	Sky_light_KING	100
282	q_wq	96
282	bigstankyy	96
282	hm947	96
282	TheDankPlatypus	96
282	Marbz_	96
282	Maenara	96
282	ADEXTV	96
282	Agent108	96
282	halfbakedlasagna	96
282	ZoomieZoomie	96
282	AltnumberF4	96
293	Loveablerose12	92
294	intropass	90
295	Nach0Bear	88
296	Frozt99	84
296	fr0stss	84
296	epiksk8erduck	84
296	Vetral1	84
296	Drewen24	84
