rank	username	minecraft:crafted/minecraft:yellow_dye
222	RobotMinion101	8
222	ooga47	8
222	KeruNatsema	8
222	YahooScreen9000	8
222	SingedBread	8
222	Sral7	8
233	TheMaster972	7
233	heckface	7
233	jushykins	7
233	CarltheCuck	7
233	dnlksl	7
233	Quincannon	7
233	GravitySaint	7
233	MelaninStealer	7
233	Dogcorn69420	7
233	LeeMcGee30	7
233	561cool	7
244	Mowelan	6
244	StanceTB	6
244	Bolete	6
244	ApophisNova	6
244	Truckoss	6
244	Blamphe	6
244	KlausVonStiglitz	6
244	chipklip	6
244	Jamstroxian	6
244	IdeallyGrey	6
244	stahouo	6
244	SammiWolfGirl	6
244	MyNamaSheff	6
244	kinas45y5	6
258	dabloons	5
258	youhjjhhhjj	5
258	set67	5
258	Xalithia	5
258	Freeman666	5
258	gabriels543	5
258	monky_irl	5
265	Jovaphobic	4
265	KomputerDude	4
265	fr0stss	4
265	Prodiginus	4
265	roxycherry	4
265	orxngejuice	4
265	nitram49b	4
265	ItsAki_	4
265	Kouridragon	4
265	The_slideV3	4
265	Bloo2406	4
265	Optiprimus	4
265	ayamefag	4
265	yatsuta	4
265	Wolverine4302	4
265	diggydog67	4
281	Jalvajar	3
281	strongman951753	3
281	chimpmunker	3
281	I_snowy_I	3
281	Zippyzam	3
281	Myszoaz	3
281	Ssor69	3
281	Auseawesome	3
281	SDMNAEK	3
281	Comma__	3
281	Scattman_	3
281	wiqor	3
281	ReverendSmith	3
281	Chromary	3
281	Hyp3rion_	3
281	LilyNova	3
281	Donutt	3
281	Roosje69	3
281	Benjii05	3
281	Deodorante	3
