rank	username	minecraft:crafted/minecraft:bookshelf
245	TheOuterCore	43
247	Jovaphobic	42
247	Healthing	42
247	Crizma_	42
250	Mewar	41
250	00000000-0000-0000-0009-01fe357de725	41
252	Megarboh	40
252	BumbleBeever	40
254	jimintyy	39
254	Diavri	39
254	KlausVonStiglitz	39
257	CLG_Kata	38
257	MoistMicrowave	38
257	mobunni	38
260	q_wq	37
260	Ozixar	37
260	laron58	37
260	Mikael_Kuningas	37
264	PhantomsGhost_	36
264	Vizzoid	36
264	HeraclesOGU	36
264	masskedman	36
268	Flex_Tape_Phil	35
268	LilLizardWizard	35
268	_Meow_Mix	35
271	MyNameIsJobo	34
271	SvenskaHugo	34
273	Groovy_MoonBird	33
273	Corbsman	33
273	DarkS0L	33
273	AstreaTSS	33
273	Powowowow	33
278	Ssor69	32
278	Stiar	32
278	Eczbox	32
278	Razzgriz	32
278	Eczbek	32
283	Stynxy	31
283	ThePoliteG	31
283	selectrix	31
283	Decaying_Lotus	31
283	Segotep999	31
283	_AAZAR	31
289	Jackywho	30
289	stevewithclout	30
289	akap47	30
289	SirPiccardo	30
289	Fast_Turtle	30
289	Jiminbub	30
289	Fildyr	30
289	lordpipe	30
289	MissCeleste7	30
298	IgnoredBee	29
298	Z3braYTIL	29
298	ProfessorDiaper	29
