rank	username	minecraft:crafted/minecraft:anvil
165	Z3braYTIL	5
165	surfinggiraffejp	5
165	Xalithia	5
165	mimbo1211	5
165	TheDankPlatypus	5
165	Kakolbus	5
165	Ecplosive	5
165	Winklepicker279	5
165	CollinMH06	5
165	LAVA129	5
165	TheSeismicDuck	5
165	Deodorante	5
165	LexMakesHistory	5
165	Lutres_Torane	5
165	Quaintster	5
165	Bloo2406	5
165	monky_irl	5
165	pixelviolin	5
165	BlankityMcBlank	5
165	Spenduh	5
165	CalebDHawk	5
165	Winston_Ingram	5
165	FelixPSY375	5
193	Lepthymo	4
193	TooManyDuck	4
193	Wooptey	4
193	MOSS000	4
193	fr0stss	4
193	Swexti	4
193	FirsTimeGamingTV	4
193	roxycherry	4
193	Malorn_Aetherius	4
193	ProfessorBee	4
193	Kamflame10	4
193	IforgotCS_Source	4
193	PegLegPete93	4
193	eviltunix	4
193	Septemb3r	4
193	benediktine1	4
193	loveseeker	4
193	Zythose	4
193	BronkerBrum	4
193	Kouridragon	4
193	sammidk	4
193	lizardfightclub	4
193	AlphaWolfPlaysMC	4
193	KnightmareD	4
193	gustarbite	4
193	Deathkob	4
193	_Bguette_	4
193	rotten_mango	4
193	DarlaMeow	4
193	DanTheBuilderino	4
193	BigCronkin	4
193	Xclax101	4
193	Barlycorn	4
193	Factoroni	4
193	Nagasaki_Riku	4
193	TheEnderman548	4
193	SvenskaHugo	4
193	starbits140	4
193	Dreamdbr14	4
193	AltnumberF4	4
193	Powowowow	4
193	Zoeyfortnite	4
193	JayToe	4
236	MunkaKris	3
236	soundad	3
236	Tommhh	3
236	Sleek_Storm_721	3
236	Iagoku	3
236	Hyugo	3
236	error10101	3
236	Flores991	3
236	_Razar	3
236	RebelAndroid	3
236	livingdaydreams	3
236	Seyaboy	3
236	Jackster03	3
236	Arteriana	3
236	Myszoaz	3
236	SpaceGrenadier	3
236	Frxnkz	3
236	Notta	3
236	Cryptacity	3
236	Zedducius	3
236	MinttyFressh	3
236	eclipseboi	3
236	slkiey	3
236	UncreativeArtist	3
236	Nach0Bear	3
236	egglapras	3
236	__TheNorseMan__	3
236	hcb238	3
236	KingEgg1	3
236	Noah_Bez	3
236	eiC_	3
236	WET_WET_WET	3
236	yaboo88	3
236	King_Pancake1	3
236	pappaberg	3
236	Rocco_Lane	3
236	Hoid_the_Roamer	3
236	Rebytre	3
236	Hiryu27	3
236	selectrix	3
236	The11thDoctor	3
236	CruncyIsTaken	3
236	Truckoss	3
236	KartivGal	3
236	Kynigito	3
236	HyperCave	3
236	xo_Marren_xo	3
236	TheTrueClipse	3
236	masskedman	3
236	fkGrim	3
236	wobn	3
236	Karbl	3
236	The_slideV3	3
236	_Karmaa	3
236	Shogunite	3
236	MAns_44	3
236	Fildyr	3
236	Typadopoulos	3
236	SkateboardR6	3
236	Airem_Core	3
236	ElKaySVK	3
236	Dusk_95	3
236	geekbird	3
236	Xovalt_	3
236	Razzgriz	3
