rank	username	minecraft:crafted/minecraft:green_dye
130	corvidpartyfor6	53
130	theonlymagikarp	53
130	monolu	53
133	Rich_Kat	50
134	Awyrlas	48
134	StinkyDiplomat	48
136	Groundler	47
137	MrExplorer	44
137	Sral7	44
139	rarrq	42
139	ZoomieZoomie	42
141	RatatJuice	40
141	dopplexd	40
141	bloodbiter	40
144	wezzzi	38
144	yatsuta	38
146	teslawolf38	37
146	RefluxRatio	37
146	RadarHz	37
149	Di_infiri	36
149	SolicitedPuma101	36
149	Manaateee	36
152	jimintyy	35
152	The_SlideV5	35
154	SaucyDark	34
154	The11thDoctor	34
154	THEKINGLyric10	34
157	CarltheCuck	33
157	starbits140	33
159	Lez_	32
159	joethahobo	32
161	m_be9	31
162	Comma__	30
162	Touched_Bread	30
162	ibarker21	30
162	ougstur	30
162	thgrocks	30
167	AuroraValkyrie	29
167	Nycteus_	29
169	UncleDanDan	28
169	MustardSquid	28
169	CalebDHawk	28
172	ImpavidArcher	26
172	Koffeeinz	26
172	Notta	26
172	Xalithia	26
172	iSammael	26
172	TheRealHi	26
178	PegLegPete93	24
178	Hiryu27	24
178	lcvezra	24
181	jacxhadow	23
181	dendydoom	23
183	Jiminbub	22
183	QueenShuvi	22
183	00000000-0000-0000-0009-01ff0c3e5e4f	22
186	noam464	21
187	GravitySaint	20
188	SellyZ	18
188	Akoot_	18
188	ProfessorDiaper	18
191	squigglybones	17
191	beeperbeeper5	17
191	AdvertisingMerc	17
191	pappaberg	17
191	bloomkieren	17
196	itburb	16
196	nattybears	16
196	KartivGal	16
196	ReflexCode	16
200	Creativebuilder2	15
200	Prismyst	15
200	MattieHD	15
200	Lutres_	15
204	Orcus113	14
205	hm947	13
205	SaintJosie	13
205	NameGenerat0r	13
205	SammiWolfGirl	13
209	LeauVox4921	12
209	valiSW	12
209	Zythose	12
209	masskedman	12
209	halfbakedlasagna	12
214	ShedJr_	11
214	Onennon	11
214	pixelviolin	11
217	TooManyDuck	10
217	Swexti	10
217	Fuhrer_Teemo	10
217	avalan64	10
221	Cryptacity	9
221	Zaridey	9
221	Maenara	9
221	Hisiste	9
221	Ze_BaronKrigler	9
221	EcksD	9
227	Bandito_Roamer	8
227	RoskobiOne	8
227	TrNrGhost	8
227	Huwulling	8
227	Pofen	8
227	cheerytomato	8
227	12Magner05	8
227	SteveCraftBlocks	8
227	SPUDonSTEROIDS	8
227	Krowuss	8
227	Kubeusz2010	8
238	oreee	7
238	eclipseboi	7
238	Kubelz	7
238	RobotMinion101	7
238	KingMatthew506	7
238	CattSoup	7
238	TechnoNinja64	7
245	Jovaphobic	6
245	Badenbeele	6
245	SirUnderpants	6
245	Hyugo	6
245	ssleepless	6
245	InfernalMound	6
245	SvenskaAlvar	6
245	fluddd	6
253	ImNotYuqii	5
253	Ryker	5
253	Luminad3	5
253	SingedBread	5
257	ITDV	4
257	whoaluv	4
257	thewindmillman	4
257	MustardDrinker	4
257	Drewen24	4
257	Ajax6	4
257	FreakGenius	4
257	Razzgriz	4
257	little_dUki	4
266	Myszoaz	3
266	Da_Boss_Rani	3
266	ratglock	3
266	CliffEmAll	3
266	jushykins	3
266	Nicky_H225	3
266	seramalen	3
266	ClemenPine	3
266	monky_irl	3
266	djancak	3
266	Invintic	3
266	MirielThePastor	3
266	JayToe	3
279	CLG_Kata	2
279	jessemgaming	2
279	ExtraDumb	2
279	Natty	2
279	_Nat666	2
279	GLLogan2	2
279	Ecplosive	2
279	tobinwilliams	2
279	LeonelSalamanca	2
279	censorsheep	2
279	MightyWertu	2
279	Fildyr	2
279	mihimihimihi	2
279	LordSpeed37	2
279	SSytex_X	2
279	Luigipunch989	2
279	LeeMcGee30	2
279	Skippeh	2
297	ProbablyNick	1
297	SmashingPump	1
297	Sleek_Storm_721	1
297	diamondgolem35	1
