rank	username	minecraft:crafted/minecraft:spruce_trapdoor
122	peach0s	320
123	Alteriity	318
123	IgnoredBee	318
125	__Fanda__	314
126	T045RTY	306
127	Werbe	300
127	Slapface522	300
129	SpaceGrenadier	298
129	FirsTimeGamingTV	298
129	CACTUSLAD	298
132	SDMNAEK	292
133	BlancoFlaco	288
134	PigDab	284
135	lunathelemon	268
136	Skippeh	262
137	Sleepy_Time_	260
138	Malorn_Aetherius	258
138	CollinMH06	258
138	ProfessorDiaper	258
138	ZoomieZoomie	258
142	Inbefour	256
143	diamondgolem35	252
144	RobotMinion101	244
145	Sleek_Storm_721	242
146	thewindmillman	237
147	YairZaki	228
148	groofles	222
149	tsitrawhy	220
150	_Karmaa	219
151	2Stout	214
151	Syropatathe	214
153	legal_tax_evader	206
153	MAns_44	206
155	fffMike	204
156	Meatlaugh	202
157	drumine	200
158	q_wq	192
158	NomadicRobin_	192
158	FelixPSY375	192
161	_Boipl_	190
162	powercas_gamer	180
163	wezzzi	176
163	The_slideV3	176
165	SuperPooch06	174
166	MoistMicrowave	172
166	Akoot_	172
168	Hahaa_0	168
169	_stets	162
169	CrookedKaptain	162
169	CattSoup	162
172	StarCookiees_	160
173	Ryker	154
173	ClemenPine	154
173	GooseWithin	154
173	Deathkob	154
177	KarlKaek	152
177	Shogunite	152
179	Marbz_	150
180	titanlax	144
180	MustardSquid	144
180	MineMaster0012	144
183	DC_XII	142
184	ADEXTV	138
184	_i_ERROR_i_	138
186	Krowuss	134
187	ColeSnyder	132
188	Crowvens	130
188	Deerfoot	130
190	TheOuterCore	128
191	RatatJuice	126
192	yheece	124
193	nattybears	122
193	JESS_THE_RERE	122
195	Soap_Bender	120
196	AuroraSkies	114
196	XxCookiequeenxX	114
196	PortlyPete69	114
199	SmashingPump	112
200	PegLegPete93	110
201	UMosDiesIrae	104
201	Vetral1	104
203	Incinere	102
203	excelsionprime	102
203	Fildyr	102
203	KingMatthew506	102
203	jnp_gaming	102
208	j5ylim	98
209	6king6colt6	96
209	Mr_Sun15	96
209	Blu3beast	96
209	MilleGrug	96
213	Natty	92
213	Myszoaz	92
213	jushykins	92
213	oscminus	92
213	kyouma777	92
213	Kyrum2169	92
219	Hpdinosaur	90
220	Jakobo1337	86
220	hanaryheatwave	86
220	rotten_mango	86
223	thatbeanyboi	84
223	SvenskaSara	84
223	CheifJumbo	84
223	Pickel_Lord	84
227	SaucyDark	80
227	SteveCraftBlocks	80
227	Rumpletaezer	80
227	LeonelSalamanca	80
227	FreakGenius	80
227	Quotary	80
233	Adlair	78
233	Comma__	78
233	Felenov	78
233	WyngGoy	78
233	xzvu	78
238	hm947	76
238	Septemb3r	76
238	ehunt54	76
238	El_Jalapeno	76
238	ReyTheLegend	76
238	_KuruKuru	76
238	Yahrto	76
245	Stiar	74
245	DarkS0L	74
245	Barlycorn	74
245	MadmanRaven	74
249	G1ldor	72
249	John6970	72
251	ShedJr_	70
251	cyuar	70
253	CLG_Kata	68
253	SnowyAvi	68
253	Shiirazu	68
253	2blox_	68
253	The_SlideV5	68
258	_Virify_	66
258	SourPapaSmurf	66
258	_Cloverbelle_	66
258	Soul_Atreus	66
262	4774	64
262	Druid95	64
264	ProfessorBee	62
264	SammiWolfGirl	62
266	SOA1RR	60
266	obzii	60
268	ProbablyNick	58
268	FishyBoy3811	58
268	Razzgriz	58
271	Flores991	56
271	_8man	56
271	Nyxiom_	56
271	AlexxO_o	56
271	Jonte0599	56
271	lordpipe	56
277	Apollo_993	54
277	Dblikstad	54
277	NieToksikpl	54
277	UncreativeArtist	54
277	IforgotCS_Source	54
277	Bumpy419	54
277	NameGenerat0r	54
277	Xclax101	54
277	Fizznut909	54
286	tuckerdoodle	52
286	Pofen	52
286	LeauVox4921	52
286	olliebollie48	52
286	benediktine1	52
286	Lord_Doob	52
286	Eczbek	52
286	EcksD	52
286	FGamerJ	52
295	NoxxxxiS	50
295	CrateOfBoxes	50
295	ElectricDragon81	50
295	little_dUki	50
299	Auseawesome	48
299	Solar_Power	48
