rank	username	minecraft:crafted/minecraft:hopper_minecart
154	ProfessorBee	7
154	LexMakesHistory	7
154	Quincannon	7
154	NameGenerat0r	7
154	Fildyr	7
154	stavgod	7
154	ediballbearings	7
154	GlitchyPlate810	7
165	CoffeeNoir	6
165	jushykins	6
165	Rich_Kat	6
165	TheDankPlatypus	6
165	claivin	6
165	Nycteus_	6
165	Smiguli_	6
165	Omar_Alone	6
165	SvenskaHugo	6
165	djancak	6
175	PhantomsGhost_	5
175	AshleeCW	5
175	Sleek_Storm_721	5
175	Rox_The_Box	5
175	Cryptacity	5
175	Kkanot	5
175	DTwenty	5
175	Lutres_Torane	5
175	StinkyDiplomat	5
175	Th6masss	5
175	monky_irl	5
175	LilcoinXX	5
175	starbits140	5
188	I_Am_Mushkin	4
188	carloselpapii	4
188	TheSecondLord	4
188	Nicky_H225	4
188	mwrty	4
188	loveseeker	4
188	SlayerCrypto	4
188	andy_rex	4
188	Leyna3	4
188	MustaLoordi	4
188	GravitySaint	4
188	BumbleBeever	4
188	Kowcio_	4
188	Spenduh	4
188	ItsJunoIGuess	4
188	Eczbek	4
188	Miko_Fullbuster	4
188	Jordan_R	4
188	FishisTTV	4
207	Groovy_MoonBird	3
207	Cowison	3
207	teslawolf38	3
207	KingFaenor	3
207	ShedJr_	3
207	Da_Boss_Rani	3
207	FirsTimeGamingTV	3
207	heckface	3
207	Prodiginus	3
207	picardred	3
207	Malorn_Aetherius	3
207	LotusProject	3
207	Solar_Power	3
207	Shiirazuku	3
207	DemTechAlpha	3
207	Deerfoot	3
207	jcool7	3
207	Kubeusz2010	3
207	Legendosh	3
207	ThatBurritoTh0	3
207	Freedrik	3
228	dimondking777	2
228	Merv__	2
228	bigstankyy	2
228	ColeSnyder	2
228	ExtraDumb	2
228	tuckerdoodle	2
228	youhjjhhhjj	2
228	Swexti	2
228	ThePoliteG	2
228	kekhon	2
228	TheThomas69	2
228	GLLogan2	2
228	theonlymagikarp	2
228	John6970	2
228	Winklepicker279	2
228	CrateOfBoxes	2
228	ApophisNova	2
228	Sqwishy	2
228	ToastedGamingYT	2
228	KnightmareD	2
228	Cyntrical	2
228	Steven1282598	2
228	ElKaySVK	2
228	layabout100	2
228	Pickel_Lord	2
228	Strangemonkey71	2
228	SammiWolfGirl	2
228	PlzNoBM	2
228	MyNamaSheff	2
228	JayToe	2
228	h2p_emrld	2
259	Crowvens	1
259	AuroraValkyrie	1
259	Gundam_Steven	1
259	Hormones	1
259	IWorkAtIkea	1
259	Euclidoris	1
259	Zedducius	1
259	500am	1
259	Masssonnn	1
259	KGTV	1
259	Noah_Bez	1
259	ImDisconnected_	1
259	JitteryJared2	1
259	_Boipl_	1
259	AuroraSkies	1
259	_Bguette_	1
259	Darkgon	1
259	JESS_THE_RERE	1
259	Quaintster	1
259	MAns_44	1
259	DolphinLaugh	1
259	wwwwinnebagoooo	1
259	Eraxa	1
259	BlankityMcBlank	1
259	Dogcorn69420	1
259	Winston_Ingram	1
259	laron58	1
259	erkada	1
259	BreadBacon	1
259	FelixPSY375	1
259	EcksDofficial	1
259	zmpeg	1
