rank	username	minecraft:crafted/minecraft:spruce_fence_gate
137	Jimb0nat0r	12
142	Froste131	11
142	Crowman1	11
142	ROY4LE	11
142	PartyPhoenix	11
142	ewpunk	11
142	Quotary	11
142	diggydog67	11
149	ColeSnyder	10
149	Tyrannosplart	10
149	CalebDHawk	10
152	Lez_	9
152	ARandomHedge	9
152	Mr_Sun15	9
152	SammiWolfGirl	9
152	00000000-0000-0000-0009-01ff0c3e5e4f	9
157	DinoDoctor_	8
157	Jackster03	8
157	Tiberonus	8
157	4774	8
157	xxPipperDipperxx	8
157	Bumpy419	8
157	Lutres_	8
157	Shogunite	8
157	2blox_	8
166	H72l9w	7
166	MrKrabOnCoke	7
166	BlueZabu	7
166	JETrotter	7
166	ApophisNova	7
166	epiksk8erduck	7
166	Jimi7hits	7
166	MyNamaSheff	7
174	RoskobiOne	6
174	whoaluv	6
174	_Boipl_	6
174	ougstur	6
174	SaintJosie	6
174	Cavetorch	6
174	Typadopoulos	6
174	cytotoxaint	6
174	Factoroni	6
174	SvenskaHugo	6
174	Fizznut909	6
174	Njensen7	6
174	TheOnlyRake	6
174	Jordan_R	6
188	JohnnyMines	5
188	jessewegottacook	5
188	IWorkAtIkea	5
188	SlayerCrypto	5
188	MAns_44	5
193	Groovy_MoonBird	4
193	xyct	4
193	squigglybones	4
193	KarlKaek	4
193	Ryker	4
193	Natty	4
193	gilesmcriles	4
193	Ravenbie	4
193	G1ldor	4
193	Masssonnn	4
193	imcombxt	4
193	SeverianOfUrth	4
193	xFaiithyX	4
193	TakeThis2UrGrave	4
193	Rumpletaezer	4
193	Studyhallsaver	4
193	CrateOfBoxes	4
193	Rebytre	4
193	selectrix	4
193	Hail_the_wombat	4
193	GooseWithin	4
193	natajimi	4
193	rotten_mango	4
193	Quincannon	4
193	FlashMigma	4
193	Blu3beast	4
193	fluddd	4
193	AvaRosey	4
193	Smiguli_	4
193	sleepdrifter_	4
193	Luigipunch989	4
193	Wolverine4302	4
193	The_SlideV5	4
226	rats_life	3
226	ECstardust	3
226	q_wq	3
226	TooManyDuck	3
226	Kkanot	3
226	LeauVox4921	3
226	UncleDanDan	3
226	Eczbox	3
226	oscminus	3
226	ItsAki_	3
226	thgrocks	3
226	groofles	3
226	Akoot_	3
226	Joestra	3
226	KermitTheKripple	3
226	claivin	3
226	ReflexCode	3
226	Druid95	3
226	krutas2000	3
226	Eczbek	3
226	MelodyGaysharks	3
247	heysushii	2
247	PhantomsGhost_	2
247	DepressedCubic	2
247	Tolhart	2
247	roxycherry	2
247	Malorn_Aetherius	2
247	Guillemet	2
247	corvidpartyfor6	2
247	SteveCraftBlocks	2
247	potato292	2
247	excelsionprime	2
247	set67	2
247	orxngejuice	2
247	FalconOW	2
247	purpolepickle	2
247	John6970	2
247	_Gabae	2
247	Bazongoman	2
247	Malware_Mara	2
247	dedgt	2
247	WET_WET_WET	2
247	The_Fulgurator	2
247	Donutt	2
247	seramalen	2
247	Kynigito	2
247	Moofyman	2
247	FungalCat	2
247	Waffleman258	2
247	J4k__	2
247	Shavrin	2
247	AuroraSkies	2
247	_Bguette_	2
247	EfficientC52	2
247	IAmTheWalrus910	2
247	CheifJumbo	2
247	OG_Songsee	2
247	YungMaki	2
247	AssFullaCum	2
247	Spenduh	2
247	c0la_c0ca	2
247	al626win52	2
247	bitsplease	2
247	daybreakus	2
247	Nicserso	2
247	UrbanPlanningEx	2
247	skrongus	2
247	trexgb	2
294	SaltineDream	1
294	soundad	1
294	6king6colt6	1
294	Ryan_GEMS	1
294	Killercatty78	1
294	Hpdinosaur	1
294	HollieDaNugget	1
