rank	username	minecraft:crafted/minecraft:dark_oak_stairs
119	AnnieBathory	304
120	Cowison	300
120	Ssor69	300
122	thewindmillman	296
122	Leyna3	296
122	Akoot_	296
125	Mahoose	292
126	EMC_	288
126	IamCL4SSY	288
126	Soplight	288
129	UCP_TheKingK	284
130	_Dean_123	280
130	xxPipperDipperxx	280
130	_Karmaa	280
133	Incinere	276
133	LeauVox4921	276
133	DC_XII	276
136	ImpavidArcher	272
136	RatatJuice	272
136	lillips	272
139	mimbo1211	268
139	Jeteight	268
141	dudcreeper	264
142	MinttyFressh	256
142	ImDisconnected_	256
142	EtherealEspresso	256
145	Wowful	254
146	wezzzi	252
146	00000000-0000-0000-0009-01f80c5e9346	252
148	Cortexia	248
149	dezxalo	246
150	VentiHilton	240
151	yulgur1	232
152	teslawolf38	228
152	Hail_the_wombat	228
152	cringenaynaybaby	228
155	Karetoko	224
156	Rumpletaezer	216
157	gabriels543	212
157	Steelynan	212
159	MakeHistory157	208
160	Esme_1	204
160	DarkS0L	204
160	RealGroot	204
163	Ardennes	200
164	ZigzagLily43042	196
164	jacxhadow	196
164	Kakolbus	196
164	Rebytre	196
164	NameGenerat0r	196
169	Alphanzt99	188
169	titanlax	188
169	Megarboh	188
169	Yirtle	188
173	_Razaria	184
173	Zlatovlas	184
175	RobotMinion101	180
176	Lez_	172
177	SaucyDark	168
177	fluddd	168
177	Kowcio_	168
180	Lotheburgh	164
181	dongli	160
181	eviltunix	160
181	Marbz_	160
181	pappaberg	160
181	Bumpy419	160
186	SellyZ	152
186	ADEXTV	152
188	Boogaloo242	148
189	OffWithTheirHead	144
189	Nekomin0	144
191	livingdaydreams	140
191	CliffEmAll	140
191	AlexxO_o	140
191	BlankityMcBlank	140
195	CrateOfBoxes	136
195	CrazyPotater	136
197	Awyrlas	132
197	Felenov	132
197	Xclax101	132
197	HesDemonPants	132
201	anbbang	130
202	Alteriity	128
202	Queen_Jalapeno	128
202	claivin	128
202	LordSpeed37	128
206	Jovaphobic	124
206	elleparo	124
206	ratglock	124
206	groofles	124
210	Jakobo1337	120
210	Nycteus_	120
210	fffMike	120
213	Covalents	116
213	avalan64	116
213	Optiprimus	116
213	djancak	116
213	Biites	116
218	DinoDoctor_	112
218	KeruNatsema	112
218	voiding_	112
221	TowenPL	108
221	Hannah_Banana_69	108
221	The_slideV3	108
224	orxngejuice	104
224	censorsheep	104
224	Kyrum2169	104
227	CornOnTheCobalt	100
227	The_SlideV5	100
229	_Huge_Male_	96
229	Nicky_H225	96
229	RadarHz	96
232	CoffeeNoir	92
232	Spacewardharpy7	92
234	SmashingPump	88
234	Cartoonmaniac	88
234	Kkanot	88
234	CollinMH06	88
234	KowcioJr	88
234	iSammael	88
240	Malorn_Aetherius	84
240	MrExplorer	84
240	thescout7	84
240	Gamergirl420628	84
240	Invisie	84
240	MyNameIsDakar	84
240	TheOuterCore	84
247	07shiny	80
247	Jij0	80
249	I_Am_Mushkin	76
249	ougstur	76
251	CantinaTaco	72
251	Kynigito	72
251	LeGold	72
254	Notta	68
254	Lutres_Torane	68
254	mediumBev	68
257	nocturne78	64
257	benediktine1	64
257	Will_Bee	64
257	Toriankel	64
257	Hermanni__	64
262	__lizi	60
262	Huwulling	60
262	PegLegPete93	60
262	Smussa	60
262	binman420	60
262	Smaldo	60
268	JayToe	58
269	rachcl	56
269	Sleepy_Time_	56
269	Touched_Bread	56
269	StinkyDiplomat	56
273	BigBootyHudge	52
273	2Stout	52
273	Karbl	52
273	Matorz	52
273	trexgb	52
278	NatrixxddxYT	48
278	Skomo	48
278	YungMaki	48
281	Mr_Byzantine	44
281	_stets	44
281	Prismyst	44
281	Swexti	44
281	KartivGal	44
281	MonitorLizards	44
281	KliBeast21	44
281	MineMaster0012	44
281	_Dri_	44
290	ProbablyNick	40
290	SyntheticSurgeon	40
290	Rich_Kat	40
290	MattieHD	40
290	Ch4osDoom64	40
290	Armattillo	40
290	tobinwilliams	40
290	PigDab	40
290	HellsSponge	40
290	Blaiku	40
300	Myszoaz	36
