rank	username	minecraft:crafted/minecraft:stone_hoe
131	00000000-0000-0000-0009-01f9013b764e	2
218	Alexanderjac	1
218	MunkaKris	1
218	rats_life	1
218	Bruh77	1
218	Mr_Worthless	1
218	Louiis123	1
218	Lepthymo	1
218	emzero	1
218	The_Thund	1
218	dudcreeper	1
218	xyct	1
218	Argraol	1
218	dimondking777	1
218	PazinGaming	1
218	JohnnyMines	1
218	Killswitch_RW	1
218	BigBootyHudge	1
218	AuroraValkyrie	1
218	PlanetarSun	1
218	Myrosia	1
218	DiscardedCE	1
218	Healthing	1
218	Tommhh	1
218	jpoxman	1
218	ImNotYuqii	1
218	Sleek_Storm_721	1
218	KarlKaek	1
218	EkkoTraveler	1
218	VG_RDF	1
218	ExtraDumb	1
218	awsomedude5	1
218	CryoInferno_	1
218	SaucyDark	1
218	hm947	1
218	LoganDSA	1
218	Bad_At_Names_Guy	1
218	Meteora4	1
218	RatatJuice	1
218	RebelAndroid	1
218	openatheclose	1
218	NatrixxddxYT	1
218	ryan521	1
218	WarHammer3	1
218	Base_Tempest	1
218	KomputerDude	1
218	planc_	1
218	ivorico	1
218	Sebaschan__	1
218	Big_Bad_Will	1
218	Hormones	1
218	YairZaki	1
218	Prismyst	1
218	PhantomBionic	1
218	ShedJr_	1
218	tsohomie	1
218	Lez_	1
218	Cats_Fly	1
218	Myszoaz	1
218	ITDV	1
218	gaziter10	1
218	IWorkAtIkea	1
218	oreee	1
218	nocturne78	1
218	Alfred603	1
218	Atroxes	1
218	JuuustYeet	1
218	Ganjier	1
218	Ssor69	1
218	Yellowpowr	1
218	heckface	1
218	urbeans	1
218	Euclidoris	1
218	Stynxy	1
218	dopplexd	1
218	aikabot	1
218	John_Acacia	1
218	titanlax	1
218	boatwin	1
218	xPixelRainx	1
218	gilesmcriles	1
218	Cryptacity	1
218	Adlair	1
218	Zedducius	1
