rank	username	minecraft:crafted/minecraft:stone_sword
154	RatatJuice	2
154	Incinere	2
154	Ryker	2
154	openatheclose	2
154	Alteriity	2
154	WarHammer3	2
154	spaece	2
154	joethahobo	2
154	TastyPorkchop	2
154	Dakota100	2
154	FirsTimeGamingTV	2
154	Rorrofighter	2
154	Euclidoris	2
154	Shadoko_	2
154	ABUSNA1996	2
154	SirMinza	2
154	joppen12	2
154	kekhon	2
154	cwin95	2
154	Cortexia	2
154	corvidpartyfor6	2
154	libbytingz	2
154	boog4loo	2
154	Cidah	2
154	Nab3rius	2
154	MonkeySaint	2
154	Commander_Ange	2
154	Zenlou	2
154	2Stout	2
154	VanJosh	2
154	Boogaloo242	2
154	Covalents	2
154	SpicyMeatballs	2
154	Noah_Bez	2
154	eiC_	2
154	Stealthember	2
154	MethylRadical	2
154	BlueZabu	2
154	faulder	2
154	Orcus113	2
154	Antek_Kicek	2
154	SlayerCrypto	2
154	whoaluv	2
154	Chromary	2
154	Rumpletaezer	2
154	WET_WET_WET	2
154	Tandy117	2
154	Nyxiom_	2
154	SPKB1	2
154	Nosretep	2
154	SvenskaSara	2
154	tobinwilliams	2
154	nut_e	2
154	DAD_1996	2
154	oscminus	2
154	CaptainDeadBread	2
154	MisterKanister	2
154	ItsAki_	2
154	The_Cruncy	2
154	Onennon	2
154	F_Uhre	2
154	iElijah	2
154	Kynigito	2
154	Moofyman	2
154	skelctal	2
154	BRRRN179	2
154	Invisie	2
154	cedric72	2
154	Project_MKBRD	2
154	Shavrin	2
154	Forcolp	2
154	Dan_Scha	2
154	Blackerstons	2
154	SkyHighSkier	2
154	St4nLe7	2
154	Pootis11	2
154	H_O_M_H	2
154	yulgur1	2
154	natajimi	2
154	NoobSlayerPro	2
154	privatemeekly	2
154	ChocolatePepsi	2
154	HellsSponge	2
154	claivin	2
154	StinkyDiplomat	2
154	censorsheep	2
154	GeromeMerris	2
154	Blaiku	2
154	iGotUrHost	2
154	DarkLawD	2
154	wwwwinnebagoooo	2
154	Spacewardharpy7	2
154	SvenskaHugo	2
154	Kowcio_	2
154	somegirl12_	2
154	MineMaster0012	2
154	xzvu	2
154	Celeste_121	2
154	PortlyPete69	2
154	obzii	2
154	ProbsNotNova	2
154	Mintperson	2
154	will2690	2
154	Nargotah	2
154	Iamthejo	2
154	cichy096	2
154	momis24	2
154	Sral7	2
154	xolstoi	2
154	CrazyPotater	2
154	Sangre88	2
278	gary_	1
278	Mitchasnipe	1
278	JimmyTISC	1
278	Boliipop	1
278	Bruh77	1
278	Mr_Worthless	1
278	H0UNDFRMH3LL	1
278	Lepthymo	1
278	emzero	1
278	AikoShayz	1
278	pintsizedrogue	1
278	weezygator	1
278	Krimys	1
278	jjettii	1
278	Vryistal	1
278	_Virify_	1
278	Tobinator_007	1
278	elicobnoah	1
278	Froste131	1
278	Congrosium	1
278	ThatStupidSheep	1
278	SyK7	1
278	Claw262	1
