rank	username	minecraft:crafted/minecraft:birch_planks
197	xPixelRainx	1128
198	jimintyy	1124
199	Skylord_Luke	1112
200	Bumpy419	1096
201	SammiWolfGirl	1084
202	Onennon	1060
202	The_slideV3	1060
204	hollowww	1052
205	ediballbearings	1048
206	YoshikageBites	1040
207	anbbang	1032
208	PabloGonza02	1028
209	Alteriity	1020
209	titanlax	1020
209	LotusProject	1020
209	NYJ	1020
213	Zielo2017PL	1016
213	E775	1016
213	07shiny	1016
216	Tommhh	1004
217	KeruNatsema	992
218	walll	980
219	monky_irl	978
220	Rebytre	960
221	intropass	958
222	jacxhadow	936
222	prizm_	936
224	Shin69	932
225	crying_wolf_13	928
225	audiocracked	928
227	The11thDoctor	924
227	YahooScreen9000	924
229	grislgrobl	920
229	ToastedGamingYT	920
229	Sheldor097	920
232	_Virify_	916
233	hcb238	904
234	parodypatient	900
235	SaucyDark	892
236	natajimi	884
236	MissCeleste7	884
238	chipklip	880
239	seramalen	872
240	Syropatathe	868
241	surfinggiraffejp	856
242	jaimshae	852
242	HAruSAme14	852
244	DanTheBuilderino	849
245	MAns_44	844
246	UCP_TheKingK	836
247	Iagoku	832
247	set67	832
249	Katsuragi0243218	824
250	burbankbuilder28	820
251	soundad	816
252	Cocoamallows	808
252	Skippeh	808
254	cedric72	800
255	Kyrum2169	796
256	little_dUki	792
257	Rumpletaezer	788
258	MustardDrinker	772
259	CharlieButt	768
260	dezxalo	750
261	Mr_Byzantine	748
261	Nicky_H225	748
263	G1ldor	744
264	Killercatty78	740
264	BlankityMcBlank	740
266	ZeroKraken	732
267	M_Patata	728
267	MasterNueve	728
269	InfernalMound	720
270	Mewar	716
270	WET_WET_WET	716
270	lillips	716
273	SIRdrumroll	712
274	RatatJuice	704
275	DBoydart303	700
275	radioactv_jelly	700
277	DaviusMaximoose	696
277	balin55	696
279	Drewen24	692
280	Truckoss	688
281	Da_Boss_Rani	676
282	Ssor69	672
283	Yatitay	668
284	DermeinUser	660
284	swag_bro2004	660
284	CollinMH06	660
287	ashetrays	640
287	brycepants	640
287	wwwwinnebagoooo	640
287	Powowowow	640
291	Jij0	636
292	Krasnal1337	628
292	OfficerAnvil	628
294	dimondking777	620
295	301851	612
296	Lowjinx	604
297	Comma__	600
297	masskedman	600
297	TheEnderman548	600
300	Ailmast	596
