rank	username	minecraft:crafted/minecraft:torch
249	UncreativeArtist	1578
250	2blox	1568
251	RodSerlingCringe	1564
252	Ssor69	1560
253	Scathra	1556
254	SSytex_X	1552
255	Prodiginus	1544
255	CliffEmAll	1544
257	xPixelRainx	1536
258	IWorkAtIkea	1528
258	fluddd	1528
260	Lukeee33	1512
261	Mowelan	1506
262	_Razar	1492
263	pixelviolin	1488
264	NoChumpChange	1484
264	Omar_Alone	1484
266	TAKrules	1480
267	Nekomin0	1476
268	fred870d	1468
269	MunkaKris	1466
270	Hiryu27	1464
271	OfficerAnvil	1460
272	Harotio	1440
273	Dogcorn69420	1436
274	boog4loo	1432
275	__Fanda__	1428
276	tuckerdoodle	1424
276	AlexxO_o	1424
278	Soap_Bender	1420
279	Kamflame10	1408
280	fanofbands101	1392
280	ImDisconnected_	1392
280	Nyxiom_	1392
283	_TCARREIRA_	1388
284	Fuad_R	1383
285	ssleepless	1380
286	Fuhrer_Teemo	1372
287	Luigipunch989	1364
288	Darkgon	1344
289	Kryktal	1332
290	nut_e	1320
291	Huwulling	1316
292	Dan_Scha	1312
292	Jij0	1312
294	PegLegPete93	1308
294	toj__	1308
296	Kijiki	1306
297	andy_rex	1304
298	slkiey	1296
299	Teebone15	1288
300	vandmanden	1284
